,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,11539,5732,5732,5637,6880,8893,10369,11905,9964,9674,10557,Upgrade
1,Market Cap Growth,1.69%,1.69%,-16.69%,-36.62%,-33.65%,-25.29%,4.07%,23.06%,-5.62%,-6.36%,9.61%,Upgrade
2,Last Close Price,1.21,0.59,0.58,0.56,0.67,0.83,0.95,1.05,0.85,0.80,1.07,Upgrade
3,PE Ratio,41.87,20.71,28.48,146.22,-,27.93,9.47,6.28,6.38,11.22,11.79,Upgrade
4,PS Ratio,5.72,2.81,3.04,3.52,4.14,4.19,3.23,2.66,2.65,3.83,4.11,Upgrade
5,PB Ratio,0.77,0.38,0.38,0.38,0.46,0.58,0.67,0.76,0.65,0.66,0.93,Upgrade
6,P/FCF Ratio,-,-,-,0.85,4.24,-,1.78,-,-0.66,-,-,Upgrade
7,P/OCF Ratio,-,-,-,0.85,4.14,-,1.76,-,-0.66,-,-,Upgrade
8,Debt / Equity Ratio,5.62,5.62,4.77,4.32,4.02,4.24,3.93,5.39,4.98,5.43,5.53,Upgrade
9,Debt / FCF Ratio,-,-,-,9.80,36.99,-,10.39,-,-5.02,-,-,Upgrade
10,Earnings Yield,2.40%,4.83%,3.51%,0.68%,1.17%,3.58%,10.56%,15.91%,15.68%,8.93%,8.55%,Upgrade
11,FCF Yield,-70.90%,-142.71%,-86.16%,117.19%,23.60%,125.32%,56.28%,-67.30%,-151.63%,-187.66%,-36.14%,Upgrade
12,Dividend Yield,1.98%,3.74%,3.45%,1.78%,-,2.42%,6.32%,9.61%,10.01%,6.73%,5.78%,Upgrade
13,Buyback Yield / Dilution,-0.26%,-,-0.52%,0.52%,1.13%,0.04%,-0.05%,-7.20%,-25.16%,-16.91%,-0.19%,Upgrade
14,Total Shareholder Return,1.72%,3.74%,2.93%,2.30%,1.13%,2.46%,6.28%,2.42%,-15.15%,-10.18%,5.59%,Upgrade
