,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,177.08,169.51,183.12,157.09,167.17,158.9,155.36,140.3,129.39,136.46,133.69,116.12,112.71,101.87,101.04,76.82
1,Other Revenue,-,-0.18,0.18,-,0.45,-0.2,0.2,-,0.87,-0.55,0.55,-,1.34,-0.6,0.6,-
2,Revenue,177.08,169.34,183.3,157.09,167.62,158.7,155.56,140.3,130.27,135.91,134.24,116.12,114.05,101.27,101.64,76.82
3,Revenue Growth (YoY),5.64%,6.70%,17.83%,11.96%,28.68%,16.76%,15.88%,20.82%,14.22%,34.21%,32.07%,51.16%,-,-,-,-
4,Cost of Revenue,-185.29,64.63,67.24,53.42,62.56,46.77,50.45,43.07,46.96,40.83,35.37,27.05,31.73,23.69,25.43,20.42
5,Gross Profit,362.38,104.7,116.05,103.67,105.06,111.93,105.11,97.23,83.31,95.08,98.87,89.07,82.32,77.58,76.21,56.41
6,"Selling, General & Admin",-170.43,60.8,56.33,53.3,55.46,50.04,49.35,44.76,43.08,48.09,44.17,39.43,38.02,36.54,33.57,26.28
7,Research & Development,-62.99,22.01,17.98,23,21.29,24.85,26.23,24.23,21.4,22.92,20.85,17.76,17.1,14.43,12.82,10.84
8,Other Operating Expenses,582.94,-19.5,3.47,-2.18,1.43,-5.95,-18.19,-6.81,47.27,-20.6,-16.94,-8,32.59,-23.73,-3.17,-4.1
9,Operating Expenses,340.01,64.78,82.69,77.26,77.49,71.63,61.48,65.17,115.4,50.1,48.84,53.6,85.79,30.75,45.16,34.41
10,Operating Income,22.37,39.93,33.36,26.41,27.57,40.31,43.62,32.06,-32.09,44.98,50.03,35.47,-3.48,46.82,31.05,22
11,Interest Expense,-18.54,-1.13,-1.24,-0.98,-0.94,-0.75,-0.68,-0.39,-0.28,-,-0.08,-0.27,-0.3,-0.3,-0.05,-0.09
12,Interest & Investment Income,3.35,4.36,6.15,8.03,6.34,8,9.78,4.53,8.49,5.16,7.9,2.32,5.43,4.43,1.84,2.72
13,Currency Exchange Gain (Loss),-,-0.07,0.07,-,0.08,-1.05,1.05,-,1.49,-0.79,0.79,-,-0.19,0.08,-0.08,-
14,Other Non Operating Income (Expenses),1.13,11.73,-13.01,-0,-21.28,10.19,-9.59,-0.27,-12.58,6.86,-5.54,-0.06,-15.94,6.95,-7.04,-0.02
15,EBT Excluding Unusual Items,8.31,54.82,25.33,33.45,11.78,56.7,44.19,35.93,-34.97,56.21,53.1,37.46,-14.47,57.99,25.72,24.61
16,Gain (Loss) on Sale of Investments,-2.3,-0.08,1.15,1.22,1.62,-0.47,-0.76,2.34,-8.77,5.88,2.68,0.16,-1.21,-0.53,1.95,0.12
17,Gain (Loss) on Sale of Assets,0,-0,-,-,-,-,-0.02,-,-,-0,-0.07,-0.03,0.05,-,-,-
18,Asset Writedown,16.68,-16.68,6.46,-6.46,13.86,-13.86,5.76,-5.76,10.09,-10.09,2.61,-2.61,11.68,-11.68,3.42,-3.42
19,Other Unusual Items,0.01,-16.26,16.26,-0.01,9.99,-,-,-,62.03,-,-,-,49.1,-,-,-
20,Pretax Income,22.71,21.79,49.21,28.2,37.25,42.36,49.16,32.51,28.38,51.99,58.33,34.98,45.15,45.77,31.08,21.31
21,Income Tax Expense,5.14,-0.09,2.35,-1.27,-3.95,2.22,2.64,1.46,-8.16,5.5,7.02,4.65,5.64,6.7,2.91,3.15
22,Net Income,17.57,21.88,46.86,29.48,41.2,40.15,46.52,31.05,36.54,46.49,51.31,30.32,39.51,39.08,28.18,18.16
23,Net Income to Common,17.57,21.88,46.86,29.48,41.2,40.15,46.52,31.05,36.54,46.49,51.31,30.32,39.51,39.08,28.18,18.16
24,Net Income Growth,-57.34%,-45.51%,0.73%,-5.06%,12.76%,-13.65%,-9.34%,2.39%,-7.52%,18.98%,82.09%,66.95%,-,-,-,-
25,Shares Outstanding (Basic),426,424,382,421,412,401,428,388,403,423,363,379,360,355,350,363
26,Shares Outstanding (Diluted),426,424,382,421,412,401,428,388,403,423,363,379,360,355,350,363
27,Shares Change (YoY),3.47%,5.71%,-10.73%,8.50%,2.16%,-5.07%,17.99%,2.39%,12.06%,19.14%,3.83%,4.35%,-,-,-,-
28,EPS (Basic),0.04,0.05,0.12,0.07,0.10,0.10,0.11,0.08,0.09,0.11,0.14,0.08,0.11,0.11,0.08,0.05
29,EPS (Diluted),0.04,0.05,0.12,0.07,0.10,0.10,0.11,0.08,0.09,0.11,0.14,0.08,0.11,0.11,0.08,0.05
30,EPS Growth,-58.77%,-48.45%,12.84%,-12.50%,10.38%,-9.04%,-23.16%,0%,-17.47%,-0.13%,75.37%,60.00%,-,-,-,-
31,Free Cash Flow,-,10.13,-27.07,-89.86,6.24,-31.26,-20.72,-43.58,-19.94,-22.33,14.62,-56.68,38.9,-12.93,16.99,-18.71
32,Free Cash Flow Per Share,-,0.02,-0.07,-0.21,0.02,-0.08,-0.05,-0.11,-0.05,-0.05,0.04,-0.15,0.11,-0.04,0.05,-0.05
33,Dividend Per Share,-,-,0.030,-,0.160,-,-,-,0.041,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,290.24%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,204.64%,61.83%,63.31%,65.99%,62.68%,70.53%,67.57%,69.30%,63.95%,69.96%,73.65%,76.70%,72.18%,76.60%,74.98%,73.42%
36,Operating Margin,12.63%,23.58%,18.20%,16.81%,16.45%,25.40%,28.04%,22.85%,-24.64%,33.09%,37.27%,30.55%,-3.05%,46.24%,30.55%,28.63%
37,Profit Margin,9.92%,12.92%,25.56%,18.77%,24.58%,25.30%,29.90%,22.13%,28.05%,34.21%,38.22%,26.11%,34.64%,38.58%,27.72%,23.64%
38,Free Cash Flow Margin,-,5.98%,-14.77%,-57.20%,3.72%,-19.70%,-13.32%,-31.06%,-15.31%,-16.43%,10.89%,-48.81%,34.11%,-12.77%,16.71%,-24.36%
39,EBITDA,33.63,51.19,51.74,37.67,38.83,49.63,53.74,41.38,-22.77,52.18,60.3,42.67,3.73,51.03,37.18,26.21
