,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,490.78,770.43,561.77,560.17,661.7,589.85,447.19,421.71,355.86,412.93,183.91,293.52,-,175.6,-
1,Short-Term Investments,-,152.38,129.76,120.05,120.1,-,75.92,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,567.25,402.35,566.22,637.72,526.87,621.43,743.85,791.24,829.05,867.57,238.82,205.8,-,354.16,-
3,Cash & Short-Term Investments,1210,1210,1303,1248,1318,1189,1287,1191,1213,1185,1281,422.73,499.31,-,529.76,524.2
4,Cash Growth,-8.16%,1.84%,1.19%,4.79%,8.66%,0.31%,0.52%,181.75%,142.92%,-,141.71%,-19.36%,-,-,-,-
5,Accounts Receivable,-,376,358.48,319.02,269.39,281.44,245.99,222.07,185.45,190.59,186.49,153.87,118.57,-,119.05,-
6,Other Receivables,-,8.41,6.22,5.61,6.09,5.42,5.31,5.18,3.63,3.57,41.33,38.34,39.68,-,0.15,-
7,Receivables,-,384.4,364.7,324.64,275.48,286.86,251.3,227.25,189.08,194.16,227.82,192.2,158.25,-,119.2,-
8,Inventory,-,57.94,53.55,54.37,47.09,52.35,48.23,49.89,49.47,46.59,40.98,36.83,30.08,-,21.7,-
9,Prepaid Expenses,-,-,-,-,-,-,0.02,-,-,-,2.47,-,3.41,-,1.81,-
10,Other Current Assets,-,24.96,23.31,21.06,16.96,99.49,13.1,42.04,15.51,11.92,10.71,20.43,15.87,-,14,-
11,Total Current Assets,-,1678,1744,1648,1658,1627,1600,1510,1467,1438,1562,672.19,706.93,-,686.46,-
12,"Property, Plant & Equipment",-,627.25,633.47,644.2,624.9,512.56,471.45,431.66,375.15,325.26,305.52,261.19,232.78,-,176.32,-
13,Long-Term Investments,-,82.84,90.98,72.79,175.53,69,215.26,68.83,306.94,69.79,29.89,30.16,30.08,-,-,-
14,Other Intangible Assets,-,45.93,46.93,47.83,47.34,47.47,47.36,48.27,48.51,48.63,49.23,49.75,49.53,-,41.37,-
15,Long-Term Deferred Tax Assets,-,43.29,42.74,36.49,31.85,19.86,18.48,17.41,17.05,6.18,7.54,5.09,4.81,-,5.95,-
