,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,45,39,64,63,63,64,73,92,81,92,121,Upgrade
1,Market Cap Growth,-38.64%,-38.64%,0.45%,-1.35%,-13.73%,-30.31%,-8.93%,0%,-33.33%,-45.76%,-40.00%,Upgrade
2,Enterprise Value,122,108,107,114,117,118,156,209,184,183,238,Upgrade
3,Last Close Price,0.15,0.14,0.22,0.22,0.22,0.22,0.26,0.32,0.28,0.32,0.42,Upgrade
4,Forward PE,-,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,Upgrade
5,PS Ratio,0.36,0.32,0.46,0.46,0.50,0.50,0.53,0.65,0.63,0.66,0.63,Upgrade
6,PB Ratio,0.12,0.10,0.16,0.14,0.14,0.13,0.14,0.18,0.15,0.18,0.23,Upgrade
7,P/TBV Ratio,0.10,0.10,0.16,0.14,0.14,0.13,0.14,0.18,0.15,0.18,0.23,Upgrade
8,P/FCF Ratio,-,-,8.31,4.86,14.89,-,-65.38,-,-,2.88,5.42,Upgrade
9,P/OCF Ratio,22.56,22.56,9.96,4.06,10.24,-,-,-38.14,-,2.65,4.07,Upgrade
10,EV/Sales Ratio,0.99,0.87,0.78,0.84,0.91,0.92,1.13,1.47,1.45,1.30,1.24,Upgrade
11,EV/EBITDA Ratio,23.44,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,-182.48,-,13.92,8.75,27.52,-,-139.34,-,-,5.71,10.68,Upgrade
13,Debt / Equity Ratio,0.24,0.24,0.23,0.18,0.14,0.14,0.13,0.19,0.25,0.25,0.23,Upgrade
14,Debt / FCF Ratio,-,-,12.22,6.01,15.45,-,-61.69,-,-,4.06,5.50,Upgrade
15,Earnings Yield,-126.44%,-145.17%,-75.59%,-65.38%,-67.66%,-48.34%,-55.46%,-42.74%,-28.22%,-129.01%,-121.30%,Upgrade
16,FCF Yield,-1.50%,8.91%,12.03%,20.56%,6.71%,-5.11%,-1.53%,-11.91%,7.69%,34.69%,18.46%,Upgrade
