,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,11170,13200,16011,16342,16722,19468,23549,17273,18673,19334,18144,Upgrade
1,Market Cap Growth,-19.23%,-19.23%,-4.25%,-16.06%,-28.99%,12.71%,26.12%,-10.66%,2.92%,-5.26%,9.18%,Upgrade
2,Enterprise Value,21948,24341,25885,27035,25692,29251,32855,27111,27927,28442,26671,Upgrade
3,PE Ratio,45.20,52.79,64.89,83.45,-,25.66,19.81,14.54,17.67,44.35,-,Upgrade
4,PS Ratio,0.81,0.95,1.17,1.22,1.29,1.60,2.08,1.71,2.19,2.39,2.23,Upgrade
5,PB Ratio,1.45,1.51,1.84,1.81,1.83,1.98,2.47,2.30,2.77,3.25,3.34,Upgrade
6,P/FCF Ratio,39.72,46.94,-,-118.47,-,23.95,-,-89.50,-,-55.38,-,Upgrade
7,P/OCF Ratio,10.96,10.96,10.65,15.28,11.98,8.37,13.12,10.28,9.90,15.71,18.85,Upgrade
8,EV/Sales Ratio,1.58,1.75,1.90,2.02,1.98,2.41,2.90,2.69,3.27,3.51,3.28,Upgrade
9,EV/EBITDA Ratio,15.18,17.43,15.90,15.05,15.09,16.03,17.70,17.23,16.69,16.12,16.64,Upgrade
10,EV/EBIT Ratio,25.08,28.77,24.71,22.51,22.16,22.63,24.26,24.51,22.43,20.68,21.49,Upgrade
11,EV/FCF Ratio,78.04,86.55,-,-195.98,-,35.98,-,-140.48,-,-81.47,-,Upgrade
12,Debt / Equity Ratio,1.43,1.43,1.41,1.38,1.26,1.16,1.19,1.52,1.73,1.88,2.04,Upgrade
13,Debt / FCF Ratio,44.50,44.50,-,-90.04,-,14.05,-,-59.03,-,-32.05,-,Upgrade
14,Return on Capital Employed (ROCE),5.74%,5.74%,7.15%,6.65%,7.34%,7.84%,7.42%,8.61%,10.23%,10.74%,9.48%,Upgrade
15,Earnings Yield,2.24%,1.89%,1.54%,1.20%,1.04%,3.90%,5.05%,6.88%,5.66%,2.25%,2.37%,Upgrade
16,Earnings Yield,2.24%,1.89%,1.54%,1.20%,1.04%,3.90%,5.05%,6.88%,5.66%,2.25%,2.37%,Upgrade
17,FCF Yield,2.52%,2.13%,3.62%,-0.84%,1.13%,4.18%,1.20%,-1.12%,0.07%,-1.81%,-3.40%,Upgrade
18,Dividend Yield,0.00%,-,-,-,-,1.61%,1.36%,1.59%,1.33%,1.01%,1.07%,Upgrade
19,Buyback Yield / Dilution,0.93%,1.30%,0.57%,0.36%,-3.47%,-7.16%,0.53%,-4.08%,-7.06%,0.92%,-0.95%,Upgrade
20,Total Shareholder Return,0.93%,1.30%,0.57%,0.36%,-3.47%,-5.55%,1.89%,-2.49%,-5.73%,1.93%,0.12%,Upgrade
