,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,2321,-,2805,-,952.32,313.43,1990,2949,1810,2785,Upgrade
1,Revenue Growth (YoY),-17.23%,-,194.50%,-,-52.15%,-89.37%,9.96%,5.90%,58.49%,47.53%,Upgrade
2,Cost of Revenue,2251,-,2749,-,917.85,266.21,1898,2738,1588,2454,Upgrade
3,Gross Profit,70.13,-,55.28,-,34.47,47.23,91.72,211.78,221.42,331.54,Upgrade
4,"Selling, General & Admin",33.15,-,42.48,-,69.27,81.36,50.93,63.16,61.8,86.03,Upgrade
5,Research & Development,0.4,-,0.52,-,0.54,0.49,1,1.34,1.09,1.14,Upgrade
6,Other Operating Expenses,-,-,-,-,-,-1.55,1.55,-0.7,4.86,-,Upgrade
7,Operating Expenses,36.95,-,44.43,-,70.11,81.35,43.43,71.96,70.05,89.64,Upgrade
8,Operating Income,33.18,-,10.86,-,-35.65,-34.13,48.29,139.83,151.37,241.9,Upgrade
9,Interest Expense,-11.68,-,-13.48,-,-7.19,-8.04,-6.14,-5.8,-5.19,-7.04,Upgrade
10,Interest & Investment Income,-,-,-,-,-,1.42,-,3.1,-,3.44,Upgrade
11,Currency Exchange Gain (Loss),-,-,-,-,-,0.86,-,3.04,-,-1.94,Upgrade
12,Other Non Operating Income (Expenses),-0.82,-,2.46,-,-0.1,0.22,4.66,-1.27,7.9,6.35,Upgrade
13,EBT Excluding Unusual Items,20.68,-,-0.17,-,-42.94,-39.67,46.81,138.9,154.08,242.71,Upgrade
14,Impairment of Goodwill,-8.5,-,-,-,-,-,-,-,-,-330.26,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.76,-,-0.56,Upgrade
16,Asset Writedown,-,-,-,-,-,-5.19,-2415,-12.54,-,-1.68,Upgrade
17,Other Unusual Items,-,-,-,-,-,-0.03,-,-1.33,-26.66,-83,Upgrade
18,Pretax Income,12.18,-,-0.17,-,-42.94,-44.9,-2368,125.78,127.42,-172.79,Upgrade
19,Income Tax Expense,1.88,-,0.01,-,-0.46,-14.22,14.21,23.4,24.02,38.43,Upgrade
20,Earnings From Continuing Operations,10.3,-,-0.18,-,-42.48,-30.68,-2383,102.39,103.4,-211.22,Upgrade
21,Earnings From Discontinued Operations,-,-,1.96,-,-,-,-,-,-,-,Upgrade
22,Net Income to Company,10.3,-,1.79,-,-42.48,-30.68,-2383,102.39,103.4,-211.22,Upgrade
23,Minority Interest in Earnings,10.25,-,14.38,-,12.53,12.13,-11.66,10.46,11.26,23.66,Upgrade
24,Net Income,20.56,-,16.16,-,-29.95,-18.55,-2394,112.84,114.66,-187.57,Upgrade
25,Net Income to Common,20.56,-,16.16,-,-29.95,-18.55,-2394,112.84,114.66,-187.57,Upgrade
26,Net Income Growth,27.17%,-,-,-,-,-,-,-,60.65%,-,Upgrade
27,Shares Outstanding (Basic),1954,-,1954,-,1781,1628,1628,1628,1627,1627,Upgrade
28,Shares Outstanding (Diluted),1954,-,1954,-,1781,1628,1628,1629,1627,1627,Upgrade
29,Shares Change (YoY),-,-,9.70%,-,9.39%,-0.02%,0.06%,0.13%,0.19%,0.10%,Upgrade
30,EPS (Basic),0.01,-,0.01,-,-0.02,-0.01,-1.47,0.07,0.07,-0.12,Upgrade
31,EPS (Diluted),0.01,-,0.01,-,-0.02,-0.01,-1.47,0.07,0.07,-0.12,Upgrade
32,EPS Growth,20.90%,-,-,-,-,-,-,-,59.30%,-,Upgrade
33,Free Cash Flow,-22.99,-,34.94,-,68.31,343.02,-1221,184.25,179.37,-199.51,Upgrade
34,Free Cash Flow Per Share,-0.01,-,0.02,-,0.04,0.21,-0.75,0.11,0.11,-0.12,Upgrade
35,Operating Margin,1.43%,-,0.39%,-,-3.74%,-10.89%,2.43%,4.74%,8.36%,8.69%,Upgrade
36,Profit Margin,0.89%,-,0.58%,-,-3.14%,-5.92%,-120.31%,3.83%,6.34%,-6.73%,Upgrade
37,Free Cash Flow Margin,-0.99%,-,1.25%,-,7.17%,109.44%,-61.34%,6.25%,9.91%,-7.16%,Upgrade
38,EBITDA,41.24,-,19.57,-,-20.76,-21.22,62.27,151.65,165.49,254.63,Upgrade
39,D&A For EBITDA,8.07,7.11,8.71,11.67,14.89,12.91,13.98,11.82,14.12,12.73,Upgrade
40,EBIT,33.18,-,10.86,-,-35.65,-34.13,48.29,139.83,151.37,241.9,Upgrade
