,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2465,2416,2265,2574,3110,3720,2863,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-35.05%,-35.05%,-20.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1488,1456,1218,1545,2081,2720,1747,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,30.81,29.46,27.62,29.93,36.16,43.25,33.29,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,19.35,19.02,17.65,18.28,22.45,24.47,18.40,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,7.83,7.69,7.17,8.25,10.05,11.44,8.36,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.74,1.69,1.62,1.74,2.15,2.62,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.74,1.74,1.67,1.79,2.21,2.69,2.12,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,31.72,31.09,25.43,-,25.40,41.11,67.90,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,22.17,22.17,18.52,-,18.08,23.90,21.52,-,-,-,-,-,-,-,-,-,-,-,-,-
