,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,943.01,975.27,1060,1077,1043,1012,1126,241.81,-,253.39,-,230.22,230.22,255.78,255.78,251.6,251.6,108.61,108.61
1,Trading Asset Securities,50,-,-,-,-,-,2,-,-,-,-,-,-,1.5,1.5,-,-,23.55,23.55
2,Cash & Short-Term Investments,993.01,975.27,1060,1077,1043,1012,1128,241.81,-,253.39,230.22,230.22,230.22,257.29,257.29,251.6,251.6,132.16,132.16
3,Cash Growth,-4.80%,-3.66%,-6.02%,345.55%,-,299.51%,390.16%,5.04%,-,-1.51%,-10.52%,-8.50%,-8.50%,94.68%,94.68%,-,-,-,-
4,Accounts Receivable,168.21,162.25,153.09,140.04,160.48,149.97,153.27,162.29,-,128.14,-,108.43,108.43,95.43,95.43,93.08,93.08,160.98,160.98
5,Other Receivables,9.69,11.91,14.95,11.53,12.31,13.53,12.22,15.56,-,1.85,-,13.88,13.88,13.61,13.61,15.28,15.28,3.2,3.2
6,Receivables,177.91,174.16,168.04,151.57,172.78,163.5,165.49,177.84,-,130,-,122.31,122.31,109.04,109.04,108.36,108.36,164.18,164.18
7,Inventory,12.87,13.52,14.69,2.23,4.41,3.44,1.8,2.2,-,2.33,-,1.76,1.76,1.78,1.78,8.37,8.37,33.89,33.89
8,Other Current Assets,6.56,7.51,7.97,10.35,9.78,17.53,14.55,11.51,-,21.98,-,4.44,4.44,2.67,2.67,1.43,1.43,6.29,6.29
9,Total Current Assets,1190,1170,1251,1242,1230,1197,1310,433.36,-,407.7,-,358.72,358.72,370.78,370.78,369.76,369.76,336.51,336.51
10,"Property, Plant & Equipment",230.35,225.88,217.57,211.06,209.7,197.83,179.82,165.86,-,119.31,-,90.72,90.72,59.71,59.71,38.12,38.12,36.01,36.01
11,Long-Term Investments,30,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,27.63,27.81,27.99,28.17,28.36,28.54,28.73,28.92,-,29.19,-,29.48,29.48,29.82,29.82,30.16,30.16,1.01,1.01
13,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,53.41,53.41,55.65,55.65,45.21,45.21,-,-
14,Long-Term Deferred Tax Assets,2.47,2.38,1.99,1.65,1.57,1.5,1.38,1.55,-,1.47,-,1.25,1.25,1.64,1.64,1.27,1.27,2.07,2.07
15,Long-Term Deferred Charges,-,-,-,-,-,-,2.99,4.73,-,1.63,-,0.2,0.2,0.27,0.27,0.35,0.35,0.42,0.42
16,Other Long-Term Assets,-,25,-,-,20,20,-,-,-,-,-,-,-,-,-,-,-,25.38,25.38
17,Total Assets,1481,1452,1524,1507,1490,1445,1523,634.42,-,559.3,-,533.79,533.79,517.87,517.87,484.86,484.86,401.4,401.4
18,Accounts Payable,28.45,27.19,27.81,33.37,44.95,27.54,29.73,36.01,-,38.23,-,25.68,25.68,28.48,28.48,44.32,44.32,36.52,36.52
19,Accrued Expenses,9.95,8.35,5.49,14.22,11.03,10.98,7.16,14.19,-,12.6,-,14.49,14.49,8.73,8.73,21.9,21.9,22.02,22.02
20,Short-Term Debt,1.38,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,2.45,2.44,2.44,2.13,1.35,1.36,1.71,1.79,-,0.95,-,1.52,1.52,-,-,-,-,-,-
22,Current Income Taxes Payable,7.87,4.63,4.86,4.26,5.97,5.52,4.56,7.63,-,11.3,-,5.13,5.13,8.31,8.31,14.81,14.81,10.13,10.13
23,Current Unearned Revenue,0.39,0.52,1.93,1.92,2.63,-,0.58,-,-,-,-,-,-,-,-,0.23,0.23,0.06,0.06
