,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,71.58,86.71,82.19,73.04,73.56,82.94,79.45,86.3,93.3,101.46,82.33,83.65,83.65,80.8,80.8,107.8,107.8,120.07,120.07
1,Other Revenue,-,-,-,0.5,-0.09,0.09,-,2.94,-2.58,2.58,-,0.75,0.75,0.11,0.11,0.14,0.14,0.11,0.11
2,Revenue,71.58,86.71,82.19,73.54,73.47,83.03,79.45,89.24,90.71,104.04,82.33,84.4,84.4,80.91,80.91,107.94,107.94,120.18,120.18
3,Revenue Growth (YoY),-2.58%,4.44%,3.46%,-17.59%,-19.01%,-20.20%,-3.50%,5.74%,7.49%,28.59%,1.75%,-21.81%,-21.81%,-32.68%,-32.68%,-,-,-,-
4,Cost of Revenue,29.58,36.3,40.66,36.68,25.9,31.18,34.57,35.68,43.5,49.96,45.45,36.27,36.27,37.27,37.27,49.97,49.97,55.04,55.04
5,Gross Profit,42,50.41,41.53,36.86,47.57,51.85,44.87,53.56,47.21,54.09,36.88,48.12,48.12,43.64,43.64,57.97,57.97,65.15,65.15
6,"Selling, General & Admin",5.71,6.51,6.17,6.99,6.16,8.97,7.94,4.11,5.59,5.56,6.06,4.53,4.53,7.29,7.29,5.85,5.85,5.61,5.61
7,Research & Development,4.34,4.35,4.82,7.08,8.02,4.79,4.35,3.96,4.94,6.23,4.5,4.96,4.96,5.53,5.53,5.62,5.62,7.77,7.77
8,Other Operating Expenses,-1.9,-1.98,-1.51,-0.51,1.24,-5.41,-2.04,5.75,-2.19,-5.55,-3.5,-5.78,-5.78,-3.78,-3.78,-3.53,-3.53,-2.37,-2.37
9,Operating Expenses,10.63,10.91,10.31,14,16.15,8.27,9.74,15.13,8.18,6.39,8.25,4.47,4.47,9.16,9.16,5.75,5.75,12.21,12.21
10,Operating Income,31.36,39.5,31.22,22.86,31.42,43.58,35.13,38.43,39.03,47.7,28.63,43.66,43.66,34.48,34.48,52.22,52.22,52.94,52.94
11,Interest Expense,-0.01,-0.03,-0.01,-0.09,-0.02,-0.04,-0.03,-0.01,-0.06,-0.03,-0.04,-0.03,-0.03,-0.04,-0.04,-,-,-,-
12,Interest & Investment Income,5.12,4.2,7.79,8.26,6.8,7.76,0.84,1.31,0.83,11,0.77,0.82,0.82,2.13,2.13,0.96,0.96,0.73,0.73
13,Other Non Operating Income (Expenses),-0.03,-0.01,-0,-0.48,6.93,-0.49,-0.01,0.19,0.42,-0.2,-0.01,-0,-0,1.44,1.44,-0.07,-0.07,-0,-0
