,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,105.1,58.83,49.16,108.22,114.58,142.58,114.46
1,Revenue Growth (YoY),113.80%,-45.64%,-57.10%,-24.10%,0.10%,-,-
2,Cost of Revenue,53.23,30.33,18.03,41.44,37.35,46,44.43
3,Gross Profit,51.88,28.5,31.13,66.79,77.23,96.59,70.03
4,"Selling, General & Admin",24.64,20.95,17.26,17.25,18.24,24.74,17.41
5,Other Operating Expenses,-2.25,-3.63,-1.73,-1.53,-0.3,-0.11,-0.07
6,Operating Expenses,22.13,16.24,14.17,17.2,17.98,25.87,17.33
7,Operating Income,29.75,12.26,16.97,49.59,59.25,70.72,52.7
8,Interest Expense,-3.56,-4.82,-3.35,-3.37,-3.28,-3.03,-2.98
9,Interest & Investment Income,0.06,0.04,0.09,0.22,0.18,0.24,0.17
10,Currency Exchange Gain (Loss),-,-0,-,-2.27,2.27,0.24,0.01
11,Other Non Operating Income (Expenses),0.04,0.42,0,1.22,-,-0.43,-
12,EBT Excluding Unusual Items,26.29,7.9,13.7,45.39,58.41,67.75,49.9
13,Gain (Loss) on Sale of Assets,-0.43,-0.37,-0.08,-0.11,0.08,0.04,-0.54
14,Pretax Income,25.86,7.53,13.62,45.2,58.56,67.76,49.39
15,Income Tax Expense,5.42,0.56,3.1,9.91,13.64,18.97,12.56
16,Net Income,20.45,6.97,10.53,35.29,44.93,48.79,36.83
17,Net Income to Common,20.45,6.97,10.53,35.29,44.93,48.79,36.83
18,Net Income Growth,94.26%,-80.25%,-76.57%,-27.66%,21.99%,-,-
19,Shares Outstanding (Basic),1000,1000,1000,1000,1000,818,750
20,Shares Outstanding (Diluted),1000,1000,1000,1000,1000,818,750
21,Shares Change (YoY),-,-,-,22.18%,33.33%,-,-
22,EPS (Basic),0.02,0.01,0.01,0.04,0.04,0.06,0.05
23,EPS (Diluted),0.02,0.01,0.01,0.04,0.04,0.06,0.05
24,EPS Growth,94.26%,-80.25%,-76.57%,-40.79%,-8.51%,-,-
25,Free Cash Flow,-32.7,14.07,-51.99,-41.57,-82.2,9.01,11.65
26,Free Cash Flow Per Share,-0.03,0.01,-0.05,-0.04,-0.08,0.01,0.02
27,Operating Margin,28.31%,20.84%,34.51%,45.82%,51.71%,49.60%,46.04%
28,Profit Margin,19.45%,11.84%,21.41%,32.61%,39.21%,34.21%,32.18%
29,Free Cash Flow Margin,-31.11%,23.91%,-105.76%,-38.41%,-71.74%,6.32%,10.18%
30,EBITDA,45.29,22.03,24.87,56.73,66.56,77.77,59.33
31,D&A For EBITDA,15.54,9.77,7.9,7.14,7.32,7.06,6.63
32,EBIT,29.75,12.26,16.97,49.59,59.25,70.72,52.7
