,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,29.69,76.12,39.07,59.16,109.84,235.59,-
1,Short-Term Investments,4.59,9.72,10.84,6.75,3.6,8.06,-
2,Cash & Short-Term Investments,34.27,85.84,49.91,65.91,113.44,243.65,-
3,Cash Growth,-31.32%,30.23%,-56.01%,-72.95%,-,-,-
4,Accounts Receivable,26.56,40.64,53.78,71.47,64.35,55.11,-
5,Other Receivables,27.49,29.71,46.5,43.94,7.26,0.2,-
6,Receivables,54.05,70.36,100.28,115.41,71.61,55.31,-
7,Inventory,56.14,46.2,48.76,40.11,40.47,27.57,-
8,Other Current Assets,1.56,1.17,1.11,1.31,2.74,1.08,-
9,Total Current Assets,146.02,203.55,200.05,222.74,228.26,327.61,-
10,"Property, Plant & Equipment",492.94,462.27,423.19,401.7,274.45,164.19,-
11,Long-Term Investments,0.01,-,-,-,-,-,-
12,Other Intangible Assets,0.03,0.03,0.04,0.01,0.01,0.01,-
13,Long-Term Deferred Tax Assets,3.72,4.21,2.25,1.73,0.27,0.1,-
14,Other Long-Term Assets,121.32,126.6,131.82,131.61,173.96,130.76,-
15,Total Assets,764.04,796.66,757.35,757.79,676.95,622.66,-
16,Accounts Payable,2.02,2.62,1.73,2.54,2.53,5.09,-
17,Accrued Expenses,18.78,18.55,18.96,20.89,28.95,25.86,-
18,Short-Term Debt,44.9,34.9,27.9,27.9,-,-,-
19,Current Portion of Long-Term Debt,27.58,0.2,42.99,27.84,21.98,2.12,-
20,Current Portion of Leases,0.39,32.25,0.18,0.61,0.6,0.55,-
21,Current Income Taxes Payable,15.02,13.2,12.9,35.08,25.57,22.09,-
22,Current Unearned Revenue,20.48,16.42,6.11,14.96,26.77,23.43,-
23,Other Current Liabilities,15.53,59.56,77.04,85,19.72,5.77,-
24,Total Current Liabilities,144.69,177.7,187.79,214.8,126.12,84.91,-
25,Long-Term Debt,33.83,49.83,13.52,-,26.8,37.78,-
26,Long-Term Leases,0.61,-,-,-,0.16,0.32,-
27,Long-Term Unearned Revenue,-,37.14,-,-,4.47,11.72,-
28,Long-Term Deferred Tax Liabilities,5.57,5.04,4.02,3.91,3.41,2.97,-
29,Other Long-Term Liabilities,89.28,55.76,87.84,85.45,99.02,96.79,-
30,Total Liabilities,273.99,325.47,293.17,304.17,259.97,234.48,-
31,Common Stock,8.21,8.21,8.21,8.21,8.21,8.21,-
32,Additional Paid-In Capital,517.97,517.97,517.97,517.97,517.97,534.1,-
33,Retained Earnings,279.67,259.23,252.26,241.73,206.45,161.52,-
34,Comprehensive Income & Other,-315.8,-314.21,-314.26,-314.29,-315.64,-315.64,-
35,Shareholders' Equity,490.05,471.19,464.18,453.62,416.98,388.18,-
36,Total Liabilities & Equity,764.04,796.66,757.35,757.79,676.95,622.66,-
37,Total Debt,107.31,117.18,84.59,56.35,49.54,40.77,-
38,Net Cash (Debt),-73.04,-31.34,-34.68,9.56,63.9,202.88,-
39,Net Cash Growth,-,-,-,-95.29%,-,-,-
40,Net Cash Per Share,-0.07,-0.03,-0.03,0.01,0.06,0.25,-
41,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,750
42,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,750
43,Working Capital,1.33,25.86,12.26,7.94,102.14,242.7,-
44,Book Value Per Share,0.49,0.47,0.46,0.45,0.42,0.39,-
45,Tangible Book Value,490.02,471.16,464.14,453.61,416.97,388.17,-
46,Tangible Book Value Per Share,0.49,0.47,0.46,0.45,0.42,0.39,-
47,Buildings,204.65,202.49,137.82,137.82,113.28,112.79,-
48,Machinery,179.51,179.28,81.85,52.43,55.33,54.72,-
49,Construction In Progress,95.21,54.52,169.09,169.99,58.17,-,-
