,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,830,800,870,710,580,750,930,-
1,Market Cap Growth,12.68%,12.68%,50.00%,-5.33%,-37.63%,-,-,-
2,Enterprise Value,908,835,907,699,505,502,912,-
3,Last Close Price,0.83,0.80,0.87,0.71,0.58,0.73,0.91,-
4,PE Ratio,28.18,27.16,45.14,14.34,6.40,6.83,8.85,-
5,PS Ratio,4.71,4.54,7.31,4.18,2.30,2.49,2.95,-
6,PB Ratio,1.58,1.52,1.68,1.42,1.13,1.54,1.95,-
7,P/TBV Ratio,1.52,1.52,1.68,1.42,1.13,1.54,1.95,-
8,P/FCF Ratio,-,-,-20.82,-,-,-,36.66,-
9,P/OCF Ratio,7.95,7.95,21.06,-,11.92,12.56,13.03,-
10,EV/Sales Ratio,5.16,4.74,7.63,4.11,2.01,1.67,2.89,-
11,EV/EBITDA Ratio,12.17,11.54,17.57,7.93,3.62,2.97,5.42,-
12,EV/EBIT Ratio,20.13,18.49,28.19,9.72,4.11,3.30,6.02,-
13,EV/FCF Ratio,-45.38,-,-21.72,-,-,-,35.97,-
14,Debt / Equity Ratio,0.22,0.22,0.25,0.18,0.12,0.12,0.11,-
15,Debt / FCF Ratio,-,-,-3.09,-,-,-,1.97,-
16,Return on Capital Employed (ROCE),6.78%,6.78%,4.72%,11.69%,20.04%,23.59%,22.95%,-
17,Earnings Yield,3.55%,3.68%,2.22%,6.97%,15.64%,14.64%,11.30%,-
18,FCF Yield,-2.41%,-2.50%,-4.80%,-14.24%,-24.13%,-11.43%,2.73%,-
19,Buyback Yield / Dilution,-,-,-,-22.18%,-33.33%,-,-,
20,Total Shareholder Return,-,-,-,-22.18%,-33.33%,-,-,
