,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,535,485,1334,3978,6314,5534,8288,-,-,-
1,Market Cap Growth,-87.80%,-87.80%,-78.88%,-28.11%,-23.81%,-,-,-,-,-
2,Enterprise Value,859,950,1727,3971,5803,4832,8930,-,-,-
3,Last Close Price,1.07,0.97,2.53,7.70,11.98,10.50,15.80,-,-,-
4,PE Ratio,-,-,-,-,-,49.50,57.43,-,-,-
5,Forward PE,-,-,-,29.43,33.60,19.74,-,-,-,-
6,PS Ratio,0.26,0.24,0.68,2.47,3.95,2.54,3.11,-,-,-
7,PB Ratio,0.62,0.56,1.28,2.90,3.52,2.61,3.98,-,-,-
8,P/TBV Ratio,0.58,0.58,1.32,2.99,3.61,2.68,4.07,-,-,-
9,P/FCF Ratio,31.68,28.73,-,-,-,-,26.41,-,-,-
10,P/OCF Ratio,5.52,5.52,-70.57,-,-,-,15.44,-,-,-
11,PEG Ratio,0.82,0.82,0.82,0.82,0.82,0.77,-,-,-,-
12,EV/Sales Ratio,0.43,0.48,0.88,2.46,3.63,2.21,3.35,-,-,-
13,EV/EBITDA Ratio,-,-6.26,-,-,-,18.51,21.24,-,-,-
14,EV/EBIT Ratio,-,-,-,-,-,-,29.04,-,-,-
15,EV/FCF Ratio,50.81,56.25,-,-,-,-,28.46,-,-,-
16,Debt / Equity Ratio,1.13,1.13,1.16,0.85,0.65,0.56,0.62,1.95,2.11,-
17,Debt / FCF Ratio,57.50,57.50,-,-,-,-,4.09,2.93,2.38,-
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,10.18%,22.18%,24.85%,-
19,Earnings Yield,-90.97%,-101.57%,-45.14%,-8.95%,-1.54%,2.06%,1.78%,-,-,-
20,FCF Yield,3.16%,3.48%,-14.57%,-8.22%,-6.25%,-1.03%,3.79%,-,-,-
21,Buyback Yield / Dilution,2.85%,1.78%,3.89%,4.74%,-17.46%,-23.86%,-2.27%,-3.04%,-,-
22,Total Shareholder Return,2.85%,1.78%,3.89%,4.74%,-17.46%,-23.86%,-2.27%,-3.04%,-,-
