,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,900.2,949.45,827.81,664.65,748.14,1115,1053,1037,601.56
1,Revenue Growth (YoY),8.75%,42.85%,10.65%,-40.40%,-28.98%,7.57%,75.11%,-,-
2,Cost of Revenue,370.77,419.86,360.21,272.57,267.64,310.62,277.98,250.66,166.01
3,Gross Profit,529.44,529.59,467.6,392.08,480.5,804.56,775.42,786.08,435.55
4,"Selling, General & Admin",603.54,745.43,673.26,523.03,501.28,651.1,669.09,625.56,316.07
5,Research & Development,12.43,16.25,13.03,9.86,8.63,8.01,6.15,6.36,5.46
6,Other Operating Expenses,-1.36,2.16,0.39,-1.37,-7.29,-1.56,-3.36,-3.97,1.42
7,Operating Expenses,614.62,763.81,686.7,531.52,502.52,657.64,671.85,628,322.95
8,Operating Income,-85.18,-234.22,-219.1,-139.44,-22.02,146.92,103.57,158.08,112.6
9,Interest Expense,-21.57,-26.57,-27.6,-24.03,-27.2,-29.27,-22.68,-20.28,-16.01
10,Interest & Investment Income,5.48,5.11,7.59,11.21,4.05,3.72,2.41,0.72,0.22
11,Currency Exchange Gain (Loss),0.05,-0.72,-11.29,28.28,59.84,-,-,-,-
12,Other Non Operating Income (Expenses),-0.07,-0.02,-0.25,-0.23,-0.02,0.61,-0.4,-0.16,-0.27
13,EBT Excluding Unusual Items,-101.3,-256.41,-250.65,-124.21,14.66,121.99,82.9,138.36,96.54
14,Impairment of Goodwill,-,-14.83,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,-,-,-4.13,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-34.02,-48.37,-3.98,-0.65,-1.39,-0.68,-0.45,-0.39,-3.6
17,Asset Writedown,-14.06,-13.3,-,-,-,-,-,-,-
18,Other Unusual Items,2.68,4.12,2.34,2.12,-,0.09,6.43,-0.6,0.6
19,Pretax Income,-146.7,-328.79,-256.43,-122.74,13.27,121.4,88.88,137.37,93.54
20,Income Tax Expense,-8.05,-8.3,-30.24,-19.25,-4.36,41.65,48.43,39.5,28.08
21,Earnings From Continuing Operations,-138.65,-320.49,-226.19,-103.49,17.63,79.75,40.44,97.87,65.46
22,Minority Interest in Earnings,0.08,0.29,-,-,-,-,-,-,-
23,Net Income,-138.57,-320.2,-226.19,-103.49,17.63,79.75,40.44,97.87,65.46
24,Preferred Dividends & Other Adjustments,-2.17,-3.44,-5.09,-2.26,0.38,1.54,1.08,12,4.37
25,Net Income to Common,-136.4,-316.76,-221.1,-101.23,17.25,78.21,39.36,85.88,61.09
26,Net Income Growth,-,-,-,-,-56.41%,-18.52%,-38.22%,-,-
27,Shares Outstanding (Basic),493,491,502,511,515,423,378,368,384
28,Shares Outstanding (Diluted),493,491,502,511,527,435,425,425,413
29,Shares Change (YoY),-1.78%,-3.89%,-4.74%,17.46%,23.86%,2.27%,3.04%,-,-
30,EPS (Basic),-0.28,-0.65,-0.44,-0.20,0.03,0.18,0.10,0.23,0.16
31,EPS (Diluted),-0.28,-0.65,-0.44,-0.20,0.03,0.18,0.10,0.23,0.16
32,EPS Growth,-,-,-,-,-64.81%,-20.33%,-40.04%,-,-
33,Free Cash Flow,60.01,-44.28,-132.06,-170.49,-178.64,129.8,125.85,230.38,128.98
34,Free Cash Flow Per Share,0.12,-0.09,-0.26,-0.33,-0.34,0.30,0.30,0.54,0.31
35,Dividend Per Share,-,-,-,-,-,-,0.165,-,-
36,Operating Margin,-9.46%,-24.67%,-26.47%,-20.98%,-2.94%,13.17%,9.83%,15.25%,18.72%
37,Profit Margin,-15.15%,-33.36%,-26.71%,-15.23%,2.31%,7.01%,3.74%,8.28%,10.15%
38,Free Cash Flow Margin,6.67%,-4.66%,-15.95%,-25.65%,-23.88%,11.64%,11.95%,22.22%,21.44%
39,EBITDA,1.03,-142.24,-145.85,-82.08,27.66,195.17,147.39,198.18,148.23
40,D&A For EBITDA,86.21,91.98,73.25,57.36,49.68,48.25,43.82,40.1,35.64
41,EBIT,-85.18,-234.22,-219.1,-139.44,-22.02,146.92,103.57,158.08,112.6
