,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,533.78,603.22,486.84,565.09,1398,1566,453.66,292.86,-
1,Short-Term Investments,69.06,69.92,222.71,477.3,52.63,52.81,54.95,43.61,-
2,Cash & Short-Term Investments,602.84,673.14,709.56,1042,1451,1619,508.61,336.46,-
3,Cash Growth,-15.04%,-35.42%,-51.09%,-35.61%,185.26%,381.18%,-,-,-
4,Accounts Receivable,10.4,10.27,5.27,7.06,3.7,13.35,6.93,10.33,-
5,Other Receivables,2.27,4.16,3.27,1.93,5.88,3.98,-1.61,7.95,-
6,Receivables,12.67,14.43,8.55,8.99,9.58,17.34,5.32,18.28,-
7,Inventory,65.64,77,95.83,94.97,92.43,61.38,58.13,31.44,-
8,Prepaid Expenses,25.07,27.5,38.56,31.2,35.29,36.73,46.82,45.11,-
9,Restricted Cash,1.13,-,-,-,-,-,149.5,-,-
10,Other Current Assets,11.71,17.27,15.88,11.93,12.65,14.19,17.27,6.32,-
11,Total Current Assets,719.07,809.33,868.37,1189,1601,1749,785.65,437.61,-
12,"Property, Plant & Equipment",1208,1490,1718,1632,1437,1375,1142,1120,-
13,Goodwill,10.33,10.33,25.16,25.16,25.16,25.16,25.16,-,-
14,Other Intangible Assets,17.25,18.05,13.74,14.52,16.67,16.1,8.99,3.55,-
15,Long-Term Deferred Tax Assets,119.12,107.63,94.74,60.42,46.76,32.54,32.74,29.01,-
16,Long-Term Deferred Charges,10.57,6.79,-,-,-,-,-,-,-
17,Other Long-Term Assets,2.75,2.11,5.16,9.26,6.33,1.51,2.22,4.09,-
18,Total Assets,2087,2445,2725,2930,3133,3199,1997,1594,-
19,Accounts Payable,61.51,79.42,103.79,43.97,27.96,36.06,66.65,44.68,-
20,Accrued Expenses,82.05,100.79,78,82.43,80.27,146.56,100.85,78.85,-
21,Short-Term Debt,132.63,152.82,-,-,65.43,99.53,240.28,25.9,-
22,Current Portion of Leases,147.61,170.04,182.28,190.55,149.29,185.06,157.98,147.05,-
23,Current Income Taxes Payable,9.15,6.81,7.22,8.86,17.32,63.22,50.94,73.62,-
24,Current Unearned Revenue,199.13,182.36,165.16,154.98,167.68,189.52,181.79,120.42,-
25,Other Current Liabilities,24.65,30.66,27.4,17.72,16.87,17.74,18.63,14.68,-
26,Total Current Liabilities,656.72,722.9,563.85,498.51,524.82,737.68,817.12,505.2,-
27,Long-Term Leases,623.83,772.69,891.3,845.05,799.29,762.3,644.38,682.88,-
28,Long-Term Deferred Tax Liabilities,4.43,6.72,1.7,1.5,0.86,0.98,0.96,0.22,-
29,Total Liabilities,1285,1502,1457,1345,1325,1501,1462,1188,-
30,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-
31,Additional Paid-In Capital,1330,1332,1332,1332,1332,1240,-,-,-
32,Retained Earnings,-508.41,-369.84,-49.63,176.56,320.1,302.48,292.53,252.09,-
33,Treasury Stock,-0.05,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-19.85,-19.9,-14.12,76.46,155.22,155.45,241.8,153.97,-
35,Total Common Equity,802.2,942.56,1269,1585,1808,1698,534.33,406.06,-
36,Minority Interest,-0.38,-0.31,-,-,-,-,-,-,-
37,Shareholders' Equity,801.82,942.25,1269,1585,1808,1698,534.33,406.06,-
38,Total Liabilities & Equity,2087,2445,2725,2930,3133,3199,1997,1594,-
39,Total Debt,904.06,1096,1074,1036,1014,1047,1043,855.83,-
40,Net Cash (Debt),-301.22,-422.42,-364.02,6.79,436.84,572.12,-534.03,-519.37,-
41,Net Cash Growth,-,-,-,-98.81%,-,-,-,-,-
42,Net Cash Per Share,-0.61,-0.86,-0.73,0.01,0.83,1.32,-1.26,-1.22,-
43,Filing Date Shares Outstanding,500.41,501.97,527.08,516.67,527.08,519.96,425.53,367.87,383.91
44,Total Common Shares Outstanding,500.41,501.97,527.08,516.67,527.08,519.96,425.53,367.87,383.91
45,Working Capital,62.35,86.43,304.52,690.97,1076,1011,-31.47,-67.59,-
46,Book Value Per Share,1.60,1.88,2.41,3.07,3.43,3.27,1.26,1.10,-
47,Tangible Book Value,774.62,914.18,1230,1546,1766,1657,500.19,402.51,-
48,Tangible Book Value Per Share,1.55,1.82,2.33,2.99,3.35,3.19,1.18,1.09,-
49,Machinery,156,159.24,152.36,128.06,109.5,99.26,88.16,73.94,-
50,Leasehold Improvements,842.07,870.98,875.52,775.12,627.69,527.61,-,347.68,-
