,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,98.35,112.44,110,102.94,81.67,114.28,117.6,138.94,101.72,109.84,109.84
1,Other Revenue,-0.93,0.93,-,3,-1.63,1.63,-,4.22,-3.09,1.54,1.54
2,Revenue,97.42,113.37,110,105.94,80.04,115.91,117.6,143.16,98.64,111.39,111.39
3,Revenue Growth (YoY),21.72%,-2.19%,-6.46%,-26.00%,-18.85%,4.06%,5.58%,-,-,-,-
4,Cost of Revenue,59.62,72.05,72.51,72.03,48.54,70.54,72.13,90.59,63.38,67.99,67.99
5,Gross Profit,37.81,41.32,37.49,33.9,31.5,45.37,45.47,52.57,35.25,43.4,43.4
6,"Selling, General & Admin",18.95,20.56,14.75,20.31,15.91,16.65,13.27,15.69,12.02,13.88,13.88
7,Research & Development,4.64,4.82,3.5,4.58,3.92,5.61,3.9,7.43,1.67,4.8,4.8
8,Other Operating Expenses,7.31,-6.2,-0.16,-1.92,-0.57,0.88,1.02,8.34,-2.49,-0.75,-0.75
9,Operating Expenses,30.92,20.44,18.38,24.01,18.48,22.04,18.01,32.84,10.43,17.67,17.67
10,Operating Income,6.89,20.88,19.11,9.89,13.02,23.32,27.46,19.73,24.83,25.73,25.73
11,Interest Expense,-6.43,-0.18,-,-0.66,-0.06,-,-0.41,-0.5,-,-0.37,-0.37
12,Interest & Investment Income,0.18,2.89,3.54,4.84,0.34,0.13,0.13,0.71,0.14,0.56,0.56
13,Other Non Operating Income (Expenses),8.26,-0,-,-0.93,14.83,-0.66,0,-0.37,0.16,-0.12,-0.12
14,EBT Excluding Unusual Items,8.89,23.6,22.65,13.14,28.13,22.79,27.19,19.56,25.13,25.79,25.79
15,Gain (Loss) on Sale of Investments,-,-0.12,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0,-,-,-0,-0,0,-0,79.07,0,0.24,0.24
17,Asset Writedown,-2.4,0.96,-0.96,0.63,-0.61,0.01,-0.02,1.11,-1.11,-,-
18,Other Unusual Items,7.22,0.09,0.03,0.52,0.24,-0.24,-,11.77,-0.18,0.09,0.09
19,Pretax Income,13.72,24.52,21.72,14.29,27.75,22.56,27.17,111.5,23.84,26.12,26.12
20,Income Tax Expense,1.65,2.53,2.29,1.06,3.81,2.65,3.5,17.44,3.3,3.07,3.07
21,Earnings From Continuing Operations,12.07,21.99,19.43,13.23,23.94,19.91,23.67,94.07,20.54,23.04,23.04
22,Minority Interest in Earnings,0.07,-0.98,-1.19,-0.2,-0.45,-0.62,-1.42,-3.38,-0.55,-0.69,-0.69
23,Net Income,12.14,21.01,18.24,13.03,23.49,19.29,22.25,90.68,19.99,22.35,22.35
24,Net Income to Common,12.14,21.01,18.24,13.03,23.49,19.29,22.25,90.68,19.99,22.35,22.35
25,Net Income Growth,-48.32%,8.91%,-18.01%,-85.63%,17.51%,-13.70%,-0.47%,-,-,-,-
