,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,283.74,539.4,626.25,617.75,590.08,20.61,-,50.44,-,79.43,79.43
1,Trading Asset Securities,244,53.28,-,-,-,-,-,18,-,0.43,0.43
2,Cash & Short-Term Investments,527.74,592.68,626.25,617.75,590.08,20.61,68.44,68.44,-,79.85,79.85
3,Cash Growth,-10.56%,2775.19%,815.00%,802.59%,-,-74.19%,-14.29%,-,-,-,-
4,Accounts Receivable,220.74,242.76,211.64,227.4,271.34,260.91,-,223.87,-,189.78,189.78
5,Other Receivables,4.73,2.96,3.94,2.33,4.49,2.81,-,1.46,-,3.86,3.86
6,Receivables,225.47,245.72,215.58,229.72,275.83,263.72,-,225.33,-,193.64,193.64
7,Inventory,68.3,60.28,60.6,63.2,62.57,59.33,-,53.25,-,67.34,67.34
8,Prepaid Expenses,-,0.05,-,0.21,-,0,-,0,-,0.25,0.25
9,Other Current Assets,62.27,6.63,11.61,8.44,12.64,7.75,-,8.93,-,8.77,8.77
10,Total Current Assets,883.78,905.36,914.04,919.33,941.13,351.42,-,355.95,-,349.85,349.85
11,"Property, Plant & Equipment",314.79,307.39,308.16,303.84,290.47,292.61,-,287.8,-,271.69,271.69
12,Long-Term Investments,17.8,17.8,17.93,17.93,18,18,-,18,-,-,-
13,Other Intangible Assets,39.2,30.88,31.06,31.28,31.05,31.23,-,31.57,-,36.36,36.36
14,Long-Term Deferred Tax Assets,18.83,18.87,18.49,18.37,18.64,17.74,-,17.69,-,16.06,16.06
15,Long-Term Deferred Charges,20.75,21.53,22.35,23.25,22.44,19.32,-,20.73,-,3.05,3.05
16,Other Long-Term Assets,14.58,6.74,1.4,0.64,8.78,5.54,-,11.7,-,3.12,3.12
17,Total Assets,1310,1309,1313,1315,1331,735.86,-,743.44,-,680.12,680.12
18,Accounts Payable,38.11,39.97,61.02,75.03,93.19,90.02,-,99.32,-,87.81,87.81
19,Accrued Expenses,6.75,15.46,8.34,14.94,8.49,18.66,-,32.89,-,24.1,24.1
20,Short-Term Debt,6.8,1,1.11,6.65,11.1,11.23,-,5.91,-,8.09,8.09
21,Current Portion of Leases,5.07,5.1,6.84,6.27,3.77,5.49,-,6.31,-,5.66,5.66
22,Current Income Taxes Payable,5.34,2.64,8.73,3.58,9.31,3.59,-,32.39,-,-,-
23,Current Unearned Revenue,4.68,2.99,0.98,4,1.17,0.98,-,1.47,-,3.77,3.77
24,Other Current Liabilities,25.4,23.87,15.95,10.48,16.36,16.75,-,23.42,-,121.76,121.76
25,Total Current Liabilities,92.16,91.03,102.98,120.95,143.38,146.72,-,201.71,-,251.19,251.19
26,Long-Term Leases,0.91,0.91,1.01,1.94,5.23,4.94,-,5.86,-,9.25,9.25
27,Long-Term Unearned Revenue,80.97,81.6,80.31,81.02,82.64,74.64,-,69.68,-,69.72,69.72
28,Long-Term Deferred Tax Liabilities,1.53,1.69,1.81,1.94,2.2,2.34,-,2.55,-,1.13,1.13
29,Other Long-Term Liabilities,1.49,1.56,1.53,1.46,1.44,1.62,-,1.6,-,1.54,1.54
30,Total Liabilities,177.06,176.79,187.63,207.31,234.9,230.26,-,281.41,-,332.82,332.82
31,Common Stock,104,104,80,80,80,60,-,60,-,60,60
32,Additional Paid-In Capital,605.76,605.97,629.97,629.97,629.97,74.3,-,74.3,-,74.3,74.3
33,Retained Earnings,400.99,399.25,394.24,376,362.97,349.08,-,307.54,-,196.74,196.74
34,Total Common Equity,1111,1109,1104,1086,1073,483.38,441.84,441.84,-,331.05,331.05
35,Minority Interest,21.92,22.57,21.59,21.36,22.67,22.22,-,20.19,-,16.25,16.25
36,Shareholders' Equity,1133,1132,1126,1107,1096,505.6,462.03,462.03,-,347.3,347.3
37,Total Liabilities & Equity,1310,1309,1313,1315,1331,735.86,-,743.44,-,680.12,680.12
38,Total Debt,12.79,7.02,8.96,14.86,20.11,21.65,18.08,18.08,-,23,23
39,Net Cash (Debt),514.96,585.66,617.29,602.89,569.97,-1.04,50.37,50.37,-,56.86,56.86
40,Net Cash Growth,-9.65%,-,1125.61%,1097.03%,-,-,-11.42%,-,-,-,-
41,Net Cash Per Share,4.98,9.29,5.94,5.74,6.03,-0.01,0.64,0.64,-,0.73,0.73
42,Filing Date Shares Outstanding,104,104,104,104,104,78,78.18,78,78.62,78,78
43,Total Common Shares Outstanding,104,104,104,104,104,78,78.18,78,78.62,78,78
44,Working Capital,791.62,814.33,811.06,798.38,797.74,204.7,-,154.23,-,98.66,98.66
45,Book Value Per Share,10.68,10.67,10.62,10.44,10.32,6.20,5.66,5.66,-,4.24,4.24
46,Tangible Book Value,1072,1078,1073,1055,1042,452.15,410.28,410.28,-,294.69,294.69
47,Tangible Book Value Per Share,10.30,10.37,10.32,10.14,10.02,5.80,5.26,5.26,-,3.78,3.78
48,Buildings,-,207.74,-,206.42,-,178.74,-,177.65,-,68.75,68.75
49,Machinery,-,141.57,-,138.98,-,123.92,-,108.05,-,104,104
50,Construction In Progress,-,33.57,-,22.61,-,42.63,-,44.7,-,151.84,151.84
