,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2346,2271,2012,1964,2518,2691,-,-,-,-,-,-
1,Market Cap Growth,-15.60%,-15.60%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1853,1708,1417,1417,1970,2714,-,-,-,-,-,-
3,Last Close Price,22.56,21.84,19.25,18.63,23.88,25.53,-,-,-,-,-,-
4,PE Ratio,32.87,35.26,26.56,26.52,32.25,17.28,-,-,-,-,-,-
5,Forward PE,-,12.04,12.04,13.47,18.03,19.28,-,-,-,-,-,-
6,PS Ratio,4.96,5.32,4.92,4.77,6.00,5.89,-,-,-,-,-,-
7,PB Ratio,2.11,2.01,1.78,1.74,2.27,2.46,-,-,-,-,-,-
8,P/TBV Ratio,2.12,2.12,1.87,1.83,2.39,2.58,-,-,-,-,-,-
9,P/FCF Ratio,72.49,-,-,34.49,818.04,-300.91,-,-,-,-,-,-
10,P/OCF Ratio,19.15,19.15,21.00,18.81,46.70,60.74,-,-,-,-,-,-
11,EV/Sales Ratio,4.34,4.00,3.46,3.44,4.70,5.94,-,-,-,-,-,-
12,EV/EBITDA Ratio,22.70,22.63,17.68,17.34,22.25,28.01,-,-,-,-,-,-
13,EV/EBIT Ratio,34.10,30.09,22.52,21.68,26.73,32.49,-,-,-,-,-,-
14,EV/FCF Ratio,57.26,-,-,24.88,640.21,-303.51,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.04,0.04,-,0.07,0.07
16,Debt / EBITDA Ratio,0.16,0.28,0.06,0.09,0.20,0.31,0.18,0.15,0.16,-,0.19,0.19
17,Debt / FCF Ratio,0.40,-,-,0.16,4.83,-2.25,-0.76,-,-0.54,-,-,-
18,Asset Turnover,0.30,0.35,0.33,0.32,0.31,-,-,-,-,0.66,-,
19,Inventory Turnover,4.22,3.71,4.77,4.69,4.58,3.19,-,-,-,-,4.04,-
20,Quick Ratio,8.17,8.17,9.21,8.17,7.01,6.04,1.94,-,1.46,-,1.09,1.09
21,Current Ratio,9.59,9.59,9.95,8.88,7.60,6.56,2.40,-,1.76,-,1.39,1.39
22,Return on Equity (ROE),4.26%,7.79%,6.96%,4.80%,11.96%,16.46%,20.49%,-,-,26.54%,-,
23,Return on Assets (ROA),1.31%,3.98%,3.64%,1.87%,3.15%,-,-,-,-,9.46%,-,
24,Return on Capital (ROIC),1.51%,4.59%,4.23%,2.21%,3.96%,11.58%,14.30%,-,-,17.37%,-,
25,Return on Capital Employed (ROCE),4.46%,4.66%,5.17%,5.40%,6.17%,7.04%,16.18%,-,17.72%,-,12.00%,6.00%
26,Earnings Yield,2.75%,2.84%,3.77%,3.77%,3.10%,5.79%,-,-,-,-,-,-
27,FCF Yield,1.38%,1.42%,2.19%,2.90%,0.12%,-0.33%,-,-,-,-,-,-
28,Dividend Yield,0.89%,-,1.32%,-,0.64%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,80.78%,0.13%,-,1.50%,0.14%,45.25%,-,-,4.00%,4.00%
30,Buyback Yield / Dilution,-13.96%,-9.37%,19.55%,-33.03%,-33.97%,-20.31%,-1.09%,-0.88%,-,-,-,-
31,Total Shareholder Return,-13.07%,-9.37%,20.87%,-33.03%,-33.33%,-20.31%,-1.09%,-0.88%,-,-,-,-
