,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,289.01,360.79,473.49,421.55,160.05,263.92,134.19,145.51,113.82,107.38,175.1,1872,60.5,70.93,-,58.47,-,36.51,36.51
1,Short-Term Investments,-,624.76,-,1117,-,-,-,144.21,-,220,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,394.64,384.16,337.42,40.91,212.18,185.99,370.21,1379,1455,1420,1518,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,683.65,1370,810.91,1580,372.23,449.91,504.4,1669,1569,1747,1694,1872,60.5,70.93,58.47,58.47,-,36.51,36.51
4,Cash Growth,83.66%,204.44%,60.77%,-5.31%,-76.28%,-74.25%,-70.22%,-10.87%,2493.37%,2362.99%,2796.54%,3101.97%,-,94.27%,60.14%,-,-,-,-
5,Accounts Receivable,238.52,248.04,260.57,280.59,249.87,263.63,266.16,265.46,219.79,223.95,246.72,264.21,311.91,301.58,-,209.26,-,194.01,194.01
6,Other Receivables,1.67,0.94,1.28,1.01,1.13,0.88,1.23,1.41,1.1,5.04,0.82,1.75,0.82,0.68,-,0.41,-,0.59,0.59
7,Receivables,240.19,248.98,261.84,281.6,251,264.5,267.39,266.86,220.89,229,247.54,265.96,312.73,302.26,-,209.67,-,194.61,194.61
8,Inventory,111,104.38,101.97,94.57,124.1,135.04,129.82,119.24,122.43,132.09,122.5,133.82,130.21,128.35,-,89.67,-,89.57,89.57
