,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,140.08,156.16,126.56,168.14,151.2,146.21,156.34,176.42,139.69,136.64,130.92,176.86,245.06,229.16,168.19,138.53,93.35,105.88,105.88
1,Other Revenue,-1.03,1.03,-,1.03,-0.36,0.36,-,0.47,-0.67,0.67,-,1.6,-0.64,0.64,-,2.67,-,-,-
2,Revenue,139.05,157.19,126.56,169.17,150.84,146.57,156.34,176.89,139.02,137.32,130.92,178.46,244.42,229.8,168.19,141.21,93.35,105.88,105.88
3,Revenue Growth (YoY),-7.81%,7.24%,-19.05%,-4.36%,8.51%,6.74%,19.42%,-0.88%,-43.13%,-40.24%,-22.16%,26.38%,161.85%,117.02%,58.84%,-,-,-,-
4,Cost of Revenue,84.24,94.24,78.79,108.25,89.54,82.5,87.28,101.31,83.29,78.3,71.24,96.1,103.01,96.61,78.12,77.76,50.46,56.17,56.17
5,Gross Profit,54.81,62.95,47.77,60.92,61.3,64.07,69.06,75.57,55.73,59.02,59.68,82.36,141.41,133.19,90.06,63.44,42.89,49.72,49.72
6,"Selling, General & Admin",29.01,29.86,33.42,35.17,35.83,38.88,35.25,51,30.29,29.96,28.04,42.67,37.95,33.53,27.24,22.49,19.02,17.36,17.36
7,Research & Development,9.13,8.66,11.1,10.87,7.85,8.81,8.66,10.7,8.54,8.21,9.24,12.92,10.14,11.82,7.19,7.72,4.63,5.66,5.66
8,Other Operating Expenses,1.22,1.36,0.6,-1.13,-10.95,-0.74,-5.57,4.32,0.08,1.22,0.52,4.4,0.6,1.97,1.85,4.05,-0.71,1.4,1.4
9,Operating Expenses,39.41,40.52,44.19,45.92,32.66,45.8,37.49,68.46,38.84,39.93,36.47,62.38,43.59,50.69,38.02,35.35,22.56,24.29,24.29
10,Operating Income,15.4,22.44,3.58,15,28.64,18.27,31.57,7.11,16.89,19.09,23.21,19.98,97.83,82.5,52.04,28.09,20.32,25.42,25.42
11,Interest Expense,-0.07,-0.1,-0,-0,-0.17,-0.06,-0.2,-1.24,-0.12,-0.39,-0.09,-0.58,-1.04,-1.72,-1.48,-1.5,-1.66,-1.82,-1.82
12,Interest & Investment Income,4.88,5.32,7.39,22.5,6.99,11.28,7.44,-,6.34,4.55,5.23,3.57,0.07,0.04,0.06,0.07,0.03,0.07,0.07
13,Currency Exchange Gain (Loss),1.16,-1.16,-,1.95,-0.67,0.67,-,1.4,-0.39,0.39,-,0.72,0.07,-0.07,-,-1.37,-,-,-
14,Other Non Operating Income (Expenses),-3.47,0.65,-0.83,-0.79,-0.44,0.68,-1.41,0.82,-0.26,-0.63,-0.21,1.06,-0.78,-1.48,-0.12,0.64,-1.21,-0.19,-0.19
15,EBT Excluding Unusual Items,17.9,27.14,10.14,38.65,34.34,30.84,37.4,8.09,22.46,23.02,28.15,24.74,96.14,79.27,50.51,25.94,17.48,23.48,23.48
16,Gain (Loss) on Sale of Investments,0.87,1.59,1.42,-0.28,1.18,0.9,1.46,7.62,3.59,6.13,8.49,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.01,0.25,-0.25,0.17,0,0.05,0,0.96,-0.71,0.02,-0,-0.02,-,-,-,1.47,-,0.02,0.02
18,Asset Writedown,-3.15,0.11,-0.17,1.22,-1.26,-0.02,0.02,-0.34,-0.49,0.07,-0.07,4.4,-4.4,0.56,-0.56,0.98,-0.31,-0.34,-0.34
19,Other Unusual Items,2.14,1.37,1.24,-7.38,-,-,-,0.35,-,-,-,2.38,-,-,-,3.87,-,-,-
20,Pretax Income,17.75,30.47,12.39,32.37,34.26,31.76,38.89,16.68,24.85,29.24,36.56,31.5,91.74,79.83,49.95,32.25,17.17,23.17,23.17
21,Income Tax Expense,2.49,4.17,1.71,3.75,4.98,4.98,5.64,-0.41,4.34,4.26,5.39,0.09,15.01,13.08,8.82,3.13,3.08,4.1,4.1
22,Earnings From Continuing Operations,15.26,26.3,10.68,28.62,29.27,26.78,33.25,17.1,20.51,24.98,31.17,31.41,76.73,66.75,41.13,29.12,14.09,19.07,19.07
23,Minority Interest in Earnings,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,15.26,26.3,10.68,28.62,29.27,26.78,33.25,17.1,20.51,24.98,31.17,31.41,76.73,66.75,41.13,29.12,14.09,19.07,19.07
25,Net Income to Common,15.26,26.3,10.68,28.62,29.27,26.78,33.25,17.1,20.51,24.98,31.17,31.41,76.73,66.75,41.13,29.12,14.09,19.07,19.07
26,Net Income Growth,-47.87%,-1.80%,-67.88%,67.41%,42.76%,7.19%,6.70%,-45.57%,-73.28%,-62.57%,-24.22%,7.87%,444.63%,249.95%,115.61%,-,-,-,-
