,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3401,3180,2476,3307,4380,4746,4698,4241,3421,3558,4564,5804,7030,-,-,-,-,-,-,-
1,Market Cap Growth,-32.99%,-32.99%,-47.30%,-22.01%,28.05%,33.40%,2.94%,-26.94%,-51.34%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2721,1812,1703,2935,4008,4296,4211,2672,1852,1811,2911,5850,7076,-,-,-,-,-,-,-
3,Last Close Price,27.38,24.74,19.26,24.83,31.33,33.95,33.27,30.03,24.42,25.40,32.58,40.61,49.18,-,-,-,-,-,-,-
4,PE Ratio,44.45,39.33,26.10,34.68,37.14,44.61,48.12,44.25,36.49,32.92,27.78,28.17,32.54,-,-,-,-,-,-,-
5,PS Ratio,6.01,5.37,4.10,5.58,7.03,7.53,7.59,6.96,5.86,6.07,6.60,7.41,8.56,-,-,-,-,-,-,-
6,PB Ratio,1.55,1.43,1.09,1.42,1.76,1.93,1.93,1.73,1.42,1.48,1.92,2.37,2.91,-,-,-,-,-,-,-
7,P/TBV Ratio,1.47,1.47,1.12,1.46,1.81,1.98,1.98,1.74,1.43,1.50,1.94,2.39,2.93,-,-,-,-,-,-,-
8,P/FCF Ratio,244.88,-,711.23,-529.31,-,-,-,-,-,-,-,50.99,75.77,-,-,-,-,-,-,-
9,P/OCF Ratio,14.78,14.78,9.41,13.12,19.57,29.62,35.23,38.88,36.05,20.02,22.08,23.91,32.46,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.60,3.06,2.82,4.95,6.43,6.81,6.80,4.38,3.17,3.09,4.21,7.47,8.62,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,31.94,17.58,14.92,27.73,30.46,35.38,38.98,24.87,19.01,16.68,15.33,23.24,25.19,-,-,-,-,-,-,-
12,EV/EBIT Ratio,78.63,32.12,24.45,44.82,42.87,50.19,57.02,35.78,27.92,22.87,18.18,26.17,28.04,-,-,-,-,-,-,-
13,EV/FCF Ratio,195.96,-,489.12,-469.74,-,-,-,-,-,-,-,51.40,76.26,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.02,-,-,-,0.01,-,-,-,0.02,0.02,0.18,0.29,0.31,0.31,-,0.45,0.45
15,Debt / EBITDA Ratio,0.02,0.01,0.01,0.65,-,-,-,0.10,-,-,-,0.33,0.38,0.25,0.42,0.52,0.88,-,1.21,1.21
16,Debt / FCF Ratio,0.10,-,0.44,-6.04,-,-,-,-,-,-,-,0.35,0.44,1.62,2.85,-,1.33,-,4.56,9.13
17,Asset Turnover,0.22,0.25,0.19,0.25,0.23,0.22,0.24,0.28,0.22,0.21,0.20,0.41,1.16,-,-,-,-,0.71,-,
18,Inventory Turnover,3.11,3.13,3.65,3.21,3.96,2.76,2.49,2.80,3.35,2.62,2.46,2.22,2.91,3.19,-,-,-,-,2.51,-
19,Quick Ratio,5.77,5.77,10.45,6.98,10.85,3.89,3.94,4.91,13.32,14.74,16.23,10.66,10.03,1.27,1.20,-,1.20,-,0.95,0.95
20,Current Ratio,10.55,10.55,11.18,11.79,11.49,12.06,11.11,13.16,14.31,17.18,17.51,12.54,10.74,1.86,1.68,-,1.63,-,1.41,1.41
21,Return on Equity (ROE),2.71%,4.57%,1.77%,4.63%,4.79%,4.38%,5.46%,2.84%,3.43%,4.14%,5.13%,8.38%,56.58%,59.29%,41.50%,-,-,21.60%,-,
