,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,279267,206541,226904,271994,239704,231268,223995,243485,159706,211777,303121,Upgrade
1,Market Cap Growth,-24.06%,-24.06%,-5.34%,17.61%,7.01%,-5.02%,40.26%,14.97%,-47.31%,-35.35%,-15.15%,Upgrade
2,Enterprise Value,1818666,1901683,1259771,1472660,1261287,1493354,1452312,1202566,936343,1155025,1200953,Upgrade
3,Last Close Price,9.60,6.91,7.22,8.43,7.08,6.67,6.11,6.55,4.11,5.37,7.40,Upgrade
4,PE Ratio,4.54,3.34,3.58,4.55,3.27,2.92,2.60,2.74,2.37,4.07,5.03,Upgrade
5,Forward PE,4.34,3.10,3.03,3.38,3.02,3.07,3.18,3.85,3.00,4.08,5.43,Upgrade
6,PS Ratio,0.28,0.21,0.23,0.29,0.25,0.23,0.20,0.24,0.19,0.27,0.37,Upgrade
7,PB Ratio,0.35,0.14,0.15,0.20,0.17,0.16,0.16,0.18,0.13,0.22,0.30,Upgrade
8,P/TBV Ratio,0.28,0.28,0.31,0.39,0.34,0.33,0.26,0.30,0.21,0.34,0.49,Upgrade
9,P/FCF Ratio,-,-,-4.37,-,1.45,1.10,-2.80,-,0.78,0.96,1.93,Upgrade
10,P/OCF Ratio,-,-,-9.03,-,1.28,0.99,-4.48,-,0.70,0.87,1.69,Upgrade
11,PEG Ratio,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,Upgrade
12,EV/Sales Ratio,1.83,1.91,1.30,1.57,1.32,1.46,1.31,1.21,1.09,1.48,1.47,Upgrade
13,EV/EBITDA Ratio,5.00,5.37,3.46,4.15,3.63,4.27,3.84,3.23,2.80,4.01,3.98,Upgrade
14,EV/EBIT Ratio,5.40,5.81,3.72,4.45,3.88,4.46,4.01,3.38,2.94,4.24,4.21,Upgrade
15,EV/FCF Ratio,-7.94,-,-24.28,-,7.65,7.09,-18.15,-,4.57,5.23,7.64,Upgrade
16,Debt / Equity Ratio,1.86,1.86,2.00,1.63,1.68,1.68,1.62,1.66,1.59,1.49,1.68,Upgrade
17,Debt / FCF Ratio,-,-,-56.68,-,14.24,11.20,-28.99,-,9.31,6.61,10.70,Upgrade
18,Return on Capital Employed (ROCE),4.98%,4.98%,5.21%,5.21%,5.28%,5.23%,5.82%,5.89%,5.81%,5.86%,6.37%,Upgrade
19,Earnings Yield,22.17%,29.97%,27.96%,21.99%,30.62%,34.30%,38.48%,36.45%,42.11%,24.56%,19.89%,Upgrade
20,FCF Yield,-81.98%,-110.84%,-22.87%,-1.37%,68.82%,91.02%,-35.72%,-64.25%,128.15%,104.27%,51.83%,Upgrade
21,Dividend Yield,5.87%,8.16%,7.85%,7.65%,9.36%,11.00%,12.17%,9.88%,14.10%,7.87%,7.03%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.00%,Upgrade,
23,Total Shareholder Return,5.87%,8.16%,7.85%,7.65%,9.36%,11.00%,12.17%,9.88%,14.10%,7.87%,7.03%,Upgrade
