,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,234.62,107.44,123.85,43.61,248.88,98.92,82.47,25.38,237.05,86.2,67.33,8.28
1,Other Revenue,-,-0.24,0.24,-,0.56,-0.11,0.11,-,2.55,-,-,-
2,Revenue,234.62,107.19,124.1,43.61,249.43,98.82,82.57,25.38,239.61,86.2,67.33,8.28
3,Revenue Growth (YoY),-5.94%,8.48%,50.29%,71.79%,4.10%,14.64%,22.63%,206.50%,-,-,-,-
4,Cost of Revenue,-155.61,49.49,78.2,27.92,136.68,43.6,35.48,10.32,112.65,24.23,21.99,3.96
5,Gross Profit,390.23,57.7,45.89,15.69,112.75,55.22,47.09,15.06,126.96,61.97,45.35,4.32
6,"Selling, General & Admin",-34.58,10.62,14.13,9.84,17.45,9.57,13.39,7.52,18.61,8.92,11.04,7.48
7,Research & Development,-40.65,15.33,15.83,9.49,13.7,10.83,15.06,8.52,13.04,11.02,11.32,9.78
8,Other Operating Expenses,403.45,-9.54,2.02,1.69,16.14,-2.36,-0.79,-5.03,0.84,0.05,-1.42,-2.03
9,Operating Expenses,324.3,17.86,36.33,19.13,56.44,13.47,39.5,10.18,42.06,20.74,22.41,15.38
10,Operating Income,65.93,39.84,9.56,-3.45,56.31,41.75,7.59,4.89,84.9,41.23,22.93,-11.06
11,Interest Expense,-6.56,-0.18,-0.3,-0.11,-0.17,-0.27,-,-0.13,-,-0.29,-0.15,-0.36
12,Interest & Investment Income,0.59,1.42,3.13,2.01,7.08,3.41,1,0.33,0.04,0.03,-,0.23
13,Other Non Operating Income (Expenses),6.28,0.34,-0.24,-0.05,-0.49,0.19,0.16,-0.01,0.12,-0.08,-0.14,-0.14
14,EBT Excluding Unusual Items,66.24,41.41,12.15,-1.59,62.73,45.07,8.76,5.07,85.06,40.89,22.64,-11.34
15,Gain (Loss) on Sale of Investments,-4.82,1.42,0.51,2.9,0.74,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.34,0.25,0.09,-,-,0,-0,-,-,0.01,-0.01,-
17,Asset Writedown,2.41,-2.41,0.38,-0.38,3.99,-3.99,0.37,-0.37,1.77,-1.79,0.01,-0.01
18,Other Unusual Items,-,-8.29,5.4,2.88,33.33,-2.84,2.84,-,-1.59,-0.2,-0.92,1.12
19,Pretax Income,63.49,32.38,18.53,3.81,100.78,38.25,11.96,4.7,85.25,38.9,21.72,-10.22
20,Income Tax Expense,19.76,2.74,-4.08,-0.69,12.67,4.24,1.12,-0.59,4.26,3.5,2.62,-2.92
21,Earnings From Continuing Operations,43.73,29.64,22.62,4.5,88.11,34,10.84,5.29,80.99,35.4,19.1,-7.3
22,Minority Interest in Earnings,5.57,-1.28,-3.84,-0.45,-4.74,-0.74,1.33,0.28,-4.46,-1.73,0.19,0.38
23,Net Income,49.3,28.36,18.78,4.05,83.37,33.26,12.17,5.57,76.53,33.67,19.29,-6.92
24,Net Income to Common,49.3,28.36,18.78,4.05,83.37,33.26,12.17,5.57,76.53,33.67,19.29,-6.92
25,Net Income Growth,-40.87%,-14.72%,54.28%,-27.27%,8.95%,-1.24%,-36.89%,-,-,-,-,-
26,Shares Outstanding (Basic),404,405,406,405,441,373,379,367,366,366,386,346
27,Shares Outstanding (Diluted),404,405,406,405,441,373,379,367,366,366,386,346
28,Shares Change (YoY),-8.32%,8.58%,7.08%,10.54%,20.47%,1.86%,-1.82%,5.98%,-,-,-,-
29,EPS (Basic),0.12,0.07,0.05,0.01,0.19,0.09,0.03,0.02,0.21,0.09,0.05,-0.02
30,EPS (Diluted),0.12,0.07,0.05,0.01,0.19,0.09,0.03,0.02,0.21,0.09,0.05,-0.02
31,EPS Growth,-35.51%,-21.47%,44.07%,-34.21%,-9.57%,-3.04%,-35.73%,-,-,-,-,-
32,Free Cash Flow,-,-68.46,-62.98,-128.58,77.08,-88.75,-30.54,-95.6,124.98,-35.04,-27.57,-109.52
