,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,74.84,135.32,145.32,291.61,94.61,267.9,44.28,165.42,-,-,-
1,Short-Term Investments,-,-,-,-,0.55,-,-,-,0.46,-,-,-
2,Trading Asset Securities,-,427.62,436.35,583.46,606.74,706,640,19.01,-,-,-,-
3,Cash & Short-Term Investments,502.46,502.46,571.67,728.78,898.9,800.61,907.9,63.29,165.88,-,-,134.25
4,Cash Growth,-44.10%,-37.24%,-37.03%,1051.45%,441.90%,-,-,-52.86%,-,-,-,-
5,Accounts Receivable,-,478.54,447.65,404.42,410.45,367.85,293.16,278.42,296.59,-,-,-
6,Other Receivables,-,6.04,1.89,4.2,1.13,4.22,3.68,10.93,0.58,-,-,-
7,Receivables,-,484.57,449.54,408.62,411.58,372.07,296.84,289.35,297.16,-,-,-
8,Inventory,-,183.07,167.7,152.05,126.85,144.29,141.82,112.74,85.49,-,-,-
9,Other Current Assets,-,24.05,21.88,39.69,34.47,30.7,13.93,29.36,15.38,-,-,-
10,Total Current Assets,-,1194,1211,1329,1472,1348,1360,494.74,563.9,-,-,-
11,"Property, Plant & Equipment",-,685.69,616.45,573.86,550.44,481.08,472.63,470.52,469.67,-,-,-
12,Other Intangible Assets,-,203.18,204.79,206.39,207.98,188.41,189.92,191.43,192.4,-,-,-
13,Long-Term Deferred Tax Assets,-,19.32,20.95,22.42,20.61,16.19,16.4,16.62,14.92,-,-,-
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,0.02,-,-,-
15,Other Long-Term Assets,-,120.85,119.78,111.22,77.7,89.47,50.79,39.31,37.99,-,-,-
16,Total Assets,-,2223,2173,2243,2329,2123,2090,1213,1279,-,-,-
17,Accounts Payable,-,156.2,146.81,130.02,133.42,79,115,92.51,103.79,-,-,-
18,Accrued Expenses,-,22.31,26.98,9.31,51.74,16.52,18.18,17.42,54.33,-,-,-
19,Short-Term Debt,-,61.82,39.8,25.01,37.54,16.31,14.31,10.01,35.04,-,-,-
20,Current Portion of Long-Term Debt,-,77.92,66.91,60.83,51.5,38.74,12.98,-,7.29,-,-,-
21,Current Portion of Leases,-,-,0.18,-,0.98,-,1.15,1.21,0.43,-,-,-
22,Current Income Taxes Payable,-,1.76,0.96,11.81,18.47,13.74,0.58,-,5.52,-,-,-
23,Current Unearned Revenue,-,4.9,3.68,7.55,1.81,22.44,13.15,9.8,8.81,-,-,-
24,Other Current Liabilities,-,4.17,9.48,3.93,5.97,3.38,3.22,1.47,4.59,-,-,-
25,Total Current Liabilities,-,329.08,294.8,248.46,301.44,190.13,178.57,132.43,219.8,-,-,-
26,Long-Term Debt,-,162.33,163.8,184.66,201.67,215.45,227.27,227.96,212.96,-,-,-
27,Long-Term Leases,-,0.19,0.18,1.12,1.11,0.6,0.45,0.81,-,-,-,-
28,Long-Term Unearned Revenue,-,100.18,102.7,105.25,107.79,88.02,89,90,91.03,-,-,-
29,Long-Term Deferred Tax Liabilities,-,12.85,12.85,15.64,14.15,14.19,14.45,14.68,13.58,-,-,-
30,Total Liabilities,-,604.63,574.34,555.12,626.17,508.39,509.74,465.88,537.37,-,-,-
31,Common Stock,-,406.88,406.88,406.88,406.88,406.88,406.88,366,366,-,-,-
32,Additional Paid-In Capital,-,801.86,801.82,801.79,801.76,801.72,801.69,19.43,19.4,-,-,-
33,Retained Earnings,-,421.9,393.54,455.64,451.59,368.23,334.97,322.8,317.21,-,-,-
34,Treasury Stock,-,-59.43,-50,-18.9,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,10.41,10.52,10.68,10.78,10.97,11.08,11.32,11.42,-,-,-
36,Total Common Equity,1582,1582,1563,1656,1671,1588,1555,719.55,714.03,-,-,589.79
37,Minority Interest,-,36.94,35.65,31.82,31.36,26.62,25.87,27.2,27.5,-,-,-
38,Shareholders' Equity,1619,1619,1598,1688,1702,1614,1580,746.75,741.53,-,-,611.66
39,Total Liabilities & Equity,-,2223,2173,2243,2329,2123,2090,1213,1279,-,-,-
40,Total Debt,302.25,302.25,270.87,271.62,292.8,271.1,256.15,239.99,255.72,-,-,132.93
41,Net Cash (Debt),200.2,200.2,300.8,457.16,606.1,529.5,651.75,-176.7,-89.84,-,-,1.32
42,Net Cash Growth,-66.97%,-62.19%,-53.85%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,0.50,0.49,0.74,1.13,1.37,1.42,1.72,-0.48,-0.25,-,-,0.00
44,Filing Date Shares Outstanding,404.19,403.82,404.41,405.97,406.88,406.88,406.88,366,366,366.1,385.98,345.95
45,Total Common Shares Outstanding,403.82,403.82,404.41,405.97,406.88,406.88,406.88,366,366,366.1,385.98,345.95
46,Working Capital,-,865.07,915.98,1081,1170,1158,1182,362.31,344.1,-,-,-
47,Book Value Per Share,3.92,3.92,3.86,4.08,4.11,3.90,3.82,1.97,1.95,-,-,1.61
48,Tangible Book Value,1378,1378,1358,1450,1463,1399,1365,528.11,521.63,-,-,392.14
49,Tangible Book Value Per Share,3.41,3.41,3.36,3.57,3.60,3.44,3.35,1.44,1.43,-,-,1.07
50,Buildings,-,-,249.13,-,245.01,-,158.52,-,158.52,-,-,-
51,Machinery,-,-,261.79,-,245.97,-,228.5,-,213.86,-,-,-
52,Construction In Progress,-,-,236.34,-,173.7,-,197.73,-,188.43,-,-,-
