,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,8436,8076,8048,7003,9008,10913,9798,10941,-,-,-,-,-
1,Market Cap Growth,-25.99%,-25.99%,-17.86%,-35.99%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8273,7913,7783,6578,8505,10410,9172,11145,-,-,-,-,-
3,Last Close Price,20.89,20.00,19.90,17.25,21.91,26.54,23.82,26.60,-,-,-,-,-
4,PE Ratio,84.20,80.37,59.80,50.21,67.80,81.21,76.83,85.51,-,-,-,-,-
5,Forward PE,35.71,43.01,39.80,24.64,35.71,47.26,-,-,-,-,-,-,-
6,PS Ratio,16.61,15.85,15.35,13.57,18.99,23.92,21.95,25.22,-,-,-,-,-
7,PB Ratio,5.33,4.99,4.97,4.38,5.34,6.41,6.07,6.92,-,-,-,-,-
8,P/TBV Ratio,5.86,5.86,5.84,5.16,6.21,7.46,7.00,8.02,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-79.18,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,84.29,-,-,277.95,-,-,-,-,-,-,-
11,EV/Sales Ratio,16.24,15.53,14.84,12.75,17.93,22.82,20.55,25.69,-,-,-,-,-
12,EV/EBITDA Ratio,58.97,55.45,58.47,48.24,63.82,73.64,54.55,67.80,-,-,-,-,-
13,EV/EBIT Ratio,73.94,70.72,76.10,63.14,-,94.18,65.92,80.41,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-75.53,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.19,0.19,0.19,0.17,0.16,0.17,0.17,0.16,0.32,0.34,-,-,0.22
16,Debt / EBITDA Ratio,2.15,1.03,1.61,3.47,18.59,1.13,1.35,3.86,5.11,0.70,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-2.12,-,-,-,-5.42,-,-,-
18,Asset Turnover,-,0.20,0.22,0.08,0.45,0.19,0.20,0.08,-,-,-,-,
19,Inventory Turnover,-,-,1.13,1.96,0.80,4.03,1.22,1.12,0.42,-,-,-,-
20,Quick Ratio,-,-,3.00,3.46,4.58,4.35,6.17,6.75,2.66,2.11,-,-,-
21,Current Ratio,-,-,3.63,4.11,5.35,4.88,7.09,7.62,3.74,2.57,-,-,-
22,Return on Equity (ROE),10.81%,7.37%,5.51%,1.06%,21.25%,8.51%,3.73%,2.84%,-,-,-,-,
23,Return on Assets (ROA),-,4.53%,1.08%,-0.38%,6.32%,4.95%,1.15%,0.98%,-,-,-,-,
24,Return on Capital (ROIC),8.58%,5.26%,1.25%,-0.44%,7.25%,5.61%,1.34%,1.23%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,5.40%,5.55%,-,5.45%,7.20%,7.25%,14.25%,13.03%,-,-,-
26,Earnings Yield,1.19%,1.24%,1.67%,1.99%,1.47%,1.23%,1.30%,1.17%,-,-,-,-,-
27,FCF Yield,-,-2.27%,-2.90%,-1.90%,-1.26%,-0.92%,-0.33%,-,-,-,-,-,
28,Dividend Yield,0.95%,-,-,-,-,0.75%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,39.50%,401.67%,15.43%,9.40%,5.01%,-,42.31%,3.24%,12.83%,-,-
30,Buyback Yield / Dilution,-3.90%,8.32%,-8.58%,-7.08%,-10.54%,-20.47%,-1.86%,1.82%,-5.98%,-,-,-,-
31,Total Shareholder Return,-2.95%,8.32%,-8.58%,-7.08%,-10.54%,-19.72%,-1.86%,1.82%,-5.98%,-,-,-,-
