,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,64.46,81.41,35.66,27.84,82.27,111.49,79.07,108.19,-,95.42
1,Revenue Growth (YoY),80.77%,192.45%,-56.66%,-75.03%,4.05%,3.05%,-,13.38%,-,-26.60%
2,Cost of Revenue,65.45,65.59,58.77,16.77,89,134.44,89.48,122.91,-,228.4
3,Gross Profit,-0.99,15.82,-23.11,11.07,-6.73,-22.96,-10.41,-14.72,-,-132.98
4,"Selling, General & Admin",8.29,9.67,7.52,7.51,8.22,-8.55,32.21,10.01,-,31.85
5,Other Operating Expenses,-0.8,4.91,-4.91,1.59,-1.59,-,-,-,-,-
6,Operating Expenses,7.49,4.77,2.61,11.52,6.63,-0.92,32.21,10.01,-,31.85
7,Operating Income,-8.48,11.05,-25.72,-0.45,-13.36,-22.04,-42.62,-24.74,-,-164.83
8,Interest Expense,-0.48,-0.68,-0.9,-0.61,-0.47,-0.88,-1.71,-5.21,-,-5.08
9,Interest & Investment Income,-,-,-,-,-,-,-,0.32,-,3.33
10,Currency Exchange Gain (Loss),-,-0.07,-,-,-,-0.22,-,-,-,-
11,Other Non Operating Income (Expenses),0.68,1.09,5.29,21.41,0.64,-3.84,5.36,1.22,-,1.75
12,EBT Excluding Unusual Items,-8.28,11.39,-21.32,20.35,-13.18,-26.98,-38.96,-28.41,-,-164.83
13,Gain (Loss) on Sale of Assets,-,0.63,-,-,-,-5.45,-,-,-,-
14,Asset Writedown,-,1.23,-,-,-,9.24,-,-,-,-
15,Other Unusual Items,-,-0.4,-,0.12,-,30.74,-,-,-,-
16,Pretax Income,-8.28,12.84,-21.32,20.47,-13.18,7.56,-38.96,-28.41,-,-164.83
17,Income Tax Expense,-,-0.28,-,0.63,-0.14,0.75,-2.37,-0.06,-,5.6
18,Earnings From Continuing Operations,-8.28,13.12,-21.32,19.84,-13.04,6.81,-36.6,-28.35,-,-170.43
19,Earnings From Discontinued Operations,-,0.02,9.21,1.51,2.81,-11.81,2.07,-2.81,-,10.72
20,Net Income to Company,-8.28,13.14,-12.11,21.34,-10.23,-5.01,-34.53,-31.16,-,-159.7
21,Minority Interest in Earnings,0,-0.15,-2.03,0.85,-0.08,1.53,0.31,0.21,-,5.18
22,Net Income,-8.27,12.98,-14.15,22.19,-10.31,-3.48,-34.22,-30.95,-,-154.52
23,Net Income to Common,-8.27,12.98,-14.15,22.19,-10.31,-3.48,-34.22,-30.95,-,-154.52
24,Net Income Growth,-,-41.49%,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),36,36,36,36,36,36,36,36,-,36
26,Shares Outstanding (Diluted),36,36,36,36,36,36,36,36,-,36
27,EPS (Basic),-0.23,0.36,-0.39,0.62,-0.29,-0.10,-0.95,-0.86,-,-4.29
28,EPS (Diluted),-0.23,0.36,-0.39,0.62,-0.29,-0.10,-0.95,-0.86,-,-4.29
29,EPS Growth,-,-41.49%,-,-,-,-,-,-,-,-
30,Free Cash Flow,-,-,-,-,-,-,-,-,-,32.45
31,Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,0.90
32,Operating Margin,-13.15%,13.57%,-72.12%,-1.62%,-16.23%,-19.77%,-53.90%,-22.87%,-,-172.74%
33,Profit Margin,-12.83%,15.95%,-39.67%,79.72%,-12.54%,-3.12%,-43.28%,-28.61%,-,-161.94%
34,Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,34.01%
35,EBITDA,-8.31,11.21,-25.55,-0.92,-12.56,-22.57,-40.49,-22.64,-,-159.47
36,D&A For EBITDA,0.17,0.16,0.17,-0.47,0.8,-0.53,2.13,2.1,-1.17,5.36
37,EBIT,-8.48,11.05,-25.72,-0.45,-13.36,-22.04,-42.62,-24.74,-,-164.83
