,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q1 2014,Q1 2013
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '14 Mar 31, 2014","Mar '13 Mar 31, 2013"
0,Market Capitalization,513778,537861,284506,-,-
1,Enterprise Value,498732,546567,293212,-,-
2,PE Ratio,12.21,29.28,26.32,-,-
3,PS Ratio,0.55,1.11,1.05,-,-
4,PB Ratio,3.86,4.04,2.51,-,-
5,EV/Sales Ratio,0.53,1.13,1.08,-,-
6,EV/EBITDA Ratio,8.90,59.77,-,-,-
7,EV/EBIT Ratio,9.26,22.82,19.09,-,-
8,Debt / Equity Ratio,0.11,0.11,0.08,0.43,-
9,Debt / EBITDA Ratio,0.26,0.40,-,-,-
10,Quick Ratio,1.36,1.36,1.41,0.78,-
11,Current Ratio,1.65,1.65,1.64,1.06,-
12,Return on Capital Employed (ROCE),40.21%,17.89%,13.52%,7.44%,-
13,Earnings Yield,8.19%,3.41%,3.80%,-,-
14,Earnings Yield,8.19%,3.41%,3.80%,-,-
