,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,130.6,121.46,114.34,102.54,134.42,106.9,98.67,105.53,114.75,120.02,116.45,125.06,119.61,123.53,119.2,123.04,120.71,89.96,89.96
1,Other Revenue,-2.55,2.55,-,8.7,-6.04,6.04,-,7.39,-4.81,4.81,-,4.95,-4.2,4.2,-,5.86,-2.72,1.36,1.36
2,Revenue,128.04,124.02,114.34,111.24,128.38,112.94,98.67,112.93,109.94,124.83,116.45,130.01,115.41,127.73,119.2,128.9,118,91.32,91.32
3,Revenue Growth (YoY),-0.27%,9.81%,15.88%,-1.49%,16.77%,-9.52%,-15.27%,-13.14%,-4.73%,-2.28%,-2.30%,0.86%,-2.20%,39.88%,30.53%,-,-,-,-
4,Cost of Revenue,87.34,84.28,77.39,70.24,81.7,76.19,65.2,75.93,75.49,90.17,83.55,84.82,73.78,85.58,77.88,73.53,72.16,57.22,57.22
5,Gross Profit,40.71,39.73,36.94,40.99,46.68,36.75,33.47,36.99,34.45,34.65,32.9,45.19,41.63,42.15,41.32,55.37,45.84,34.09,34.09
6,"Selling, General & Admin",8.93,10.49,10.86,11.24,8.7,9.79,9.19,8.55,7.95,7.39,9.07,5.3,10.09,10.34,9.05,10.16,10.8,8.82,8.82
7,Research & Development,4.87,4.56,4,5.22,4.15,3.89,4.74,3.72,5.12,4.47,4.28,6.24,2.91,3.83,3.86,4.83,3.52,3.44,3.44
8,Other Operating Expenses,0.67,0.3,0.35,-0.76,0.91,-0.8,0.32,5.82,0.72,-1.65,-1.6,2.98,0.32,0.09,0.34,2.53,0.45,0.12,0.12
