,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2763,2569,2244,2308,2884,2585,2477,2458,2303,2305,2914,3064,3310,3446,4320,-,-,-,-,-
1,Market Cap Growth,-0.62%,-0.62%,-9.40%,-6.10%,25.22%,12.13%,-14.99%,-19.79%,-30.44%,-33.10%,-32.56%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2376,2008,1510,1545,2121,1799,1708,1761,1606,1602,2182,2400,2647,2789,4226,-,-,-,-,-
3,Last Close Price,16.51,15.35,13.34,13.72,16.75,15.02,14.11,14.00,13.12,13.13,16.60,17.20,18.58,19.34,24.25,-,-,-,-,-
4,PE Ratio,28.14,26.11,21.56,22.58,28.29,25.39,26.18,26.09,22.92,21.69,26.61,27.56,30.40,29.17,36.51,-,-,-,-,-
5,PS Ratio,5.80,5.38,4.69,4.94,6.39,5.71,5.70,5.51,4.96,4.79,5.99,6.26,6.72,7.01,8.75,-,-,-,-,-
6,PB Ratio,2.41,2.32,2.06,2.16,2.63,2.41,2.38,2.31,2.21,2.27,2.93,3.04,3.37,3.62,4.67,-,-,-,-,-
7,P/TBV Ratio,2.35,2.35,2.09,2.19,2.67,2.45,2.40,2.33,2.22,2.28,2.95,3.06,3.39,3.65,4.71,-,-,-,-,-
8,P/FCF Ratio,105.35,97.95,97.09,-,45.94,34.84,26.12,-,37.37,31.58,37.07,-,31.30,52.50,72.51,-,-,-,-,-
9,P/OCF Ratio,26.43,26.43,26.43,21.72,29.87,26.94,23.59,27.74,28.14,24.27,28.24,-,26.83,43.54,60.22,-,-,-,-,-
