,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,87.41,318.86,329.9,414.35,340.95,488.81,399.28,508.8,507.44,434.6,483.69,548,494.08,657.76,-,94.16,-,59.08,59.08
1,Short-Term Investments,-,-,-,-,-,-,-,33.37,-,30,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,309.4,242,408,388,430,300,370,220,190,240,250,200,170,-,-,-,-,-,-
3,Cash & Short-Term Investments,396.81,560.86,737.9,802.35,770.95,788.81,769.28,762.17,697.44,704.6,733.69,748,664.08,657.76,94.16,94.16,-,59.08,59.08
4,Cash Growth,-48.53%,-28.90%,-4.08%,5.27%,10.54%,11.95%,4.85%,1.89%,5.02%,7.12%,679.22%,694.42%,-,1013.41%,59.38%,-,-,-,-
5,Accounts Receivable,224.92,213.44,182.76,199.53,194.15,167.43,163.75,170.04,183.66,155.46,166.61,152.06,179.59,175.36,-,160.47,-,143.35,143.35
6,Other Receivables,0.29,0.21,25.31,0.2,0.28,1.17,1.1,1,1.08,1.01,0.18,0.3,0.17,4.79,-,0.41,-,2.42,2.42
7,Receivables,225.21,213.65,208.07,199.73,194.43,168.6,164.85,171.04,184.74,156.47,166.79,152.36,179.76,180.16,-,160.88,-,145.78,145.78
8,Inventory,69.69,78.52,71.79,62.67,71.09,74.48,84.14,71.01,60.59,79.51,75.05,67.14,82.3,88.84,-,96.82,-,57.23,57.23
9,Other Current Assets,360.47,4.65,4.54,2.27,7.63,8.78,19.91,3.26,37.72,15.61,8.03,8.75,9.92,7.67,-,15.07,-,1.02,1.02
10,Total Current Assets,1052,857.68,1022,1067,1044,1041,1038,1007,980.49,956.19,983.57,976.24,936.06,934.44,-,366.92,-,263.1,263.1
11,"Property, Plant & Equipment",121.54,114.51,92.3,81.77,79.24,80.33,82.3,84.44,82.96,81.4,80.31,76.14,70.33,68.47,-,62.96,-,64.46,64.46
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.73,-,0.68,0.68
13,Other Intangible Assets,17.29,17.42,17.55,17.68,17.81,6.86,6.94,7.01,7.08,7.15,7.23,7.3,7.35,7.42,-,7.22,-,7.36,7.36
14,Long-Term Deferred Tax Assets,1.84,1.59,1.43,1.32,1.35,1.21,1.02,1.3,1.97,1.89,1.87,1.79,2.23,2.25,-,2.03,-,2.15,2.15
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,2.16,0.96,-,0.97,-,1.15,1.15
16,Other Long-Term Assets,10.51,182.66,16.62,12.3,2.97,3.83,1.86,2.03,2.49,4.53,4.82,4.78,5.06,6.15,-,11.86,-,7.6,7.6
17,Total Assets,1203,1174,1150,1180,1145,1133,1130,1102,1075,1051,1078,1066,1023,1020,-,453.7,-,346.49,346.49
18,Accounts Payable,36.26,48.5,43.86,29.41,27.47,32.38,32.65,17.54,19.07,20.96,31.9,32.27,32.75,28.4,-,35.85,-,14.94,14.94
19,Accrued Expenses,10.33,9.67,5.11,18.11,10.19,11.08,5.86,15.02,11.61,9.67,5.98,24.85,13.03,17.77,-,25.74,-,12.12,12.12
20,Short-Term Debt,9.9,-,3.93,10,8.54,2.47,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,0.14,0.29,0.43,0.57,0.02,0.16,0.3,0.42,0.91,0.77,0.97,0.96,0.04,0.64,-,-,-,-,-
22,Current Income Taxes Payable,9.63,4.1,4.37,4.24,8.19,3.05,6.45,5.12,6.98,6.4,8.08,5.89,6.24,6.02,-,7.79,-,4.29,4.29
23,Current Unearned Revenue,0.46,0.63,0.33,0.68,1.63,1.59,2.3,0.59,1.21,1.29,2.22,0.35,0.9,0.4,-,0.41,-,0.96,0.96
24,Other Current Liabilities,17.14,11.73,12.53,8.46,7.27,30,8.48,8.58,7.02,6.44,7.22,6.14,6.21,29.61,-,7.4,-,5.26,5.26
25,Total Current Liabilities,83.86,74.91,70.55,71.47,63.31,80.73,56.04,47.28,46.8,45.54,56.38,70.47,59.17,82.83,-,77.18,-,37.57,37.57
26,Long-Term Leases,-,-,-,-,-,-,-,0.02,0.05,0.31,0.76,0.83,0.4,0.02,-,-,-,-,-
27,Long-Term Unearned Revenue,7.28,7.55,7.81,8.07,8.34,8.6,8.04,8.28,7.99,8.21,8.44,8.66,8.89,9.11,-,9.56,-,10.01,10.01
28,Other Long-Term Liabilities,2.76,2.78,2.79,2.81,2.83,2.85,2.87,2.88,2.9,2.93,2.95,2.97,2.99,3.01,-,3.05,-,3.1,3.1
29,Total Liabilities,93.89,85.23,81.15,82.35,74.47,92.18,66.95,58.46,57.74,56.99,68.52,82.92,71.44,94.97,-,89.8,-,50.69,50.69
30,Common Stock,168,120,120,120,120,120,120,120,120,120,80,80,80,80,-,60,-,60,60
31,Additional Paid-In Capital,577.73,625.73,625.74,625.74,625.74,625.74,625.74,625.74,625.74,625.74,665.74,665.74,665.74,665.74,-,175.19,-,175.19,175.19
32,Retained Earnings,375.67,351.08,323.82,352.01,325.27,295.01,317.63,298.06,271.51,248.43,263.54,237.59,206.01,178.97,-,128.72,-,60.62,60.62
33,Treasury Stock,-11.94,-8.19,-0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1109,1089,1069,1098,1071,1041,1063,1044,1017,994.17,1009,983.33,951.74,924.71,363.91,363.91,-,295.81,295.81
35,Total Liabilities & Equity,1203,1174,1150,1180,1145,1133,1130,1102,1075,1051,1078,1066,1023,1020,-,453.7,-,346.49,346.49
36,Total Debt,10.04,0.29,4.35,10.57,8.56,2.63,0.3,0.44,0.96,1.09,1.74,1.79,0.44,0.66,-,-,-,-,-
37,Net Cash (Debt),386.77,560.57,733.55,791.79,762.39,786.18,768.98,761.72,696.48,703.52,731.96,746.21,663.64,657.1,94.16,94.16,-,59.08,59.08
38,Net Cash Growth,-49.27%,-28.70%,-4.61%,3.95%,9.46%,11.75%,5.06%,2.08%,4.95%,7.06%,677.38%,692.51%,-,1012.29%,59.38%,-,-,-,-
39,Net Cash Per Share,2.39,3.20,4.49,4.65,4.74,4.65,4.49,4.49,4.31,4.03,4.45,4.15,4.26,5.28,0.74,0.74,-,0.47,0.47
40,Filing Date Shares Outstanding,161.73,167.54,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,126.92,126.14,126.71,126.14,126.14
41,Total Common Shares Outstanding,161.73,167.54,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,168.18,126.92,126.14,126.71,126.14,126.14
42,Working Capital,968.33,782.77,951.76,995.55,980.8,959.95,982.14,960.21,933.69,910.65,927.19,905.78,876.89,851.6,-,289.74,-,225.53,225.53
43,Book Value Per Share,6.86,6.50,6.36,6.53,6.37,6.19,6.32,6.21,6.05,5.91,6.00,5.85,5.66,5.50,2.88,2.88,-,2.35,2.35
44,Tangible Book Value,1092,1071,1052,1080,1053,1034,1056,1037,1010,987.02,1002,976.03,944.39,917.29,356.68,356.68,-,288.44,288.44
45,Tangible Book Value Per Share,6.75,6.39,6.25,6.42,6.26,6.15,6.28,6.16,6.01,5.87,5.96,5.80,5.62,5.45,2.83,2.83,-,2.29,2.29
46,Buildings,-,72.92,-,72.92,-,72.92,-,72.92,-,72.92,-,72.92,-,72.92,-,64.71,-,64.71,64.71
47,Machinery,-,103.3,-,100.88,-,96.32,-,94.37,-,77.54,-,73.48,-,67.56,-,61.95,-,60.36,60.36
48,Construction In Progress,-,36.17,-,0.24,-,-,-,0.44,-,8.05,-,4.39,-,-,-,-,-,-,-
