,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,105,193,197,806,1239,1317,1371,1478,1057,1748,2506,Upgrade
1,Market Cap Growth,-80.20%,-76.07%,-84.09%,-38.83%,-9.62%,-10.87%,29.71%,-15.43%,-57.84%,2.20%,48.14%,Upgrade
2,Enterprise Value,229,344,852,1511,2070,2155,2266,2552,2541,2953,2401,Upgrade
3,Last Close Price,0.10,0.18,0.18,0.90,1.45,1.73,1.80,1.98,1.56,2.58,3.78,Upgrade
4,PS Ratio,0.27,2.14,-,2.89,-,1.62,2.25,3.14,1.70,1.93,3.43,Upgrade
5,PB Ratio,19.11,1.94,0.43,1.44,2.41,2.80,2.47,2.42,1.26,0.99,1.40,Upgrade
6,P/FCF Ratio,-,-,-,1904.91,-,60.27,-32.42,-,-,-,11.49,Upgrade
7,P/OCF Ratio,-,-,-,43.17,-,22.30,139.69,-,-9.06,-,10.95,Upgrade
8,EV/Sales Ratio,0.61,3.82,-,5.42,-,2.66,3.73,5.42,4.08,3.27,3.29,Upgrade
9,EV/EBITDA Ratio,-,-,-,241.20,-,-,-,-,-,25.93,37.90,Upgrade
10,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,78.34,Upgrade
11,EV/FCF Ratio,-12.50,-,-,3572.34,-,98.58,-53.58,-,-,-,11.01,Upgrade
12,Debt / Equity Ratio,0.68,0.68,0.15,1.04,1.24,1.63,1.35,1.24,0.83,0.39,0.33,Upgrade
13,Debt / FCF Ratio,-,-,-,1375.78,-,35.03,-17.72,-,-,-,2.70,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,1.06%,Upgrade
15,Earnings Yield,-254.87%,-117.19%,-,-2.12%,-,-9.26%,-17.41%,-50.80%,-59.40%,-2.13%,-0.93%,Upgrade
16,FCF Yield,-17.38%,-46.72%,-,0.05%,-,1.66%,-3.08%,-4.00%,-15.86%,4.03%,8.70%,Upgrade
17,Buyback Yield / Dilution,-26.92%,-22.60%,-,-14.13%,-,-10.62%,-11.81%,-3.24%,-5.51%,-11.13%,-7.01%,Upgrade
18,Total Shareholder Return,-26.92%,-22.60%,-,-14.13%,-,-10.62%,-11.81%,-3.24%,-5.51%,-11.13%,-7.01%,Upgrade
