,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,137,142,170,148,154,130,147,166,167,145,178,Upgrade
1,Market Cap Growth,-4.00%,-4.00%,10.00%,13.64%,4.84%,-21.43%,-12.06%,14.75%,-6.00%,-46.96%,-60.53%,Upgrade
2,Enterprise Value,-68,-75,-13,-77,-5,-77,-41,-74,-49,1,80,Upgrade
3,Last Close Price,0.12,0.12,0.13,0.12,0.11,0.09,0.09,0.11,0.10,0.09,0.11,Upgrade
4,PE Ratio,17.06,17.46,5.70,2.58,3.78,4.77,8.12,9.24,4.97,-17.14,-,Upgrade
5,PS Ratio,0.13,0.13,0.15,0.13,0.14,0.12,0.14,0.18,0.18,0.17,0.20,Upgrade
6,PB Ratio,0.20,0.21,0.25,0.22,0.23,0.20,0.23,0.26,0.26,0.23,0.29,Upgrade
7,P/TBV Ratio,0.21,0.21,0.25,0.22,0.23,0.20,0.23,0.26,0.26,0.23,0.29,Upgrade
8,P/FCF Ratio,1.44,1.49,2.44,1.92,2.26,6.55,-,3.72,1.29,1.03,3.49,Upgrade
9,P/OCF Ratio,1.13,1.13,1.82,1.72,1.98,4.34,-,3.03,1.19,0.98,3.12,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,-,-,-,-,0.00,0.09,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-0.14,-,Upgrade
12,EV/FCF Ratio,-0.71,-,-,-,-,-,-,-,-,0.01,1.56,Upgrade
13,Debt / Equity Ratio,0.10,0.10,0.10,0.07,0.08,0.09,0.10,0.12,0.11,0.09,0.13,Upgrade
14,Debt / FCF Ratio,0.73,0.73,0.99,0.64,0.81,2.93,-,1.65,0.53,0.41,1.52,Upgrade
15,Return on Capital Employed (ROCE),2.92%,2.92%,5.17%,7.51%,3.96%,1.53%,1.21%,-0.43%,-,-,-,Upgrade
16,Earnings Yield,5.92%,5.73%,17.56%,38.69%,26.48%,20.98%,12.32%,10.83%,20.13%,-5.84%,-16.36%,Upgrade
17,FCF Yield,69.54%,67.22%,41.00%,52.08%,44.18%,15.27%,4.58%,26.89%,77.77%,97.42%,28.67%,Upgrade
18,Dividend Yield,8.62%,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Total Shareholder Return,8.62%,-,-,-,-,-,-,-,-,-,-,Upgrade
