,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,248.48,219.35,208.69,235.92,216.45,229.23,261.58,282.66,273.89,197.31,Upgrade
1,Short-Term Investments,25.69,66.64,24.79,45.5,-,44.19,-,25.75,-,25.03,Upgrade
2,Cash & Short-Term Investments,274.17,285.99,233.48,281.42,216.45,273.42,261.58,308.42,273.89,222.34,Upgrade
3,Cash Growth,17.43%,1.62%,7.87%,2.93%,-17.25%,-11.35%,-4.50%,38.71%,50.52%,-7.41%,Upgrade
4,Accounts Receivable,58.48,79.61,83.62,61.74,69.71,51.74,63.89,50.68,50.99,45.71,Upgrade
5,Other Receivables,-,-,-,0.55,0.53,0.59,0.22,0.3,0.23,0.23,Upgrade
6,Receivables,58.48,79.61,83.62,62.29,70.24,52.33,64.11,50.99,51.22,45.94,Upgrade
7,Inventory,148.22,164.39,185.3,176.84,167.82,155.24,113.99,111.14,114.77,169.51,Upgrade
8,Prepaid Expenses,52.53,7.65,40.52,6.1,52.33,11.01,44.87,15.38,37.74,7.52,Upgrade
9,Total Current Assets,533.4,537.65,542.92,526.65,506.84,492,484.54,485.92,477.62,445.31,Upgrade
10,"Property, Plant & Equipment",147.02,125.57,96.75,105.62,112.07,122.85,131.83,126.93,121.79,140.09,Upgrade
11,Other Intangible Assets,4.29,4.64,4.91,4.71,2.73,-,-,-,-,-,Upgrade
12,Long-Term Deferred Tax Assets,4.21,4.22,3.95,0.17,0.17,0.19,0.14,0.12,0.14,0.17,Upgrade
13,Other Long-Term Assets,247.13,269.53,274.94,276.26,264.05,272.65,258.1,257.77,238.4,237.79,Upgrade
14,Total Assets,936.06,941.61,923.47,913.41,885.85,887.69,874.61,870.75,837.94,823.36,Upgrade
15,Accounts Payable,54.84,55.23,58.14,58.57,59.49,60.32,52.67,53.45,49.97,44.51,Upgrade
16,Accrued Expenses,47.24,41.09,50.96,38.37,45.99,35.64,44.64,36.05,41.58,26.22,Upgrade
17,Current Portion of Leases,39.98,37.29,29.4,33.84,36.71,37.73,40.83,38.12,32.92,43.33,Upgrade
18,Current Income Taxes Payable,15.89,12.07,12.24,8.7,9.81,9.11,8.37,7.94,8.24,7.6,Upgrade
19,Current Unearned Revenue,24.35,27.73,27.48,27.35,31.55,19.65,26.84,20.1,19.58,11.97,Upgrade
20,Other Current Liabilities,-,9.42,-,7.17,-,8.55,-,8,-,13.82,Upgrade
21,Total Current Liabilities,182.3,182.82,178.2,173.99,183.55,171,173.35,163.65,152.28,147.45,Upgrade
22,Long-Term Leases,29.4,31.4,19.82,21.17,21.54,29.03,32.64,30.92,24.51,34.19,Upgrade
23,Long-Term Deferred Tax Liabilities,27.84,27.99,28.32,30.25,27.88,31.62,29.66,29.6,27.57,27.41,Upgrade
24,Other Long-Term Liabilities,11.5,10.58,9.58,9.29,5.85,5.01,3.21,2.79,5.44,5.78,Upgrade
25,Total Liabilities,251.05,252.79,235.93,234.7,238.83,236.65,238.86,226.96,209.79,214.83,Upgrade
26,Common Stock,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,Upgrade
27,Additional Paid-In Capital,490.38,490.38,490.38,490.38,490.38,490.38,490.38,490.38,490.38,490.38,Upgrade
28,Retained Earnings,48.14,52.86,49.47,38.5,9.93,9.54,-5.57,3.29,-11.68,-30.35,Upgrade
29,Comprehensive Income & Other,28.47,27.18,27.26,30.21,28.7,33.37,32.49,31.82,30.09,28.51,Upgrade
30,Total Common Equity,685.51,688.95,685.63,677.62,647.53,651.82,635.83,644.02,627.32,607.07,Upgrade
31,Minority Interest,-0.5,-0.13,1.92,1.09,-0.51,-0.78,-0.07,-0.23,0.83,1.46,Upgrade
32,Shareholders' Equity,685.01,688.82,687.55,678.71,647.02,651.04,635.75,643.79,628.14,608.53,Upgrade
33,Total Liabilities & Equity,936.06,941.61,923.47,913.41,885.85,887.69,874.61,870.75,837.94,823.36,Upgrade
34,Total Debt,69.38,68.69,49.22,55.01,58.25,66.75,73.46,69.04,57.43,77.52,Upgrade
35,Net Cash (Debt),204.79,217.31,184.26,226.42,158.19,206.67,188.11,239.38,216.46,144.82,Upgrade
36,Net Cash Growth,11.14%,-4.02%,16.48%,9.56%,-15.91%,-13.66%,-13.10%,65.29%,113.21%,-39.69%,Upgrade
37,Net Cash Per Share,0.17,0.18,0.16,0.19,0.13,0.17,0.16,0.20,0.18,0.12,Upgrade
38,Filing Date Shares Outstanding,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,Upgrade
39,Total Common Shares Outstanding,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,Upgrade
40,Working Capital,351.1,354.83,364.72,352.65,323.29,321.01,311.2,322.27,325.34,297.86,Upgrade
41,Book Value Per Share,0.58,0.58,0.58,0.57,0.55,0.55,0.54,0.54,0.53,0.51,Upgrade
42,Tangible Book Value,681.22,684.31,680.72,672.91,644.8,651.82,635.83,644.02,627.32,607.07,Upgrade
43,Tangible Book Value Per Share,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0.54,0.53,0.51,Upgrade
44,Buildings,-,29.04,-,29.85,-,30.92,-,30.33,-,29.18,Upgrade
45,Machinery,-,166.75,-,155.67,-,154.47,-,156.19,-,157.58,Upgrade
