,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Market Capitalization,276,349,824,332,683,477,937,3398,8168,8796,6080
1,Market Cap Growth,5.28%,5.28%,20.66%,-30.41%,-27.07%,-85.97%,-88.53%,-61.37%,34.34%,13.67%,-12.86%
2,Enterprise Value,597,513,900,202,714,502,466,7106,10370,11172,7901
3,Last Close Price,0.13,0.16,0.33,0.13,0.27,0.19,0.37,1.23,2.86,3.03,2.18
4,PE Ratio,2.89,3.29,4.87,1.88,6.33,4.40,-0.32,-,11.95,15.18,12.59
5,Forward PE,-,3.46,3.46,3.46,3.46,3.46,1.44,4.10,10.69,12.81,10.74
6,PS Ratio,1.38,1.75,2.65,0.96,2.19,1.51,0.59,1.25,3.49,4.34,3.07
7,PB Ratio,0.42,0.53,1.37,0.50,1.21,0.93,1.87,4.88,2.05,2.52,2.25
8,P/TBV Ratio,0.53,0.53,1.37,0.50,1.21,0.93,1.87,4.88,2.32,2.77,2.51
9,P/FCF Ratio,-,-15.08,-,-,6.44,13.10,-13.68,-,-,-133.51,-
10,P/OCF Ratio,-,-23.66,-,1.47,6.38,12.79,1.13,2.81,6.93,8.80,8.37
11,PEG Ratio,0.07,0.07,0.07,0.07,0.07,0.07,0.22,0.22,0.43,0.57,0.43
12,EV/Sales Ratio,3.00,2.58,2.89,0.59,2.29,1.59,0.29,2.61,4.43,5.51,3.99
13,EV/EBITDA Ratio,10.78,9.74,6.84,1.33,5.79,3.91,0.76,6.92,10.96,13.41,10.55
14,EV/EBIT Ratio,11.74,10.09,6.94,1.34,5.86,3.95,0.94,8.57,13.16,16.71,13.75
15,EV/FCF Ratio,-25.78,-22.17,-,-,6.73,13.80,-6.80,-,-,-169.58,-
16,Debt / Equity Ratio,0.56,0.56,0.68,0.69,0.76,1.29,0.95,0.67,1.12,1.07,1.22
17,Debt / FCF Ratio,-,-16.11,-,-,4.07,18.25,-6.92,-,-,-56.95,-
18,Return on Capital Employed (ROCE),7.63%,7.63%,21.62%,16.11%,14.41%,16.00%,63.34%,118.61%,10.25%,9.46%,11.17%
19,Earnings Yield,38.50%,30.38%,20.52%,53.14%,15.81%,22.73%,-316.04%,-75.10%,8.37%,6.59%,7.94%
20,FCF Yield,-8.40%,-6.63%,-11.79%,3.93%,15.53%,7.63%,-7.31%,-15.01%,-2.56%,-0.75%,0.05%
21,Dividend Yield,44.00%,-,-,-,-,-,-,-,5.16%,4.22%,5.06%
22,Buyback Yield / Dilution,-0.02%,0.01%,-0.05%,-0.06%,0.01%,-0.07%,0.00%,-9.81%,-1.32%,6.85%,-3.14%
23,Total Shareholder Return,43.98%,0.01%,-0.05%,-0.06%,0.01%,-0.07%,0.00%,-9.81%,3.84%,11.07%,1.92%
