,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Revenue,101.33,79.66,205.98,113.29,161.81,115.77,1173,1091,860.56,932.17
1,Revenue Growth (YoY),-50.81%,-29.68%,27.29%,-2.14%,-86.20%,-89.39%,36.30%,17.02%,1.72%,11.56%
2,Cost of Revenue,72.94,35.75,98.43,50.69,88.33,35.89,676.12,582.67,428.25,496.55
3,Gross Profit,28.39,43.91,107.54,62.6,73.49,79.89,496.82,508.14,432.31,435.63
4,"Selling, General & Admin",10.06,16.01,16.3,14.04,14.33,27.57,149.81,166.15,116.78,160.3
5,Operating Expenses,10.06,16.01,16.3,14.04,14.33,27.57,149.81,166.15,116.78,160.3
6,Operating Income,18.33,27.91,91.24,48.56,59.16,52.32,347.01,341.99,315.53,275.33
7,Interest Expense,-4.09,-4.4,-4.39,-6.51,-4.49,-4.01,-49.03,-38.41,-81.86,-52.15
8,Interest & Investment Income,12.8,15.96,4.42,5.71,14.81,7.59,7.99,2.06,-,36.86
9,Currency Exchange Gain (Loss),-0.88,1.89,-7.3,-1.71,-16.3,4,-5.42,-21.15,-4.8,1.62
10,Other Non Operating Income (Expenses),27.72,32.63,35.83,19.69,-4.26,10.86,5.94,10.51,17.69,51.25
11,EBT Excluding Unusual Items,53.88,73.99,119.79,65.73,48.91,70.76,306.5,295,246.56,312.9
12,Gain (Loss) on Sale of Investments,-0.51,-16.6,3.7,-0.21,3.29,-1.66,5.93,36.16,46.2,-
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-2899,-,-0.01,-0.01
14,Asset Writedown,-,-,-,-,-,-,-2.9,-,-,-
15,Other Unusual Items,-,-,-,-,-,-,18.25,18.17,-,7.72
16,Pretax Income,53.37,57.39,123.49,65.53,52.2,69.09,-2572,349.34,292.75,320.62
17,Income Tax Expense,4.12,10.22,15.35,10.55,11.79,14.41,30.27,26.13,49.48,62.2
18,Earnings From Continuing Operations,49.26,47.17,108.15,54.98,40.41,54.69,-2602,323.21,243.27,258.41
19,Minority Interest in Earnings,-,-,-,-,-,-,157.11,1.71,2.09,8.1
20,Net Income,49.26,47.17,108.15,54.98,40.41,54.69,-2445,324.91,245.36,266.52
21,Net Income to Common,49.26,47.17,108.15,54.98,40.41,54.69,-2445,324.91,245.36,266.52
22,Net Income Growth,-54.45%,-14.19%,167.62%,0.53%,-,-83.17%,-,21.91%,47.37%,38.11%
23,Shares Outstanding (Basic),2169,2169,2169,2168,2168,2168,2166,2166,1974,2107
24,Shares Outstanding (Diluted),2170,2169,2170,2168,2169,2168,2167,2168,1974,2140
25,Shares Change (YoY),-0.01%,0.05%,0.06%,-0.01%,0.07%,-0.00%,9.81%,1.32%,-6.85%,3.14%
26,EPS (Basic),0.02,0.02,0.05,0.03,0.02,0.03,-1.13,0.15,0.12,0.13
27,EPS (Diluted),0.02,0.02,0.05,0.03,0.01,0.03,-1.13,0.15,0.12,0.13
28,EPS Growth,-63.30%,-14.43%,236.88%,0.62%,-,-83.19%,-,19.10%,58.37%,35.33%
29,Free Cash Flow,3.57,-24.62,-64.59,76.64,17.09,14.84,-70.12,-353.65,179.38,-237.59
30,Free Cash Flow Per Share,0.00,-0.01,-0.03,0.04,0.01,0.01,-0.03,-0.16,0.09,-0.11
31,Dividend Per Share,-,-,-,-,-,-,-,0.067,0.056,0.057
32,Dividend Growth,-,-,-,-,-,-,-,17.54%,33.33%,35.71%
33,Operating Margin,18.09%,35.03%,44.30%,42.86%,36.56%,45.19%,29.58%,31.35%,36.67%,29.54%
34,Profit Margin,48.61%,59.22%,52.50%,48.52%,24.97%,47.23%,-208.42%,29.79%,28.51%,28.59%
35,Free Cash Flow Margin,3.52%,-30.91%,-31.36%,67.65%,10.56%,12.82%,-5.98%,-32.42%,20.84%,-25.49%
36,EBITDA,19.09,28.83,91.92,49.01,59.9,52.89,438.55,413.87,375.71,360.18
37,D&A For EBITDA,0.76,0.92,0.68,0.45,0.75,0.57,91.54,71.88,60.18,84.85
38,EBIT,18.33,27.91,91.24,48.56,59.16,52.32,347.01,341.99,315.53,275.33
