,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,32,28,56,52,102,157,249,298,298,459,310
1,Market Cap Growth,-66.02%,-45.31%,-44.88%,-67.18%,-59.03%,-47.30%,-16.22%,-35.09%,-3.90%,65.22%,-25.27%
2,Enterprise Value,56,50,80,64,125,172,258,309,288,432,326
3,Last Close Price,0.04,0.04,0.07,0.06,0.13,0.20,0.31,0.37,0.37,0.57,0.39
4,PS Ratio,1.23,3.38,-,1.74,-,0.66,0.75,0.95,1.20,2.08,1.23
5,PB Ratio,-1.40,-1.40,-4.05,-7.18,-113.43,30.27,11.45,9.87,6.51,6.80,3.99
6,P/TBV Ratio,-,-,-,-,-,30.27,11.45,9.87,6.51,6.80,3.99
7,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,15.89
8,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,15.77
9,EV/Sales Ratio,2.15,6.03,-,2.16,-,0.73,0.78,0.99,1.16,1.96,1.30
10,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,16.74
11,Debt / Equity Ratio,-1.24,-1.24,-1.74,-3.39,-21.49,5.48,0.98,0.43,0.43,0.00,0.01
12,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.02
13,Earnings Yield,-40.00%,-21.84%,-,-12.01%,-,-15.81%,-9.63%,-12.53%,-10.71%,-4.05%,-2.63%
14,FCF Yield,-1.24%,-7.52%,-,-22.15%,-,-9.92%,-3.66%,-8.44%,-13.71%,8.49%,6.29%
15,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.02%,-4.74%,-4.85%,
16,Total Shareholder Return,-,-,-,-,-,-,-,0.02%,-4.74%,-4.85%,
