,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3948,4124,2997,2738,3362,3837,4151,4230,4456,4137,3994,4668,4643,5326,5326,6396,6702,-,-,-,-
1,Market Cap Growth,7.46%,7.46%,-27.81%,-35.26%,-24.56%,-7.25%,3.93%,-9.40%,-4.02%,-22.32%,-25.00%,-27.01%,-30.73%,-,-,-,-,-,-,-,-
2,Enterprise Value,6127,6271,5136,4786,5191,5672,5942,5960,6184,5865,5689,6284,6019,6702,6565,7466,8262,-,-,-,-
3,PE Ratio,12.95,13.53,14.10,12.20,14.08,15.86,18.35,18.05,21.84,19.41,16.14,19.73,21.01,24.92,27.31,32.22,33.41,-,-,-,-
4,PS Ratio,2.60,2.72,2.14,1.98,2.61,3.01,3.26,3.38,3.68,3.48,3.34,3.94,4.10,4.92,5.58,6.98,7.32,-,-,-,-
5,PB Ratio,1.40,1.38,1.07,0.99,1.20,1.39,1.58,1.63,1.82,1.71,1.64,1.97,1.95,2.28,2.37,2.91,3.06,-,-,-,-
6,P/FCF Ratio,45.24,47.25,437.01,-45.97,-,-65.58,-,-,-,37.39,-,-111.60,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,9.02,9.02,7.98,7.68,11.48,11.86,11.93,11.95,11.18,10.61,10.02,10.94,12.57,14.61,17.72,19.39,19.65,-,-,-,-
8,EV/Sales Ratio,4.03,4.13,3.66,3.47,4.04,4.44,4.66,4.77,5.11,4.94,4.76,5.31,5.32,6.19,6.88,8.15,9.02,-,-,-,-
9,EV/EBITDA Ratio,8.22,8.64,8.32,7.87,8.68,9.51,11.21,11.38,12.33,11.55,10.99,12.47,12.53,14.75,15.41,17.24,19.47,-,-,-,-
10,EV/EBIT Ratio,12.26,12.55,12.91,12.13,13.30,14.38,17.78,17.80,19.57,17.80,16.41,18.07,18.23,21.02,21.49,23.67,25.50,-,-,-,-
11,EV/FCF Ratio,70.21,71.86,748.96,-80.35,-,-96.93,-,-,-,53.01,-,-150.21,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.85,0.85,0.89,0.93,0.89,0.82,0.85,0.85,0.90,0.94,0.97,1.03,0.90,0.86,0.84,0.84,0.97,1.22,-,1.29,1.14
13,Debt / EBITDA Ratio,3.41,2.08,4.62,3.71,5.58,2.87,4.44,3.38,5.01,4.26,4.93,4.34,4.61,3.52,4.48,3.93,5.89,3.73,-,3.77,5.75
14,Debt / FCF Ratio,29.17,29.17,364.43,-43.26,-,-38.86,-,-,-,20.44,-,-58.54,-,-,-,-,-,-31.18,-,-,-
15,Quick Ratio,0.97,0.97,1.09,0.97,0.94,0.87,0.93,0.89,0.82,0.77,0.88,0.89,0.76,0.83,0.94,1.00,1.40,0.45,-,0.46,-
16,Current Ratio,1.07,1.07,1.18,1.04,1.05,0.95,1.01,0.97,0.90,0.85,0.97,0.96,0.86,0.95,1.11,1.14,1.53,0.66,-,0.55,-
17,Asset Turnover,0.29,0.21,0.27,0.18,0.23,0.21,0.23,0.19,0.24,0.20,0.21,0.19,0.27,0.21,0.19,0.17,-,-,-,-,
18,Return on Equity (ROE),23.51%,6.32%,12.38%,4.33%,9.78%,7.97%,13.86%,5.19%,8.68%,10.28%,9.90%,7.08%,15.36%,9.18%,7.95%,7.96%,-,-,15.15%,-,
19,Return on Assets (ROA),9.48%,3.19%,4.55%,2.28%,5.88%,3.27%,4.76%,2.64%,3.61%,3.41%,4.13%,3.46%,4.79%,3.89%,3.61%,3.26%,-,-,-,-,
20,Return on Capital (ROIC),11.33%,3.81%,5.45%,2.78%,7.24%,4.02%,5.91%,3.29%,4.40%,4.08%,4.97%,4.22%,5.93%,4.86%,4.51%,4.30%,-,-,7.67%,-,
21,Return on Capital Employed (ROCE),10.16%,10.16%,8.01%,8.22%,8.14%,8.55%,7.36%,7.43%,7.24%,7.86%,8.22%,8.30%,8.32%,7.75%,7.64%,7.96%,7.57%,9.10%,-,4.40%,-
22,Earnings Yield,7.72%,7.39%,7.09%,8.20%,7.10%,6.31%,5.45%,5.54%,4.58%,5.15%,6.20%,5.07%,4.76%,4.01%,3.66%,3.10%,2.99%,-,-,-,-
23,Earnings Yield,7.72%,7.39%,7.09%,8.20%,7.10%,6.31%,5.45%,5.54%,4.58%,5.15%,6.20%,5.07%,4.76%,4.01%,3.66%,3.10%,2.99%,-,-,-,-
24,FCF Yield,2.21%,2.12%,0.23%,-2.18%,-4.49%,-1.52%,0.20%,0.77%,2.56%,2.67%,-0.67%,-0.90%,-3.62%,-4.09%,-3.36%,-0.78%,-2.19%,-,-,-,-
25,Dividend Yield,3.14%,-,-,-,-,-,-,-,-,-,-,-,-,1.27%,-,-,-,-,-,-,-
26,Payout Ratio,73.02%,15.98%,59.21%,202.37%,76.59%,32.41%,47.01%,28.41%,76.98%,51.02%,46.09%,160.07%,66.23%,29.86%,53.63%,191.89%,69.35%,45.95%,47.02%,45.18%,246.57%
27,Buyback Yield / Dilution,0.75%,8.16%,-3.71%,2.85%,-4.92%,-2.81%,6.12%,-7.76%,2.25%,-5.43%,-0.51%,8.61%,-39.71%,-29.74%,-35.30%,-40.44%,2.45%,-,-,-,-
28,Total Shareholder Return,3.89%,8.16%,-3.71%,2.85%,-4.92%,-2.81%,6.12%,-7.76%,2.25%,-5.43%,-0.51%,8.61%,-39.71%,-28.47%,-35.30%,-40.44%,2.45%,-,-,-,-
