,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,469.69,335.09,425.69,288.15,352.94,310.42,334.75,278.59,343.3,284.54,296.58,254.92,352.38,272.75,243.99,207.19,222.56,233.61,244.14,141.66
1,Other Revenue,-,-7.6,7.6,-,-,-4.3,4.3,-,7.95,-3.32,3.32,-,7.2,-3.34,3.34,-,8.35,-2.7,2.7,-
2,Revenue,469.69,327.49,433.29,288.15,352.94,306.12,339.05,278.59,351.25,281.22,299.9,254.92,359.57,269.41,247.33,207.19,230.9,230.91,246.84,141.66
3,Revenue Growth (YoY),33.08%,6.98%,27.79%,3.43%,0.48%,8.85%,13.06%,9.28%,-2.31%,4.38%,21.25%,23.03%,55.72%,16.67%,0.20%,46.27%,-,-,-,-
4,Operations & Maintenance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.18,0.18,-
5,"Selling, General & Admin",67.61,52.99,52.48,56.52,59.33,52.13,44.91,44.23,42.53,37.08,39.9,34.17,36.44,33.35,30.67,29.46,24.87,23.89,25.02,22.47
6,Provision for Bad Debts,-34.52,20.07,14.74,-0.29,-28.81,5.59,14.15,9.07,0.23,5.07,4.71,5.74,6.32,4.88,5.1,0.81,3.7,3.44,4.46,2.29
7,Other Operating Expenses,190.59,172.68,249.63,174.16,177.94,169.27,167.14,162.96,223.81,158.77,161.69,139.25,214.07,150.76,135.09,112.67,113.91,112.97,132.9,80.38
8,Total Operating Expenses,224.25,246.28,317.59,230.81,209.34,228.32,227.44,217.23,267.88,202.73,207.07,180.07,258.98,189.91,172.13,143.66,143.63,141.47,163.1,105.76
9,Operating Income,245.43,81.21,115.7,57.34,143.59,77.8,111.61,61.36,83.37,78.49,92.83,74.85,100.59,79.5,75.2,63.53,87.28,89.45,83.75,35.9
10,Interest Expense,74.49,-26.27,-23.62,-24.61,75.59,-24.68,-25.15,-25.75,-22.53,-28,-31.32,-27.93,-26.29,-25.18,-23.18,-22.08,-20.93,-23.29,-21.49,-18.45
11,Interest Income,-5.05,3.38,8.68,2.96,-14.84,12.35,15.85,2.82,20.19,20.86,5.66,3.36,13.76,2.84,3.81,1.07,3.45,2.29,1.08,0.07
12,Net Interest Expense,69.44,-22.89,-14.93,-21.65,60.75,-12.33,-9.3,-22.93,-2.35,-7.14,-25.66,-24.56,-12.54,-22.33,-19.37,-21.02,-17.48,-20.99,-20.41,-18.38
13,Other Non-Operating Income (Expenses),-129.44,0.63,-1.47,-0.45,-121.92,-1.32,-0.51,-0.06,-0.26,-1.39,-0.6,0.14,-6.78,1.87,1.21,-0.23,7.75,-5.33,-3.67,-5.06
14,EBT Excluding Unusual Items,185.43,58.95,99.3,35.23,82.42,64.14,101.8,38.37,80.77,69.97,66.57,50.43,81.28,59.04,57.04,42.29,77.55,63.12,59.67,12.46
15,Gain (Loss) on Sale of Assets,-0.01,-0.26,-0.01,-0.02,-0,-0,0.06,-0,0.05,-0,0,0,0.04,0.03,3.37,-0.02,-0.01,-,0.01,-
