,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,603.63,578.78,661.46,634.39,641.16,555.47,570.84,469.26,596.77,669.24,789.97,561.73,487.41,550.7,731.63,1160,261.06,-,185.92,-
1,Trading Asset Securities,-,-,-,-,-,-,-,100,100,100,100,100,100,100,1,1,1,-,-,-
2,Accounts Receivable,1011,892.6,855.01,787.19,746.83,729.26,677.24,574.81,547.56,539.31,488.12,454.36,413.47,361.25,325.88,286.66,241.91,-,239.66,-
3,Other Receivables,23.3,16.82,21.26,22.67,25.71,28.76,24.95,18.87,16.07,25.38,22.92,22.91,23.03,56.01,38.62,39.48,10.08,-,108.49,-
4,Inventory,28.99,39.23,37.58,96.06,53.05,43.75,38.76,36.87,36.08,68.83,62.81,56.4,50.17,90.11,72.19,58.32,38.97,-,21.65,-
5,Prepaid Expenses,-,-,0.54,-,-,-,0.54,-,-,-,-,-,-,-,-,-,-,-,12.33,-
6,Other Current Assets,140.95,82.04,74.32,79.58,87.29,75.74,68.85,74.29,82.39,66.54,54.1,96.48,98,104.56,92.17,87.62,200.45,-,60.97,-
7,Total Current Assets,1807,1609,1650,1620,1554,1433,1381,1274,1379,1469,1518,1292,1172,1263,1261,1633,753.47,-,629.02,-
8,"Property, Plant & Equipment",807.52,802.5,804.98,809.52,818.6,817.97,833.84,828.84,836.96,814.78,823.57,838.56,833.77,794.79,1291,1673,1291,-,1110,-
9,Other Intangible Assets,3251,3300,3331,3316,3345,3144,3203,3122,3051,2943,2923,2921,2922,2838,2278,1788,1203,-,1188,-
10,Long-Term Investments,528.26,411.45,409.79,407.3,406.88,452.69,403.19,447.8,447.94,422.64,423.35,354.47,353.51,133,132.19,104.4,103.7,-,97.22,-
11,Long-Term Deferred Tax Assets,77.11,66.62,64.7,58.61,55.44,53.24,52.03,49.78,50.46,52.77,51.36,49.63,48.04,41.77,41.24,36.7,35.46,-,33.9,-
12,Long-Term Deferred Charges,5.64,5.5,6.04,6.89,8.04,8.69,8.7,6.36,7.1,9.06,7.88,6.73,3.58,3.22,2.98,2.42,2.44,-,0.13,-
13,Long-Term Accounts Receivable,-,17.49,19.69,6.53,-,6.36,6.27,7.15,7.05,-,-,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,135.18,118.11,102.77,103.44,55.71,41.26,39.72,50.92,41.19,27.74,28.18,12.45,17.33,65.69,60.38,109.32,1004,-,808.59,-
15,Total Assets,6612,6331,6389,6328,6244,5957,5928,5787,5821,5740,5775,5475,5350,5139,5067,5347,4394,-,3866,-
16,Accounts Payable,483.26,457.54,465.06,477.01,613.7,516.14,531.65,592.06,567.75,503.34,519.17,514.03,581.53,567.67,629.06,565.65,620.13,-,600.84,-
17,Accrued Expenses,38.96,24.47,37.1,17.08,32.42,23.38,38.17,15.1,47.39,20.23,30.91,13.93,42.16,19.02,32,14.55,43.72,-,37.58,-
18,Short-Term Debt,509.34,380.85,580.97,508.99,467.95,368.35,68.07,271.93,331.57,335.75,336.05,210.19,75.52,-,-,30,50,-,110,-
19,Current Portion of Long-Term Debt,325.31,230.76,226.91,230.87,206.46,207.66,454.52,229.61,374.02,432,474.82,516.04,320.96,304.69,232.88,224.53,-,-,209.45,-
20,Current Unearned Revenue,127.48,94.43,86.94,111.06,122.11,111.54,119.61,122.32,137.59,137.03,134.49,140.12,141.7,146.21,134.39,126.72,127.27,-,110.43,-
21,Current Portion of Leases,-,-,2,-,-,-,1.58,-,1.72,-,1.02,-,1.54,-,-,-,-,-,-,-
22,Current Income Taxes Payable,53.06,33.14,16.24,34.19,42.23,36.04,17.21,31.87,15.54,28.84,12.21,34.28,21.24,23.36,13.56,24.76,12.18,-,9.59,-
23,Other Current Liabilities,156.16,141.52,175.22,156.47,147.93,154.06,193.72,156.08,153.4,64.68,73.7,77.71,54.11,79.94,60.63,79.21,285.13,-,72.17,-
24,Total Current Liabilities,1694,1363,1590,1536,1633,1417,1425,1419,1629,1522,1582,1506,1239,1141,1103,1065,1138,-,1150,-
25,Long-Term Debt,1698,1875,1754,1729,1585,1651,1671,1680,1539,1592,1636,1414,1606,1591,1607,1861,1642,-,1312,-
26,Long-Term Leases,12.81,12.66,12.65,14.56,14.53,14.35,13.57,15.51,15.29,0.29,0.87,0.41,0.57,1.03,1.17,1.3,-,-,-,-
27,Long-Term Unearned Revenue,42.87,43.8,44.92,45.71,46.65,40.74,41.63,42.68,43.24,37.29,37.79,37.95,38.18,38.76,39.39,40.06,40.51,-,40.65,-
28,Long-Term Deferred Tax Liabilities,13.35,13.54,14.75,12.3,12.51,9.99,10.14,10.4,13.45,10.88,11.13,11.38,11.63,11.88,12.13,12.38,15.28,-,15.18,-
29,Other Long-Term Liabilities,171.27,212.7,206.21,200.19,192.47,188.06,180.48,171.75,164.54,140,131.53,123.45,115.83,108.89,107.16,176.38,170.6,-,84.81,-
30,Total Liabilities,3632,3520,3623,3538,3484,3322,3341,3339,3404,3302,3400,3093,3010,2892,2869,3157,3007,-,2602,-
31,Common Stock,461.76,461.76,461.76,461.76,461.76,461.76,461.76,461.76,461.76,461.76,461.76,312,312,312,312,312,234,-,234,-
32,Additional Paid-In Capital,880.43,880.43,880.43,880.43,880.43,911.39,911.39,911.39,911.39,911.61,911.61,1061,1061,1061,1061,1061,338.36,-,338.36,-
33,Retained Earnings,1401,1241,1200,1250,1221,1114,1061,972.76,979.02,926.7,865.58,871.59,830.06,743.49,693.28,703.37,697.86,-,576.33,-
34,Total Common Equity,2743,2583,2542,2592,2563,2488,2434,2346,2352,2300,2239,2245,2203,2117,2067,2077,1270,-,1149,1095
35,Minority Interest,237.3,227.33,223.98,198.37,197.46,148.1,152.84,102.4,64.61,137.49,135.99,136.54,136.28,130.42,131.04,113.53,116.68,-,115.17,-
36,Shareholders' Equity,2981,2810,2766,2791,2761,2636,2587,2448,2417,2438,2375,2381,2340,2247,2198,2190,1387,-,1264,1200
37,Total Liabilities & Equity,6612,6331,6389,6328,6244,5957,5928,5787,5821,5740,5775,5475,5350,5139,5067,5347,4394,-,3866,-
38,Total Debt,2545,2499,2577,2484,2274,2242,2208,2197,2261,2360,2449,2140,2004,1896,1841,2117,1692,-,1631,1363
