,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4495,3873,4383,3635,3757,4163,4367,3903,4071,3850,-,-,-,-,-,-,-
1,Market Cap Growth,-6.96%,-6.96%,0.37%,-6.86%,-7.73%,8.12%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3692,3072,3586,2778,2901,3378,3582,3138,3328,3956,-,-,-,-,-,-,-
3,Last Close Price,16.05,13.83,15.65,12.98,13.18,14.61,15.32,13.69,14.07,13.31,-,-,-,-,-,-,-
4,PE Ratio,25.89,22.31,26.71,20.56,22.34,26.18,24.30,25.27,28.09,29.10,-,-,-,-,-,-,-
5,PS Ratio,6.19,5.33,6.27,5.09,5.66,6.39,6.53,6.35,6.37,6.14,-,-,-,-,-,-,-
6,PB Ratio,2.91,2.51,2.90,2.45,2.50,2.87,3.06,2.82,2.90,2.83,-,-,-,-,-,-,-
7,P/TBV Ratio,2.57,2.57,2.97,2.52,2.56,-,3.15,2.90,2.98,2.92,-,-,-,-,-,-,-
8,P/FCF Ratio,281.43,242.50,32.45,28.19,-,25.55,-,55.19,93.61,452.81,-,-,-,-,-,-,-
9,P/OCF Ratio,30.56,30.56,17.10,15.28,15.56,16.04,27.61,24.01,31.09,46.47,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.08,4.23,5.13,3.89,4.37,5.19,5.35,5.11,5.20,6.30,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,16.21,13.79,17.52,13.10,14.91,18.22,18.05,17.50,19.08,23.73,-,-,-,-,-,-,-
12,EV/EBIT Ratio,19.29,16.05,20.50,15.10,17.26,21.04,20.44,20.06,21.79,27.22,-,-,-,-,-,-,-
13,EV/FCF Ratio,231.15,192.33,26.54,21.54,-,20.73,-,44.38,76.52,465.21,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.28,0.31,0.31,0.34,0.34,0.34
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,-,0.67,0.69,0.59,1.96,0.67,0.67
16,Debt / FCF Ratio,0.19,0.19,0.01,0.01,-,0.02,-,0.05,0.11,0.67,-,-9.41,-,-,-,35.49,70.98
17,Asset Turnover,0.43,0.32,0.49,0.44,0.40,0.40,0.41,0.44,-,-,-,-,-,-,0.80,-,
18,Inventory Turnover,11.36,11.00,10.34,15.03,12.73,13.88,14.52,12.76,9.61,-,-,-,-,-,-,4.54,-
19,Quick Ratio,5.26,5.26,6.14,5.50,6.81,7.89,7.57,7.22,6.38,7.14,-,1.78,-,1.42,-,1.28,1.28
20,Current Ratio,5.51,5.51,6.39,5.69,7.09,8.29,7.84,7.40,6.66,7.61,-,2.02,-,1.82,-,1.56,1.56
21,Return on Equity (ROE),8.15%,8.39%,14.76%,14.99%,5.99%,12.07%,13.38%,13.45%,-,-,33.74%,33.38%,39.95%,12.07%,37.24%,-,
22,Return on Assets (ROA),5.92%,4.33%,9.15%,8.36%,4.01%,6.21%,7.50%,7.66%,-,-,-,-,-,-,15.23%,-,
23,Return on Capital (ROIC),6.88%,5.02%,10.60%,9.42%,4.45%,6.94%,8.48%,8.68%,-,-,19.08%,19.12%,23.77%,5.11%,20.74%,-,
24,Return on Capital Employed (ROCE),11.98%,11.98%,11.23%,12.06%,10.84%,10.92%,12.17%,11.17%,10.73%,10.55%,-,27.06%,-,30.48%,-,19.76%,9.88%
25,Earnings Yield,3.86%,4.48%,3.74%,4.86%,4.48%,3.82%,4.11%,3.96%,3.56%,3.44%,-,-,-,-,-,-,-
26,FCF Yield,0.36%,0.41%,3.08%,3.55%,3.81%,3.91%,1.57%,1.81%,1.07%,0.22%,-,-,-,-,-,-,-
27,Dividend Yield,1.71%,-,-,-,-,-,-,-,-,1.79%,-,-,-,-,-,-,-
28,Payout Ratio,46.08%,-,-,143.96%,-,-,-,141.89%,-,3.83%,9.23%,5.04%,4.70%,-,-,4.65%,4.65%
29,Buyback Yield / Dilution,-0.41%,-1.64%,-3.85%,2.01%,1.67%,37.59%,-10886.02%,-36.89%,-35.19%,-110.24%,-,1.34%,-0.16%,-,-,-,-
30,Total Shareholder Return,1.30%,-1.64%,-3.85%,2.01%,1.67%,37.59%,-10886.02%,-36.89%,-35.19%,-108.45%,-,1.34%,-0.16%,-,-,-,-
