,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,281.58,322.75,295.41,240.53,270.02,259.7,229.71,191.38,51.13,-,29.71,-,34.21,-,39.33,39.33
1,Trading Asset Securities,525.16,481.04,504.07,620.07,589.5,530.4,561.23,580.93,701.36,-,6.07,-,8.67,-,9.54,9.54
2,Cash & Short-Term Investments,806.75,803.79,799.48,860.6,859.52,790.1,790.94,772.31,752.49,-,35.78,42.88,42.88,48.86,48.86,48.86
3,Cash Growth,-6.14%,1.73%,1.08%,11.43%,14.22%,-,2110.50%,1701.16%,1654.94%,-,-26.78%,-12.25%,-,-,-,-
4,Accounts Receivable,332.61,320.01,367.56,332.12,240.9,366.38,355.85,427.1,360.46,-,385.29,-,269.6,-,267.12,267.12
5,Other Receivables,0.24,0.2,0.11,0.2,0.19,0.25,0.29,0.46,0.26,-,0.02,-,0.16,-,0.35,0.35
6,Receivables,332.85,320.22,367.67,332.31,241.09,366.63,356.14,427.56,360.72,-,385.31,-,269.76,-,267.47,267.47
7,Inventory,45.06,38.57,30.98,34.44,31,27.48,23.01,34.99,53.52,-,43.03,-,78.57,-,65.48,65.48
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,2.03,-,-,-,1.17,1.17
9,Other Current Assets,10.37,7.55,8.42,15.44,25.04,13.63,5.08,16.77,20.38,-,11.19,-,9.8,-,3.27,3.27
