,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1623,1579,1590,1678,1866,2032,2252,2683,3500,3776,3158,Upgrade
1,Market Cap Growth,-5.92%,-5.92%,-14.79%,-17.39%,-17.16%,-24.28%,-35.65%,-28.95%,10.84%,17.12%,-5.93%,Upgrade
2,Enterprise Value,6881,6163,6706,6521,7198,6784,9635,7806,7694,8205,8113,Upgrade
3,Last Close Price,1.47,1.43,1.39,1.46,1.56,1.70,1.80,2.14,2.67,2.88,2.35,Upgrade
4,PE Ratio,5.09,4.96,4.15,4.19,3.96,3.35,3.55,3.63,4.09,5.04,5.03,Upgrade
5,Forward PE,-,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.79,5.51,5.25,Upgrade
6,PS Ratio,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.08,0.11,0.13,0.10,Upgrade
7,PB Ratio,0.24,0.20,0.20,0.22,0.24,0.26,0.29,0.36,0.49,0.60,0.52,Upgrade
8,P/TBV Ratio,0.24,0.24,0.24,0.27,0.29,0.31,0.34,0.44,0.60,0.75,0.67,Upgrade
9,P/FCF Ratio,3.38,-,3.27,-,-6.80,-,3.49,-,-,5.95,-,Upgrade
10,P/OCF Ratio,1.59,1.59,1.33,1.68,1.85,0.75,1.23,-,-,2.75,-,Upgrade
11,PEG Ratio,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,Upgrade
12,EV/Sales Ratio,0.14,0.13,0.15,0.17,0.20,0.19,0.27,0.22,0.24,0.28,0.27,Upgrade
13,EV/EBITDA Ratio,4.87,4.38,4.57,3.32,4.00,3.15,4.62,4.09,3.98,4.94,4.71,Upgrade
14,EV/EBIT Ratio,12.06,10.48,9.02,6.04,7.36,6.12,7.90,6.54,6.23,8.14,7.48,Upgrade
15,EV/FCF Ratio,14.34,-,13.77,-,-26.25,-,14.95,-,-,12.94,-,Upgrade
16,Debt / Equity Ratio,0.89,0.89,0.94,0.92,0.83,1.01,0.97,1.16,1.05,0.99,0.96,Upgrade
17,Debt / FCF Ratio,14.86,-,15.25,-,-23.28,-,11.74,-,-,9.81,-,Upgrade
18,Return on Capital Employed (ROCE),5.96%,5.96%,7.55%,11.25%,10.20%,11.19%,12.28%,12.38%,13.51%,12.53%,13.39%,Upgrade
19,Earnings Yield,19.63%,20.18%,24.08%,23.84%,25.27%,29.81%,28.13%,27.51%,24.44%,19.83%,19.89%,Upgrade
20,FCF Yield,29.57%,30.39%,30.63%,0.44%,-14.70%,65.61%,28.62%,-78.78%,16.99%,16.80%,3.07%,Upgrade
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.25%,0.30%,0.59%,Upgrade,
22,Total Shareholder Return,3.61%,-,-,-,-,-,-,-,-0.25%,0.30%,0.59%,Upgrade
