,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Cash & Equivalents,25119,19529,27423,30490,33615,27927,37815,-,58091,-,65147,50851,56497,23795,48741,60258,-,67619,25380,22657,Upgrade
1,Short-Term Investments,60000,65000,70000,65000,65000,65000,75000,-,55000,-,20000,10000,10000,10000,10000,10000,-,10000,30000,20000,Upgrade
2,Accounts Receivable,9861,18857,21286,21229,11094,29643,28904,-,11646,-,37797,53890,24998,74063,40350,29834,-,32066,37692,31147,Upgrade
3,Other Receivables,1344,1219,1217,1052,1133,1651,2370,-,1415,-,1515,3466,2025,1432,1346,1563,-,1155,1531,1556,Upgrade
4,Inventory,23708,24956,26380,25977,27912,21845,25504,-,27054,-,10377,11018,8928,12255,11857,13559,-,16618,13899,15566,Upgrade
5,Prepaid Expenses,827.39,1482,761.16,516.79,802.3,599.02,511,-,529.34,-,1009,2015,1627,2687,1635,1671,-,1159,1225,1171,Upgrade
6,Other Current Assets,2852,3035,2203,2462,2226,1654,3531,-,1902,-,1719,891.14,720.13,1376,1249,1185,-,878.5,2108,1197,Upgrade
7,Total Current Assets,123712,134077,149269,146727,141781,148318,173635,-,155637,-,137563,132131,104795,125608,115177,118069,-,129496,111835,93294,Upgrade
8,"Property, Plant & Equipment",188462,158852,153112,147991,153482,136951,130581,-,139446,-,129992,131941,137531,142451,149480,156398,-,157152,158697,157641,Upgrade
9,Other Intangible Assets,1067,1261,1455,1202,1562,1713,1600,-,2495,-,2504,2930,3355,3781,1551,1755,-,1822,1304,1422,Upgrade
10,Long-Term Deferred Tax Assets,4290,4260,4716,3386,4419,4538,4538,-,3707,-,565.86,565.86,565.86,3435,3435,3435,-,1664,1664,1543,Upgrade
11,Other Long-Term Assets,5956,4930,1575,3185,1724,1529,686.68,-,278.56,-,14200,11720,12061,6698,3972,2531,-,7068,6829,9572,Upgrade
12,Total Assets,323486,303381,310127,302491,302967,293049,311041,-,301564,-,284825,279288,258308,281973,273616,282188,-,297201,280329,263472,Upgrade
13,Accounts Payable,93952,73845,72968,72232,88427,59117,71040,-,86726,-,70127,76733,60006,80345,65609,86349,-,107154,93436,71646,Upgrade
14,Accrued Expenses,16028,24421,19891,10832,16269,27353,19727,-,16437,-,12793,8527,15300,20927,18555,8023,-,11227,12654,6224,Upgrade
15,Current Income Taxes Payable,25974,25669,27835,29226,17788,20192,25418,-,22931,-,21915,15364,9068,11603,12381,11459,-,9684,9709,13554,Upgrade
16,Other Current Liabilities,5779,4617,22676,7177,4064,5146,19336,-,3602,-,18077,4516,4660,4546,15731,3786,-,4511,4122,3729,Upgrade
17,Total Current Liabilities,141734,128552,143370,119466,126549,111807,135521,-,129696,-,122912,105140,89034,117420,112276,109618,-,132576,119920,95152,Upgrade
18,Other Long-Term Liabilities,325,325,325,325,325,325,325,-,345,-,345,345,405,425,425,475,-,622.62,642.62,642.62,Upgrade
19,Total Liabilities,142059,128877,143695,119791,126874,112132,135846,-,130041,-,123257,105485,89439,117845,112701,110093,-,133199,120563,95794,Upgrade
20,Common Stock,109000,109000,109000,109000,109000,109000,109000,-,109000,-,109000,109000,109000,109000,109000,109000,-,109000,109000,109000,Upgrade
21,Retained Earnings,71996,65072,57000,73268,66662,71485,65763,-,62091,-,52137,64372,59437,54696,51483,62664,-,54571,50334,58247,Upgrade
22,Comprehensive Income & Other,431.59,431.59,431.59,431.59,431.59,431.59,431.59,-,431.59,-,431.59,431.59,431.59,431.59,431.59,431.59,-,431.59,431.59,431.59,Upgrade
23,Shareholders' Equity,181427,174503,166432,182700,176094,180917,175194,171523,171523,-,161568,173803,168869,164128,160915,172095,-,164002,159765,167678,Upgrade
