,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Market Capitalization,384770,331360,366240,321550,292120,250700,240890,268140,293210,196200,361880,251790,229990,255060,262690,207100,219090,210370,234350,218000,388040,Upgrade
1,Market Cap Growth,32.17%,32.17%,52.04%,19.92%,-0.37%,27.78%,-33.43%,6.49%,27.49%,-23.08%,37.76%,21.58%,4.98%,21.24%,12.09%,-5.00%,-43.54%,-45.63%,-26.87%,14.94%,109.41%,Upgrade
2,Enterprise Value,299651,246831,268817,226060,193505,157773,128075,170648,180119,106436,276733,190939,163493,221265,203949,136842,141471,132751,178970,175343,354068,Upgrade
3,PE Ratio,12.66,10.90,12.62,12.05,11.05,9.90,9.54,11.05,13.52,9.45,23.68,18.31,16.78,-,15.58,11.58,12.42,12.87,15.04,15.16,28.47,Upgrade
4,PS Ratio,0.37,0.37,0.41,0.36,0.33,0.28,0.27,0.30,0.34,0.23,0.57,0.43,0.40,-,0.35,0.27,0.29,0.28,0.32,0.31,0.56,Upgrade
5,PB Ratio,1.83,1.83,2.10,1.93,1.60,1.42,1.33,1.53,1.71,1.14,-,1.56,1.32,1.51,1.60,1.29,1.27,-,1.43,1.36,2.31,Upgrade
6,P/FCF Ratio,664.98,-,70.44,-49.99,-,-12.72,-,-,-,3.37,10.14,49.39,-,-,-,-,-,-,4.46,7.88,14.09,Upgrade
7,P/OCF Ratio,4.82,4.82,4.77,6.50,7.25,9.69,-,-,-,2.26,6.14,13.54,-,-,-,-,3.60,-,3.50,4.70,8.63,Upgrade
8,EV/Sales Ratio,0.33,0.27,0.30,0.25,0.22,0.18,0.14,0.19,0.21,0.12,0.44,0.33,0.29,-,0.27,0.18,0.19,0.18,0.24,0.25,0.51,Upgrade
9,EV/EBITDA Ratio,4.59,3.78,4.05,3.60,3.21,2.74,2.21,2.96,3.17,1.89,6.26,4.67,3.97,-,4.31,3.08,3.01,2.90,3.53,3.36,7.54,Upgrade
10,EV/EBIT Ratio,8.03,6.62,7.84,7.35,6.58,5.65,4.61,6.25,6.95,4.28,14.72,11.78,10.13,-,11.33,6.98,7.21,7.02,8.69,9.32,20.38,Upgrade
11,EV/FCF Ratio,517.88,-,51.70,-35.15,-,-8.00,-,-,-,1.83,7.75,37.45,-,-,-,-,-,-,3.40,6.34,12.85,Upgrade
12,Quick Ratio,0.68,0.68,0.81,0.84,0.99,0.88,1.11,1.06,-,0.97,-,1.01,1.12,1.05,0.93,0.89,0.93,-,0.84,0.79,0.79,Upgrade
13,Current Ratio,0.87,0.87,1.04,1.04,1.23,1.12,1.33,1.28,-,1.20,-,1.12,1.26,1.18,1.07,1.03,1.08,-,0.98,0.93,0.98,Upgrade
14,Asset Turnover,2.98,2.88,3.03,2.91,3.00,2.94,-,-,-,-,3.13,2.89,-,2.48,2.95,-,-,2.61,2.72,2.92,Upgrade,
15,Return on Equity (ROE),15.56%,18.94%,19.28%,15.58%,12.43%,12.86%,-,13.69%,-,-,13.37%,11.54%,-,7.91%,13.34%,-,-,10.47%,12.97%,8.39%,Upgrade,
16,Return on Assets (ROA),7.36%,8.16%,7.74%,7.08%,5.21%,5.36%,-,-,-,-,6.01%,5.59%,-,3.07%,6.04%,-,-,4.33%,6.20%,4.73%,Upgrade,
17,Return on Capital (ROIC),12.97%,14.68%,13.59%,11.94%,8.70%,9.10%,-,10.32%,-,-,10.11%,8.79%,-,5.24%,10.09%,-,-,7.72%,10.30%,7.29%,Upgrade,
