,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Revenue,233387,221069,231662,219936,223497,221972,228874,214520,219736,218499,220996,194199,-,172111,204661,187346,190095,188364,184590,186284,Upgrade
1,Revenue Growth (YoY),4.43%,-0.41%,1.22%,2.52%,1.71%,1.59%,3.57%,10.46%,-,26.95%,7.98%,3.66%,-,-8.63%,10.87%,0.57%,9.36%,14.50%,10.47%,16.75%,Upgrade
2,"Selling, General & Admin",68997,59600,63749,60031,74960,59105,65190,54693,73399,58813,64591,46005,-,33315,51474,47459,56551,50216,48500,52513,Upgrade
3,Other Operating Expenses,155159,151457,158424,151335,142324,156387,155524,152749,140279,153683,149624,142176,-,135390,146467,134315,131234,133148,129342,128932,Upgrade
4,Total Operating Expenses,224157,211057,222173,211365,217284,215492,220714,207442,213678,212496,214214,188182,-,168705,197941,181774,187785,183364,177842,181445,Upgrade
5,Operating Income,9230,10012,9489,8571,6213,6480,8160,7078,6058,6002,6781,6017,-,3407,6720,5572,2310,5000,6748,4839,Upgrade
6,Interest Income,594.97,586.71,1093,261.23,1654,673.69,2412,418.75,1158,489.71,210.83,124.12,-,356.43,135.56,328.91,689.71,821.36,25.84,105.25,Upgrade
7,Net Interest Expense,594.97,586.71,1093,261.23,1654,673.69,2412,418.75,1158,489.71,210.83,124.12,-,356.43,135.56,328.91,689.71,821.36,25.84,105.25,Upgrade
8,Other Non-Operating Income (Expenses),51.23,104.02,18.36,-0.14,13.59,0.01,15,-159.59,21.25,46.29,15.62,26.94,-,-0,-0.15,-3.23,232.73,-50.19,30.86,46.83,Upgrade
