,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,309.21,300.41,285.41,232.57,188.49,188.41,-
1,Trading Asset Securities,14.25,41.84,-,-,-,-,-
2,Cash & Short-Term Investments,323.47,342.25,285.41,232.57,188.49,188.41,-
3,Cash Growth,13.34%,47.16%,51.41%,23.44%,-,-,-
4,Accounts Receivable,51.18,41.52,40,59.48,67.12,48.71,-
5,Other Receivables,-,-,-,-,4.08,3.32,-
6,Receivables,51.18,41.52,40,59.48,71.24,52.02,-
7,Prepaid Expenses,-,-,-,-,6.45,5.67,-
8,Other Current Assets,18.35,34.46,31.04,11.66,11.12,9.36,-
9,Total Current Assets,392.99,418.23,356.44,303.7,277.29,255.46,-
10,"Property, Plant & Equipment",6.47,8.24,12.78,17.38,20.35,17,-
11,Long-Term Investments,24,-,14.57,-,-,-,-
12,Other Intangible Assets,97.89,92.88,100.14,39.67,10.8,15.02,-
13,Long-Term Deferred Tax Assets,2.46,2.36,2.23,3.6,4.57,3.66,-
14,Other Long-Term Assets,3.1,5.71,5.66,5.91,8.63,1.24,-
15,Total Assets,526.9,527.42,491.82,370.26,322,292.36,-
16,Accounts Payable,66.79,78.11,56.9,44.12,31.98,30.62,-
17,Accrued Expenses,25.61,-,-,-,-,-,-
18,Current Portion of Leases,1.01,4.33,7.48,6.65,6.74,4.56,-
19,Current Income Taxes Payable,3.62,4.57,12.02,7.43,3.26,0.61,-
20,Current Unearned Revenue,34.58,30.71,24.94,49.63,42.82,35.85,-
21,Other Current Liabilities,41.87,31.96,29.7,119.79,102.16,105.27,-
22,Total Current Liabilities,173.47,149.67,131.04,227.62,186.96,176.91,-
23,Long-Term Leases,1.77,0.33,0.98,4.48,7.99,7.83,-
24,Other Long-Term Liabilities,47.77,45.83,61.05,15.55,0.46,0.31,-
25,Total Liabilities,223.02,195.83,193.07,247.65,195.4,185.05,-
26,Common Stock,1.19,1.19,1.19,0.01,0.01,0.01,-
27,Additional Paid-In Capital,130.89,130.89,130.89,-,-,-,-
28,Retained Earnings,140.25,140.68,78.2,66.47,73.32,52.95,-
29,Treasury Stock,-27.2,-,-,-,-,-,-
30,Comprehensive Income & Other,59.61,59.68,89.3,57.01,54.13,56.24,-
31,Total Common Equity,304.73,332.43,299.58,123.49,127.46,109.19,-
32,Minority Interest,-0.85,-0.84,-0.83,-0.87,-0.86,-1.88,-
33,Shareholders' Equity,303.89,331.59,298.75,122.61,126.6,107.31,-
34,Total Liabilities & Equity,526.9,527.42,491.82,370.26,322,292.36,-
35,Total Debt,2.78,4.66,8.46,11.13,14.72,12.39,-
36,Net Cash (Debt),320.69,337.59,276.95,221.44,173.77,176.02,-
37,Net Cash Growth,15.80%,52.45%,59.37%,25.80%,-,-,-
38,Net Cash Per Share,2.38,2.45,2.04,1.95,1.53,1.55,-
39,Filing Date Shares Outstanding,134.5,138,138,138,113.58,113.58,113.58
40,Total Common Shares Outstanding,134.5,138,138,113.58,113.58,113.58,113.58
41,Working Capital,219.52,268.55,225.41,76.08,90.33,78.55,-
42,Book Value Per Share,2.27,2.41,2.17,1.09,1.12,0.96,-
43,Tangible Book Value,206.84,239.54,199.45,83.81,116.67,94.17,-
44,Tangible Book Value Per Share,1.54,1.74,1.45,0.74,1.03,0.83,-
45,Machinery,-,5.97,-,7.66,5.78,3.79,-
46,Leasehold Improvements,-,3.99,-,3.99,2.95,3.16,-
