,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,530,535,671,580,-,-,-,-
1,Market Cap Growth,-7.62%,-7.62%,-,-,-,-,-,-
2,Enterprise Value,184,163,371,328,-,-,-,-
3,Last Close Price,3.84,3.88,4.61,3.99,-,-,-,-
4,PE Ratio,8.06,8.25,8.20,16.52,-,-,-,-
5,PS Ratio,0.82,0.84,0.96,0.77,-,-,-,-
6,PB Ratio,1.58,1.64,1.84,1.80,-,-,-,-
7,P/TBV Ratio,2.41,2.41,2.54,2.69,-,-,-,-
8,P/FCF Ratio,4.75,4.80,6.29,5.40,-,-,-,-
9,P/OCF Ratio,4.71,4.71,6.20,5.24,-,-,-,-
10,EV/Sales Ratio,0.29,0.25,0.53,0.44,-,-,-,-
11,EV/EBITDA Ratio,1.97,1.90,3.34,4.26,-,-,-,-
12,EV/EBIT Ratio,4.56,4.02,5.62,7.74,-,-,-,-
13,EV/FCF Ratio,1.65,1.46,3.48,3.06,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.03,0.09,0.12,0.12,-
15,Debt / FCF Ratio,0.03,0.03,0.05,0.09,0.16,0.20,0.20,-
16,Return on Capital Employed (ROCE),10.64%,10.64%,15.84%,10.88%,-,42.56%,35.60%,-
17,Earnings Yield,12.26%,12.13%,12.19%,6.05%,-,-,-,-
18,FCF Yield,21.07%,20.85%,15.90%,18.53%,-,-,-,-
19,Buyback Yield / Dilution,-9.20%,1.09%,-21.51%,-19.72%,-,-,-,-
20,Total Shareholder Return,-3.81%,1.09%,-21.51%,-19.72%,-,-,-,-
