,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,315.38,279.23,354.4,343.11,294.78,278.88,180.97
1,Revenue Growth (YoY),-11.01%,-18.62%,20.23%,23.03%,62.88%,-,-
2,Cost of Revenue,143.98,133.75,155.23,158.91,145.91,139.99,98.33
3,Gross Profit,171.4,145.49,199.17,184.2,148.87,138.89,82.64
4,"Selling, General & Admin",89.93,69.34,105.79,138.32,90.91,67.04,53.14
5,Research & Development,58.9,58.91,50.32,49.47,37.51,37.02,25.69
6,Other Operating Expenses,-4.31,6.9,-6.69,6.17,-2.34,-1.47,-0.84
7,Operating Expenses,144.54,134.74,150.06,194.04,127.85,102.43,77.99
8,Operating Income,26.86,10.75,49.11,-9.84,21.02,36.45,4.65
9,Interest Expense,-1.81,-2.21,-2.38,-0.68,-,-0.36,-0.38
10,Interest & Investment Income,-,5.72,-,1.52,0.57,0.92,0.56
11,Currency Exchange Gain (Loss),0.26,0.53,-3.98,-3,2.25,-0.01,0.15
12,Other Non Operating Income (Expenses),-,15.59,-,10.26,-,-,-
13,EBT Excluding Unusual Items,25.31,30.37,42.75,-1.74,23.83,37,4.99
14,Gain (Loss) on Sale of Investments,0.28,-0.31,0.57,0.08,0.05,0.27,0.21
15,Gain (Loss) on Sale of Assets,-,-0.62,-,-,-,-0.72,-0.03
16,Pretax Income,25.59,29.44,43.32,-1.66,23.88,36.56,5.17
17,Income Tax Expense,0.05,-5.45,3.97,5.2,3.55,4.19,-1.86
18,Earnings From Continuing Operations,25.54,34.88,39.35,-6.86,20.33,32.36,7.03
19,Minority Interest in Earnings,0.01,0.01,-0.04,0.01,0.05,0.22,0.38
20,Net Income,25.55,34.89,39.31,-6.85,20.37,32.58,7.4
21,Net Income to Common,25.55,34.89,39.31,-6.85,20.37,32.58,7.4
22,Net Income Growth,-35.02%,-,92.96%,-,175.18%,-,-
23,Shares Outstanding (Basic),134,138,136,114,114,114,114
24,Shares Outstanding (Diluted),134,138,136,114,114,114,114
25,Shares Change (YoY),-1.09%,21.51%,19.72%,-,-,-,-
26,EPS (Basic),0.19,0.25,0.29,-0.06,0.18,0.29,0.07
27,EPS (Diluted),0.19,0.25,0.29,-0.06,0.18,0.29,0.07
28,EPS Growth,-34.31%,-,61.18%,-,175.18%,-,-
29,Free Cash Flow,46.35,57.54,39.24,60.15,9.33,62.59,0.63
30,Free Cash Flow Per Share,0.34,0.42,0.29,0.53,0.08,0.55,0.01
31,Operating Margin,8.52%,3.85%,13.86%,-2.87%,7.13%,13.07%,2.57%
32,Profit Margin,8.10%,12.49%,11.09%,-2.00%,6.91%,11.68%,4.09%
33,Free Cash Flow Margin,14.70%,20.61%,11.07%,17.53%,3.17%,22.44%,0.35%
34,EBITDA,48.58,31.26,69.41,1.86,31.14,47.12,15.14
35,D&A For EBITDA,21.72,20.51,20.3,11.7,10.12,10.67,10.49
36,EBIT,26.86,10.75,49.11,-9.84,21.02,36.45,4.65
