,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,1934,1998,2254,2348,2420,3492,4245,3546,2639,2714,Upgrade
1,Cash & Short-Term Investments,1934,1998,2254,2348,2420,3492,4245,3546,2639,2714,Upgrade
2,Cash Growth,-14.18%,-14.88%,-6.87%,-32.77%,-42.99%,-1.53%,60.89%,30.66%,5.38%,26.67%,Upgrade
3,Accounts Receivable,219.86,265.77,187.26,213.83,182.88,187.71,185.22,278.11,195.02,232.68,Upgrade
4,Other Receivables,205.79,191.37,264.31,206.67,261.69,223.34,332.85,260.39,285.62,308.24,Upgrade
5,Receivables,477.32,506.31,451.57,493.06,444.56,483.7,527.17,605.46,522.44,560.92,Upgrade
6,Inventory,9863,9567,9438,8853,8214,8769,8094,7322,6925,7533,Upgrade
7,Prepaid Expenses,65.6,70.81,71.08,67.55,73.51,58.67,65.66,68.67,81.86,88.38,Upgrade
8,Other Current Assets,203.79,189.91,240.72,212.03,193.6,198.3,238.93,190.63,229.88,183.79,Upgrade
9,Total Current Assets,12544,12332,12455,11973,11346,13002,13171,11733,10398,11080,Upgrade
10,"Property, Plant & Equipment",2562,2522,2244,1589,1574,1494,1485,1502,1618,1761,Upgrade
11,Long-Term Investments,-,-,1.33,0.79,0.44,23.51,35.32,44.1,22.56,63.05,Upgrade
12,Goodwill,277.67,277.67,-,-,-,-,-,-,-,-,Upgrade
13,Other Intangible Assets,515.89,538.32,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,Upgrade
14,Long-Term Deferred Tax Assets,189.19,154.65,113.18,146.67,150.82,158.02,150.98,123.08,99.64,71.84,Upgrade
15,Other Long-Term Assets,1006,1020,1141,1179,1174,1429,1043,963.5,1025,947.9,Upgrade
16,Total Assets,17095,16854,15979,14929,14297,16220,16013,14512,13331,13925,Upgrade
17,Accounts Payable,316.13,177.65,229.15,280.25,223.64,243.29,358.54,284.77,210.84,98.46,Upgrade
18,Accrued Expenses,224.21,280.7,280.39,207.07,177.72,174.24,198.93,147.99,142.88,139.89,Upgrade
19,Short-Term Debt,1408,1428,1153,540.13,523.13,1955,2151,1089,634.93,1513,Upgrade
20,Current Portion of Leases,340.38,287.7,204.22,172.46,188.84,204.6,243.21,338.57,411.6,469.39,Upgrade
21,Current Income Taxes Payable,197.75,171.85,162.66,125.42,107.91,188.28,146.79,170.22,128.98,111.8,Upgrade
22,Current Unearned Revenue,81.03,188.26,150.45,162.96,168.59,165.17,195.37,150.8,111.03,97.69,Upgrade
23,Other Current Liabilities,924.05,982.85,1003,978.13,985.56,978.16,919.11,765.39,721.48,642.78,Upgrade
24,Total Current Liabilities,3492,3517,3182,2466,2375,3909,4213,2947,2362,3073,Upgrade
25,Long-Term Leases,293.54,319.42,239.7,147.61,147.78,153.01,126.48,81.85,171.22,283.66,Upgrade
26,Long-Term Deferred Tax Liabilities,106.43,119.79,72.73,59.66,58.46,74.69,175.41,157.9,157.47,146.84,Upgrade
27,Total Liabilities,3926,3990,3529,2708,2587,4142,4516,3188,2700,3513,Upgrade
28,Common Stock,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,58.71,Upgrade
29,Additional Paid-In Capital,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,Upgrade
30,Retained Earnings,10743,10684,10317,9698,9388,9053,8642,8575,8133,8136,Upgrade
31,Comprehensive Income & Other,-75.84,-345.73,-418.82,-28.97,-230.52,472.77,303.17,196.6,-54.32,-316.78,Upgrade
32,Total Common Equity,13219,12891,12451,12221,11710,12079,11498,11325,10632,10372,Upgrade
33,Minority Interest,-50.26,-26.96,-0.52,-0.5,-0.49,-0.47,-0.46,-0.44,-0.43,40.41,Upgrade
34,Shareholders' Equity,13169,12864,12451,12221,11710,12079,11498,11324,10631,10412,Upgrade
35,Total Liabilities & Equity,17095,16854,15979,14929,14297,16220,16013,14512,13331,13925,Upgrade
36,Total Debt,2042,2035,1597,860.2,859.75,2312,2520,1509,1218,2266,Upgrade
37,Net Cash (Debt),-107.79,-36.7,657.23,1487,1560,1180,1725,2037,1421,448.37,Upgrade
38,Net Cash Growth,-,-,-57.88%,26.10%,-9.54%,-42.09%,21.39%,354.29%,-,-,Upgrade
39,Net Cash Per Share,-0.18,-0.06,1.12,2.53,2.66,2.01,2.94,3.47,2.42,0.76,Upgrade
40,Filing Date Shares Outstanding,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,Upgrade
41,Total Common Shares Outstanding,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,587.11,Upgrade
42,Working Capital,9052,8815,9273,9506,8971,9093,8958,8786,8036,8008,Upgrade
43,Book Value Per Share,22.52,21.96,21.21,20.82,19.95,20.57,19.58,19.29,18.11,17.67,Upgrade
44,Tangible Book Value,12426,12075,12450,12220,11709,12078,11497,11324,10631,10371,Upgrade
45,Tangible Book Value Per Share,21.16,20.57,21.21,20.81,19.94,20.57,19.58,19.29,18.11,17.66,Upgrade
46,Land,-,1182,-,929.83,-,867.59,-,857.92,-,743.08,Upgrade
47,Machinery,-,323.08,-,296.26,-,297.83,-,281.43,-,287.7,Upgrade
48,Construction In Progress,-,9.49,-,11.09,-,45.79,-,14.93,-,-,Upgrade
49,Leasehold Improvements,-,547.71,-,491.3,-,541.91,-,524.2,-,552.49,Upgrade
