,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,19818,19960,26221,31307,31601,37554,39832,64598,53207,56367,41302
1,Market Cap Growth,-36.24%,-36.24%,-17.02%,-16.63%,-20.66%,-41.87%,-25.14%,14.60%,28.83%,78.79%,12.18%
2,Enterprise Value,33819,35495,39626,45391,47096,50823,44422,69764,57050,59866,43791
3,PE Ratio,4.56,4.75,5.84,-113.67,-,-,27.86,65.61,80.90,-883.59,-
4,PS Ratio,0.57,0.60,0.81,1.13,1.23,1.38,1.49,2.75,2.44,3.09,2.45
5,PB Ratio,0.91,0.92,1.19,1.62,1.59,1.82,1.70,2.91,2.58,2.94,2.24
6,P/FCF Ratio,20.21,26.30,13.91,95.90,-,-,-,18.95,9.72,38.31,-
7,P/OCF Ratio,11.04,11.04,10.78,38.53,-,-,-,17.31,9.22,31.78,-
8,EV/Sales Ratio,1.00,1.06,1.23,1.64,1.84,1.87,1.66,2.97,2.62,3.28,2.60
9,EV/EBITDA Ratio,48.58,43.89,35.72,279.93,-,-,28.26,109.08,-,-5191.28,-
10,EV/EBIT Ratio,55.44,45.99,41.16,448.50,-,-,29.15,117.29,-,-1029.21,-
11,EV/FCF Ratio,34.49,46.77,21.02,139.05,-,-,-,20.46,10.42,40.69,-
12,Debt / Equity Ratio,0.71,0.71,0.78,0.75,0.80,0.84,0.64,0.53,0.63,0.30,0.27
13,Debt / FCF Ratio,15.85,20.48,9.16,44.50,-,-,-,3.42,2.36,3.95,-
14,Return on Capital Employed (ROCE),1.68%,1.67%,2.04%,0.19%,-,-,2.40%,1.00%,-,-0.15%,-
15,Earnings Yield,21.21%,21.06%,17.13%,-0.88%,-3.98%,-0.71%,3.59%,1.52%,1.24%,-0.11%,-1.23%
16,Earnings Yield,21.21%,21.06%,17.13%,-0.88%,-3.98%,-0.71%,3.59%,1.52%,1.24%,-0.11%,-1.23%
17,FCF Yield,4.95%,3.80%,7.19%,1.04%,-3.98%,-4.64%,-2.66%,5.28%,10.29%,2.61%,-4.07%
