,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Investments in Debt Securities,10008,9528,14240,13038,13120,665.74,689.42,686.69,78.05,-
1,Investments in Equity & Preferred Securities,6428,5389,710.89,813.39,570.73,559.66,346.72,315.29,325.41,613.31
2,Other Investments,615.03,130.16,553.93,478.19,771.69,23250,19626,20617,18294,13937
3,Total Investments,36812,37299,37989,36193,36969,36288,30041,27739,24469,20771
4,Cash & Equivalents,1438,1576,2792,3526,3207,3765,7890,8218,3708,2915
5,Reinsurance Recoverable,802.58,631.81,626.54,567.6,1008,1123,1023,667.84,535.44,513.16
6,Other Receivables,1188,1196,5190,4980,10752,8479,8470,6851,4705,4813
7,"Property, Plant & Equipment",295.32,377.44,420.85,434.28,360.51,239.87,272.63,343.77,402.8,454.6
8,Goodwill,-,-,-,-,3.19,3.19,3.19,3.19,7.19,4
9,Other Intangible Assets,580.11,527.38,711.1,661.79,582.24,477.49,525.64,481.48,504.43,488.78
10,Other Current Assets,826.92,780.28,732.68,707.62,560.42,691.7,531.2,618.53,405.61,528.89
11,Long-Term Deferred Tax Assets,13.81,32.53,96.54,182.16,50.07,-,-,-,-,-
12,Long-Term Deferred Charges,38.94,16.13,26.91,15.03,65.11,31.86,44.65,33.18,18.68,16.33
13,Other Long-Term Assets,1041,427.08,675.46,381.33,687.14,672.94,757.7,717.24,435.09,402.43
14,Total Assets,43037,42864,49261,47649,54244,51772,49558,45673,35191,30908
15,Accounts Payable,2091,1673,2186,1462,1958,1543,1464,989.83,852.96,739.81
16,Accrued Expenses,1173,1123,1015,1245,1210,1483,1547,1192,392.95,663.38
17,Insurance & Annuity Liabilities,4337,3366,4139,4057,371.28,190.07,6.85,13,0.4,-
18,Unpaid Claims,-,-,-,-,3519,3363,3237,3198,3062,2290
19,Unearned Premiums,-,-,-,-,6209,6058,6579,5542,4653,5470
20,Reinsurance Payable,0.26,0.26,2.3,14.52,678.71,851.38,826.47,452.44,215.9,218.06
21,Current Portion of Leases,150.02,131.15,143.21,135.56,-,120.14,-,147.16,-,-
22,Short-Term Debt,7431,8590,6183,7140,7733,5666,3054,4094,4939,4050
23,Current Income Taxes Payable,11.1,27.4,4.77,0.31,-,0.01,4.43,5,5.63,2.17
24,Long-Term Debt,6848,6801,6912,6658,6748,6325,6406,6468,-,-
25,Long-Term Leases,39.78,155.36,204.91,238.25,355.75,82.96,240.21,171.4,361.53,398.37
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,61.95,-,0,0.41,0.04
27,Other Current Liabilities,-,-,38.41,64.4,106.39,-,-,-,-,-
28,Other Long-Term Liabilities,683,887.97,10500,8949,7606,6817,7674,5933,3183,548.74
29,Total Liabilities,22798,22790,31410,30034,36613,32642,31096,28280,17700,14402
30,Common Stock,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
31,Retained Earnings,1906,1871,-1990,-2176,-1971,-1457,-1825,-2581,-2644,-3135
32,Comprehensive Income & Other,16864,16732,16616,16473,16534,16735,16813,16816,16755,16576
33,Total Common Equity,20240,20073,16096,15766,16033,16748,16457,15705,15581,14912
34,Minority Interest,-,-,1754,1849,1598,2382,2005,1688,1910,1594
35,Shareholders' Equity,20240,20073,17850,17615,17631,19130,18462,17393,17491,16506
36,Total Liabilities & Equity,43037,42864,49261,47649,54244,51772,49558,45673,35191,30908
37,Filing Date Shares Outstanding,1520,1470,1470,1470,1470,1470,1470,1470,1470,1470
38,Total Common Shares Outstanding,1520,1470,1470,1470,1470,1470,1470,1470,1470,1470
39,Total Debt,14469,15678,13443,14172,14837,12194,9701,10880,5300,4448
40,Net Cash (Debt),-13030,-14101,-10651,-10645,-11630,-8429,-1811,-2662,-1592,-1533
41,Net Cash Per Share,-8.87,-9.59,-7.25,-7.24,-7.91,-5.73,-1.23,-1.81,-1.08,-1.04
42,Book Value Per Share,13.32,13.66,10.95,10.73,10.91,11.39,11.20,10.69,10.60,10.15
43,Tangible Book Value,19660,19546,15385,15104,15447,16268,15928,15221,15069,14419
44,Tangible Book Value Per Share,12.94,13.30,10.47,10.28,10.51,11.07,10.84,10.36,10.25,9.81
45,Machinery,63.33,62.41,97.12,94.06,93.17,95.26,85.94,81.71,79.29,74.06
46,Leasehold Improvements,207.09,168.03,189.95,165.93,150.78,148.29,140.49,136.55,138.91,132.88
