,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,8.32,31.24,24.34,52.01,17.88,15.35,15.09,78.55,74.82,101,Upgrade
1,Short-Term Investments,61.85,34.47,41.89,29,6.67,0.22,11.76,-,11.05,-,Upgrade
2,Trading Asset Securities,12.49,-,5.19,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,82.66,65.71,71.42,81.02,24.55,15.56,26.85,78.55,85.87,101,Upgrade
4,Cash Growth,15.74%,-18.89%,190.93%,420.56%,-8.58%,-80.19%,-68.73%,-22.23%,-30.07%,-38.14%,Upgrade
5,Accounts Receivable,42.19,31.66,44.57,39.07,19.71,27.49,15.13,19.14,3.95,24.1,Upgrade
6,Other Receivables,18.12,14.58,15.13,11.84,8.96,8.51,6.17,12.41,4.8,2.75,Upgrade
7,Receivables,81.71,76.22,128.54,137.28,135.3,143.86,162.86,135.5,119.1,135.13,Upgrade
8,Inventory,23.73,8.44,7.67,6.56,6.18,6.02,17.59,11.97,31.91,14.99,Upgrade
9,Prepaid Expenses,-,-,-,-,-,0.87,-,1.84,-,7.96,Upgrade
10,Other Current Assets,9.42,12.56,2.56,13.19,15.34,17,12.16,3.74,0.12,9.4,Upgrade
11,Total Current Assets,197.52,162.92,210.18,238.05,181.36,183.31,219.46,231.6,237,268.47,Upgrade
12,"Property, Plant & Equipment",6.41,5.93,4.29,5.19,12.52,13.72,15.06,16.07,17.16,21.36,Upgrade
13,Long-Term Investments,0.73,0.73,0.91,0.84,-,-,-,-,-,-,Upgrade
14,Goodwill,28.81,28.81,42.54,42.54,34.63,34.63,34.63,34.63,57.37,57.37,Upgrade
15,Other Intangible Assets,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,Upgrade
16,Long-Term Deferred Tax Assets,2.16,2.16,0.55,0.55,0.56,0.56,0.6,0.6,1.59,1.59,Upgrade
17,Other Long-Term Assets,11,12.83,0.4,0.4,-,-,-,-,-,-,Upgrade
