,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,7247,6998,4994,5223,4385,3173,2130,2561,2331,2535,Upgrade
1,Short-Term Investments,2393,-,1711,-,1199,-,1033,-,983.82,-,Upgrade
2,Trading Asset Securities,18.66,35.72,22.12,39.54,21.47,52.89,29.87,87.12,-,3.21,Upgrade
3,Cash & Short-Term Investments,9659,7034,6727,5263,5605,3226,3193,2648,3314,2538,Upgrade
4,Cash Growth,43.58%,33.65%,20.02%,63.13%,75.54%,21.84%,-3.66%,4.34%,23.59%,-13.44%,Upgrade
5,Accounts Receivable,6497,5964,5283,4729,4622,4395,4453,3490,3568,3763,Upgrade
6,Receivables,6497,5964,5283,4729,4632,4395,4453,3490,3568,3763,Upgrade
7,Inventory,5868,4777,4905,4636,4769,4312,4579,3925,3857,3676,Upgrade
8,Prepaid Expenses,-,38.45,-,27.11,-,17.18,-,17.81,-,13.92,Upgrade
9,Other Current Assets,854.25,3302,995.17,2000,381.82,1633,439.88,1147,244.94,1127,Upgrade
10,Total Current Assets,22878,21115,17910,16655,15388,13583,12666,11228,10984,11119,Upgrade
11,"Property, Plant & Equipment",4730,4585,4236,4206,4153,4093,3622,3553,3463,3426,Upgrade
12,Long-Term Investments,654.55,623.86,310.26,219.72,208.26,210.1,213.67,192.37,172.76,161.43,Upgrade
13,Goodwill,295.62,293.71,263.55,254.17,251.65,256.67,261.87,236.8,272.22,251.96,Upgrade
14,Other Intangible Assets,222.04,217.46,133.25,138.94,167.89,138.04,173.05,183.71,196.02,200.15,Upgrade
15,Long-Term Deferred Tax Assets,230.93,166.57,139.45,140.09,110.51,115.92,108.62,99.45,100.33,113.96,Upgrade
16,Other Long-Term Assets,668.22,585.03,592.26,600.49,599.34,627.79,583.21,581.46,570.61,628.15,Upgrade
17,Total Assets,29679,27587,23585,22214,20879,19025,17628,16075,15759,15900,Upgrade
18,Accounts Payable,5605,4954,3829,3885,3462,3570,3470,2608,2342,2505,Upgrade
19,Accrued Expenses,-,1491,-,1425,-,1266,-,1264,0.56,994.78,Upgrade
20,Short-Term Debt,-,-,683.14,-,336.11,301.02,720.35,667.51,346.7,186.4,Upgrade
