,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,3.49,4.78,6.38,5.07,6.73,6.41,7.67,11.91,6.51,8.65,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,2.44,9.79,11.13,Upgrade
2,Trading Asset Securities,10,1.07,3.13,4.51,4.51,2,2,-,-,-,Upgrade
3,Cash & Short-Term Investments,13.49,5.85,9.51,9.58,11.24,8.42,9.67,14.35,16.3,19.78,Upgrade
4,Cash Growth,41.84%,-38.91%,-15.38%,13.79%,16.21%,-41.33%,-40.65%,-27.45%,-42.70%,-44.41%,Upgrade
5,Accounts Receivable,1.41,1.67,2.06,7.23,8.56,10.68,17.87,16.1,15.22,12.81,Upgrade
6,Other Receivables,0.1,0.14,0.37,0.59,0.98,2.8,0.8,0.62,0.7,1.23,Upgrade
7,Receivables,1.51,1.81,2.43,7.82,9.53,13.48,18.67,16.73,15.91,14.04,Upgrade
8,Other Current Assets,0.6,0.85,0.84,0.88,1.09,1.98,1.99,2.28,1.77,2.02,Upgrade
9,Total Current Assets,15.6,8.52,12.78,18.28,21.86,23.88,30.33,33.35,33.98,35.84,Upgrade
10,"Property, Plant & Equipment",2.26,2.4,2.54,3.06,3.11,0.98,0.66,1.03,0.59,1.32,Upgrade
11,Other Intangible Assets,-,-,0.31,-,0.39,-,0.46,0.29,0.83,0.29,Upgrade
12,Other Long-Term Assets,9.74,9.99,10.35,11.22,11.35,12.53,12.66,12.72,12.68,3.1,Upgrade
13,Total Assets,27.6,20.91,25.98,32.55,36.71,37.38,44.12,47.4,48.08,40.55,Upgrade
14,Accrued Expenses,4,4.16,2.35,5.14,3.56,4.53,2.99,4.93,2.64,7,Upgrade
15,Current Portion of Leases,0.43,0.46,0.46,0.49,0.49,0.12,0.12,-,0.09,0.16,Upgrade
16,Other Current Liabilities,-,-,1.94,-,1.91,-,1.59,-,3.03,-,Upgrade
17,Total Current Liabilities,4.43,4.61,4.75,5.63,5.96,4.66,4.7,4.93,5.76,7.16,Upgrade
18,Long-Term Debt,18,7.1,8.1,8.1,8,2,5,5,5,-,Upgrade
19,Long-Term Leases,1.46,1.66,1.9,2.16,2.36,0.1,0.16,-,-,-,Upgrade
20,Total Liabilities,23.9,13.38,14.75,15.89,16.32,6.76,9.86,9.93,10.76,7.16,Upgrade
21,Common Stock,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39,Upgrade
22,Additional Paid-In Capital,-,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,Upgrade
23,Retained Earnings,-,-103.61,-99.63,-94.3,-90.51,-80.17,-76.25,-73.17,-73.34,-77.56,Upgrade
24,Comprehensive Income & Other,-20.69,17.13,16.86,16.94,16.89,16.78,16.49,16.62,16.65,16.94,Upgrade
25,Total Common Equity,3.71,7.53,11.24,16.66,20.39,30.62,34.26,37.47,37.32,33.39,Upgrade
26,Shareholders' Equity,3.71,7.53,11.24,16.66,20.39,30.62,34.26,37.47,37.32,33.39,Upgrade
27,Total Liabilities & Equity,27.6,20.91,25.98,32.55,36.71,37.38,44.12,47.4,48.08,40.55,Upgrade
28,Total Debt,19.9,9.22,10.46,10.75,10.85,2.23,5.29,5,5.09,0.16,Upgrade
29,Net Cash (Debt),-6.41,-3.37,-0.95,-1.18,0.39,6.19,4.38,9.35,11.21,19.62,Upgrade
30,Net Cash Growth,-,-,-,-,-91.03%,-33.77%,-60.89%,-52.34%,-59.80%,-44.87%,Upgrade
31,Net Cash Per Share,-0.03,-0.01,-0.00,-0.00,0.00,0.03,0.02,0.04,0.05,0.08,Upgrade
32,Filing Date Shares Outstanding,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,Upgrade
33,Total Common Shares Outstanding,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,246.18,Upgrade
34,Working Capital,11.16,3.9,8.03,12.65,15.9,19.22,25.63,28.42,28.22,28.68,Upgrade
35,Book Value Per Share,0.02,0.03,0.05,0.07,0.08,0.12,0.14,0.15,0.15,0.14,Upgrade
36,Tangible Book Value,3.71,7.53,10.93,16.66,20.01,30.62,33.8,37.17,36.49,33.1,Upgrade
37,Tangible Book Value Per Share,0.02,0.03,0.04,0.07,0.08,0.12,0.14,0.15,0.15,0.13,Upgrade
38,Machinery,-,-,1.64,-,3.77,-,3.75,-,4.15,-,Upgrade
39,Leasehold Improvements,-,-,-,-,0.69,-,0.69,-,0.69,-,Upgrade
