,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2020,Q4 2019
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,57960,56700,52080,39900,52080
1,Enterprise Value,159091,145765,141145,-,-
2,Last Close Price,13800.00,13500.00,11526.76,7051.64,8471.66
3,PE Ratio,7.83,8.07,9.83,9.13,23.31
4,PS Ratio,0.09,0.11,0.15,0.18,0.51
5,PB Ratio,0.80,0.80,0.76,0.62,-
6,P/TBV Ratio,0.81,0.81,0.76,0.62,-
7,P/FCF Ratio,-,-,9.22,-,-
8,P/OCF Ratio,-,-,7.52,-,-
9,EV/Sales Ratio,0.26,0.29,0.40,-,-
10,EV/EBITDA Ratio,-,12.51,23.07,-,-
11,EV/EBIT Ratio,11.32,9.64,11.21,-,-
12,EV/FCF Ratio,-,-,24.99,-,-
13,Debt / Equity Ratio,1.58,1.58,1.64,1.57,-
14,Debt / EBITDA Ratio,-,5.03,4.60,-,-
15,Debt / FCF Ratio,-,-,19.94,-,-
16,Quick Ratio,0.49,0.48,0.50,0.45,-
17,Current Ratio,1.06,1.06,1.05,1.04,-
18,Return on Capital Employed (ROCE),19.62%,21.11%,17.72%,11.86%,-
19,Earnings Yield,12.77%,12.39%,10.18%,10.96%,4.29%
20,FCF Yield,-17.33%,10.84%,-,-,
21,Payout Ratio,0.00%,-,4.51%,-,-
