,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3017,2547,2491,2626,2422,3262,3358,4137,4092,3714,3221,-,-,-,-,-,-,-,-
1,Market Cap Growth,-21.92%,-21.92%,-25.81%,-36.52%,-40.81%,-12.17%,4.25%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2518,2049,1987,2136,1976,2817,2948,3643,3623,3245,3691,-,-,-,-,-,-,-,-
3,Last Close Price,20.11,16.98,16.57,17.35,15.91,21.43,22.06,27.18,26.88,24.40,21.16,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-87.55,-84.38,-,-,66.37,55.82,90.33,-,-,-,-,-,-,-,-,-
5,Forward PE,25.30,24.65,20.58,20.90,15.45,23.04,20.81,27.78,30.03,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.55,7.14,9.18,9.48,9.61,18.05,9.59,11.44,10.22,10.04,8.78,-,-,-,-,-,-,-,-
7,PB Ratio,2.01,1.70,1.66,1.70,1.56,2.13,2.10,-,2.58,2.34,2.12,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.77,1.81,1.65,2.26,2.23,-,2.75,2.50,2.26,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,20.23,-,73.84,-133.99,-,-,-62.41,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,16.64,-,34.49,58.27,-,-,60.76,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.05,5.74,7.32,7.72,7.84,15.59,8.42,10.08,9.05,8.77,10.06,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,288.04,-,-,-41.89,-37.60,-,-,43.92,31.18,38.57,38.19,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-20.45,-,-,-,44.36,57.54,48.76,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,16.46,-,63.75,-117.62,-,-,-54.53,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.05,0.05,0.04,-,0.09,0.09,0.14,0.99,0.93,0.93,-,-,0.70,0.63,0.63
16,Debt / EBITDA Ratio,1.24,-,-,1.05,0.33,-,-,-,2.05,0.86,3.10,3.51,-,2.36,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,0.29,-,1.61,-2.81,-,-,-2.52,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.08,0.19,0.27,-,-,-,-,0.37,0.12,-,-,-,-,-,-,0.07,-,
19,Inventory Turnover,-,-,0.34,1.08,1.59,-,-,-,-,2.06,0.60,-,-,-,-,-,-,0.33,-
20,Quick Ratio,-,-,4.51,4.52,4.14,3.25,3.79,-,-,2.88,2.59,1.33,-,1.33,-,-,-,1.58,1.58
21,Current Ratio,-,-,5.11,5.04,4.68,3.82,4.46,-,-,3.20,2.90,1.58,-,1.58,-,-,-,1.84,1.84
22,Return on Equity (ROE),-9.70%,-10.41%,0.73%,9.11%,-,-,-,2.95%,16.05%,-6.41%,10.57%,-14.52%,-,-,-,-,-12.31%,-,
23,Return on Assets (ROA),-,-4.18%,-0.28%,5.50%,-,-,-,-,3.78%,1.87%,-,-,-,-,-,-,-4.96%,-,
24,Return on Capital (ROIC),-7.70%,-4.85%,-0.32%,6.38%,-,-,-,1.13%,4.47%,2.31%,6.69%,-3.97%,-,-,-,-,-6.72%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-5.97%,-,-,-,-,3.43%,4.67%,10.18%,-,6.76%,-,-,-,-,-
26,Earnings Yield,-1.26%,-1.49%,-2.78%,-1.14%,-1.19%,-1.60%,2.35%,1.51%,1.79%,1.11%,1.58%,-,-,-,-,-,-,-,-
27,FCF Yield,-,3.28%,4.94%,3.76%,1.35%,-0.75%,-2.51%,-2.23%,-1.60%,-3.64%,-,-,-,-,-,-,-,-,
28,Payout Ratio,0.00%,-,-,23.70%,1.32%,-,-,22.73%,12.18%,3.60%,-,49.07%,-,9.06%,23.16%,-,-,-,-
29,Buyback Yield / Dilution,1.24%,-88.63%,-2.64%,-9.15%,-0.01%,-10.68%,-30.22%,-5.33%,-29.76%,-32.52%,-0.13%,-22.01%,-,-4.32%,1.82%,-,-,-,-
30,Total Shareholder Return,1.24%,-88.63%,-2.64%,-9.15%,-0.01%,-10.68%,-30.22%,-5.33%,-29.76%,-32.52%,-0.13%,-22.01%,-,-4.32%,1.82%,-,-,-,-
