,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,102.86,43.17,82.8,128.13,8.31,46.08,60.49,56.73,183.67,54.6,103,26.32,182.7,82.99,14.9,26.53,15.12,15.12
1,Other Revenue,-,-6.1,6.1,-,9.07,-3.61,3.61,-,3.31,-0.82,-,-,1.18,-0.58,0.58,-,0.32,0.32
2,Revenue,102.86,37.07,88.9,128.13,17.39,42.47,64.1,56.73,186.98,53.78,103,26.32,183.88,82.41,15.49,26.53,15.44,15.44
3,Revenue Growth (YoY),491.63%,-12.72%,38.69%,125.86%,-90.70%,-21.02%,-37.76%,115.53%,1.69%,-34.74%,565.11%,-0.79%,1090.66%,433.59%,-,-,-,-
4,Cost of Revenue,-98.4,9.71,31.35,57.34,27.73,12.13,34.47,12.2,57.35,14.13,36.61,11.66,57.47,17.52,15.62,-,5.7,5.7
5,Gross Profit,201.26,27.36,57.55,70.8,-10.34,30.34,29.63,44.53,129.64,39.65,66.39,14.66,126.41,64.88,-0.13,26.53,9.74,9.74
6,"Selling, General & Admin",-75.73,24.57,28.91,22.25,36.74,27.44,32.73,22.93,34.75,28.58,29.17,25.25,32.46,18.9,36.18,-,14.64,14.64
7,Research & Development,-49.51,18.51,19.97,11.03,27.75,20.34,17.99,19.4,18.89,18.94,19.28,18.61,18.99,16.21,16.53,-,8.12,8.12
8,Other Operating Expenses,396.96,1.63,0.84,-5.18,23.74,0.03,-22,-7.46,19.04,-24.01,-10.96,-11.75,2.59,-10.01,-32.17,32.91,0.12,0.12
9,Operating Expenses,247.76,57.34,59.59,29.57,107,46.69,33.82,36.71,98.64,26.49,36.7,32.11,76.1,22.5,17.01,32.91,26.9,26.9
10,Operating Income,-46.5,-29.98,-2.04,41.23,-117.35,-16.35,-4.19,7.82,31,13.16,29.69,-17.45,50.31,42.39,-17.14,-6.38,-17.15,-17.15
11,Interest Expense,-3.27,-0.27,-1.52,-0.49,-3.47,-0.66,-1.1,-1.26,-2.21,-7.13,-15.95,-,-5.97,-0.81,-2.65,-,-1.61,-1.61
12,Interest & Investment Income,1.47,0.73,-,3.36,2.99,1.9,1.99,2.4,1.08,0.07,0.09,-,-,0.06,0.18,-,0.19,0.19
13,Other Non Operating Income (Expenses),-0.07,0.12,-0.15,-0.01,-8.92,21.66,-0.41,0.26,0.96,-1.45,3.51,-3.95,0.34,-0.63,0.17,-0.17,-0.09,-0.09
14,EBT Excluding Unusual Items,-48.38,-29.41,-3.71,44.09,-126.74,6.56,-3.71,9.23,30.83,4.66,17.34,-21.4,44.68,41,-19.44,-6.55,-18.66,-18.66
15,Gain (Loss) on Sale of Investments,-5.9,1.94,4.03,-0.06,-0.15,0.52,0.6,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.74,-,0.2,0.54,0.06,0.17,0.47,1.07,0.86,-,-,-,-0.08,-,-0.07,-,-,-
17,Asset Writedown,18.68,-18.68,3.64,-3.64,12.97,-12.99,0.93,-1.21,7.77,-7.89,-2.31,-2.02,4.37,-4.37,-,-,-,-
18,Other Unusual Items,-3.91,0.34,3.83,-0.26,52.68,-0.4,0.4,-,22.63,-19.15,-,-,23.43,-10.41,10.41,-,6.36,6.36
19,Pretax Income,-40.25,-45.81,7.99,40.67,-61.19,-6.14,-1.31,9.08,62.09,-22.38,15.03,-23.42,72.41,26.22,-9.1,-6.55,-12.29,-12.29
20,Income Tax Expense,-3.89,-6.24,5.18,5.49,7.91,-6,-5.59,-2.59,-0.23,-5.66,0.04,-2.72,0.3,3.52,-1.48,-0.53,-0.23,-0.23
21,Earnings From Continuing Operations,-36.36,-39.57,2.81,35.18,-69.1,-0.15,4.29,11.67,62.31,-16.72,14.99,-20.7,72.11,22.7,-7.63,-6.02,-12.06,-12.06
22,Minority Interest in Earnings,-0.66,0.23,0.28,0.15,0.71,0.12,0.1,0.11,0.37,0.2,0.37,0.28,0.35,0.41,-2.91,0.26,0.31,0.31
23,Net Income,-37.02,-39.34,3.09,35.32,-68.39,-0.03,4.39,11.77,62.69,-16.52,15.36,-20.41,72.46,23.11,-10.54,-5.76,-11.76,-11.76
24,Net Income to Common,-37.02,-39.34,3.09,35.32,-68.39,-0.03,4.39,11.77,62.69,-16.52,15.36,-20.41,72.46,23.11,-10.54,-5.76,-11.76,-11.76
25,Net Income Growth,-,-,-29.56%,200.02%,-,-,-71.42%,-,-13.49%,-,-,-,-,-,-,-,-,-
26,Shares Outstanding (Basic),329,150,160,147,175,146,147,147,158,112,139,113,119,112,114,-,114,114
27,Shares Outstanding (Diluted),329,150,160,147,175,146,147,147,158,112,139,113,119,112,114,-,114,114
28,Shares Change (YoY),88.63%,2.64%,9.15%,0.01%,10.68%,30.22%,5.33%,29.76%,32.52%,0.13%,22.01%,-,4.32%,-1.82%,-,-,-,-
29,EPS (Basic),-0.11,-0.26,0.02,0.24,-0.39,-0.00,0.03,0.08,0.40,-0.15,0.11,-0.18,0.61,0.21,-0.09,-,-0.10,-0.10
30,EPS (Diluted),-0.11,-0.26,0.02,0.24,-0.39,-0.00,0.03,0.08,0.40,-0.15,0.11,-0.18,0.61,0.20,-0.09,-,-0.10,-0.10
31,EPS Growth,-,-,-35.47%,200.00%,-,-,-72.86%,-,-34.71%,-,-,-,-,-,-,-,-,-
32,Free Cash Flow,-,-5.57,24.85,-31.79,94.34,42.42,-13.81,-78.77,25.1,-36.38,-1.27,-46.97,-32.58,-114.3,-37.44,-17.71,-75.49,-75.49
33,Free Cash Flow Per Share,-,-0.04,0.16,-0.22,0.54,0.29,-0.09,-0.54,0.16,-0.32,-0.01,-0.41,-0.27,-1.02,-0.33,-,-0.66,-0.66
34,Gross Margin,195.66%,73.81%,64.73%,55.25%,-59.50%,71.44%,46.22%,78.49%,69.33%,73.73%,64.46%,55.68%,68.75%,78.74%,-0.86%,100.00%,63.08%,63.08%
35,Operating Margin,-45.20%,-80.88%,-2.29%,32.18%,-674.92%,-38.49%,-6.53%,13.79%,16.58%,24.47%,28.83%,-66.30%,27.36%,51.44%,-110.71%,-24.03%,-111.07%,-111.07%
36,Profit Margin,-35.99%,-106.13%,3.48%,27.57%,-393.32%,-0.07%,6.85%,20.75%,33.53%,-30.71%,14.91%,-77.56%,39.41%,28.04%,-68.04%,-21.72%,-76.12%,-76.12%
37,Free Cash Flow Margin,-,-15.03%,27.96%,-24.81%,542.62%,99.88%,-21.55%,-138.85%,13.42%,-67.66%,-1.23%,-178.44%,-17.72%,-138.70%,-241.78%,-66.76%,-488.82%,-488.82%
38,EBITDA,-34.99,-18.47,8.01,52.74,-105.84,-5.91,6.45,18.26,41.44,16.81,39.7,-13.8,53.96,44.79,-14.94,-3.97,-14.97,-14.97
39,EBITDA Margin,-34.02%,-49.83%,9.01%,41.16%,-,-13.91%,10.06%,32.19%,22.16%,31.26%,38.54%,-52.44%,29.35%,54.36%,-96.49%,-14.97%,-96.92%,-96.92%
40,D&A For EBITDA,11.51,11.51,10.05,11.51,11.51,10.44,10.64,10.44,10.44,3.65,10,3.65,3.65,2.4,2.2,2.4,2.18,2.18
41,EBIT,-46.5,-29.98,-2.04,41.23,-117.35,-16.35,-4.19,7.82,31,13.16,29.69,-17.45,50.31,42.39,-17.14,-6.38,-17.15,-17.15
42,EBIT Margin,-45.20%,-80.88%,-2.29%,32.18%,-,-38.49%,-6.53%,13.79%,16.58%,24.47%,28.83%,-66.30%,27.36%,51.44%,-110.71%,-24.03%,-111.07%,-111.07%
43,Effective Tax Rate,-,-,64.83%,13.50%,-,-,-,-,-,-,0.27%,-,0.42%,13.41%,-,-,-,-
44,Revenue as Reported,-,37.07,88.9,128.13,17.39,42.47,64.1,56.73,186.98,53.78,129.32,-,183.88,82.41,42.02,-,15.44,15.44
