,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,212.95,252.77,225.59,238.87,284.78,-,-,647.1,680.83,89.88,-,94.94,-,-,-,111.72,111.72
1,Trading Asset Securities,-,297.81,290.87,336.95,363.9,233.96,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,510.76,510.76,543.64,562.55,602.77,518.74,-,647.1,647.1,680.83,89.88,94.94,94.94,-,-,128.05,111.72,111.72
3,Cash Growth,-15.27%,-1.54%,-,-13.07%,-6.85%,-23.81%,-,581.61%,581.61%,-,-,-25.86%,-15.02%,-,-,-,-,-
4,Accounts Receivable,-,396.52,422.66,415.54,349.96,452.48,-,-,472.94,456.48,449.9,-,410.94,-,-,-,299.56,299.56
5,Other Receivables,-,2.41,6.97,2.64,4.96,2.92,-,-,3.96,3.97,17.72,-,35.29,-,-,-,29.85,29.85
6,Receivables,-,398.93,429.63,418.18,354.91,455.4,-,-,476.9,460.46,467.61,-,446.23,-,-,-,329.41,329.41
7,Inventory,-,115.37,110.82,121.19,166.43,164.9,-,-,117.29,105.12,84.61,-,84.72,-,-,-,69.56,69.56
8,Prepaid Expenses,-,-,0.98,-,1.23,-,-,-,0.8,-,-,-,-,-,-,-,-,-
9,Other Current Assets,-,5.67,1.61,5.14,1.12,5.07,-,-,7.63,33.98,19.13,-,21.01,-,-,-,4.03,4.03
10,Total Current Assets,-,1031,1087,1107,1126,1144,-,-,1250,1280,661.24,-,646.89,-,-,-,514.72,514.72
11,"Property, Plant & Equipment",-,434.15,455.36,487.75,493.89,511.06,-,-,586.13,621.93,630.77,-,633.68,-,-,-,211.73,211.73
12,Long-Term Investments,-,-,-,-,-,10.2,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,85.95,86.8,87.88,89.17,90.27,-,-,93.14,94.47,95.57,-,97.7,-,-,-,103.62,103.62
14,Long-Term Accounts Receivable,-,4.39,4.54,4.72,5.33,5.93,-,-,1.25,-,-,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,-,49.44,43.12,47.63,53.23,61.01,-,-,46.83,43.29,40,-,34.95,-,-,-,32.81,32.81
16,Long-Term Deferred Charges,-,11.83,11.37,10.68,9.96,11.18,-,-,5.65,5.43,5.27,-,0.45,-,-,-,1.3,1.3
17,Other Long-Term Assets,-,146.44,134.33,111.08,115.22,101.54,-,-,52.72,16.89,16.8,-,17.77,-,-,-,1.02,1.02
18,Total Assets,-,1763,1822,1857,1893,1935,-,-,2035,2062,1450,-,1431,-,-,-,865.2,865.2
19,Accounts Payable,-,70.19,58.18,63.49,92.58,102.51,-,-,138.57,163.11,163.2,-,198.99,-,-,-,99.45,99.45
20,Accrued Expenses,-,10.98,20.92,8.31,23.95,9.54,-,-,25.61,7.77,26.54,-,31.04,-,-,-,13.61,13.61
21,Short-Term Debt,-,9.8,35.8,69.18,69.18,69.18,-,-,128.98,150.22,131.95,-,90.83,-,-,-,86.18,86.18
22,Current Portion of Leases,-,0.68,0.67,0.67,1.03,1.15,-,-,2.23,1.43,1.66,-,2.13,-,-,-,-,-
23,Current Income Taxes Payable,-,9.63,-,5.34,0.02,13.83,-,-,2.69,18.22,3.81,-,3.06,-,-,-,-,-
24,Current Unearned Revenue,-,44.54,38.82,37.11,63.08,18.77,-,-,9.64,14.08,14.37,-,12.49,-,-,-,14.12,14.12
25,Other Current Liabilities,-,55.81,61.04,52.7,44.87,41.74,-,-,82.74,85.93,76.94,-,69.72,-,-,-,66.18,66.18
26,Total Current Liabilities,-,201.64,215.43,236.79,294.71,256.72,-,-,390.45,440.76,418.47,-,408.26,-,-,-,279.53,279.53
27,Long-Term Debt,-,-,-,-,-,-,-,-,18,55.25,421.3,-,432.65,-,-,-,160,160
28,Long-Term Leases,-,0.39,0.74,0.73,1.09,-,-,-,0.5,1.54,1.66,-,2.57,-,-,-,-,-
29,Long-Term Unearned Revenue,-,60.97,62.15,63.33,64.51,76.54,-,-,41.98,43.06,43.92,-,17.97,-,-,-,33.73,33.73
30,Long-Term Deferred Tax Liabilities,-,1.18,1.09,0.4,0.52,0.36,-,-,0.4,-,-,-,-,-,-,-,-,-
31,Total Liabilities,-,264.17,279.41,301.26,360.83,333.62,-,-,451.34,540.62,885.35,-,861.45,-,-,-,473.26,473.26
32,Common Stock,-,152.23,152.23,152.23,152.23,152.23,-,-,152.23,152.23,114.17,-,114.17,-,-,-,114.17,114.17
33,Additional Paid-In Capital,-,1524,1524,1524,1522,1523,-,-,1521,1521,584.69,-,584.69,-,-,-,584.69,584.69
34,Retained Earnings,-,-145.24,-105.9,-108.99,-144.31,-75.93,-,-,-92.06,-154.75,-138.23,-,-133.18,-,-,-,-307.06,-307.06
