,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4172,3514,2913,3486,3197,3010,3822,4240,3391,2799,3376,3089,3780,3286,3416,2814,2837,-,-,-
1,Market Cap Growth,16.75%,16.75%,-23.78%,-17.79%,-5.73%,7.55%,13.18%,37.23%,-10.30%,-14.84%,-1.15%,9.80%,33.26%,-,-,-,-,-,-,-
2,Enterprise Value,3873,3276,2664,3248,2959,2688,3500,3820,2972,2368,2897,2612,3303,2818,2923,2734,2758,-,-,-
3,Last Close Price,17.63,14.85,12.31,14.48,13.28,12.50,15.88,17.31,13.85,11.43,13.79,12.41,15.19,13.20,13.72,11.17,11.26,-,-,-
4,PE Ratio,22.79,18.99,16.84,32.60,32.76,31.08,34.73,34.06,24.34,19.72,25.27,23.06,30.62,30.33,32.01,24.31,30.30,-,-,-
5,PS Ratio,6.65,5.54,4.98,6.64,6.58,6.56,8.13,8.68,6.67,5.55,6.99,6.32,7.91,7.28,7.39,6.09,7.31,-,-,-
6,PB Ratio,3.63,3.06,2.61,3.23,3.07,2.98,-,4.12,3.38,2.88,3.60,3.23,4.13,3.73,3.99,3.26,3.40,-,-,-
7,P/TBV Ratio,3.36,3.36,2.88,3.58,3.41,3.33,-,4.59,3.53,3.01,3.76,3.38,4.33,3.92,4.20,3.43,3.59,-,-,-
8,P/FCF Ratio,57.90,48.77,-786.90,-419.89,-,-,-36.86,-,-,-,-237.67,-,169.47,-,68.63,-,50.98,-,-,-
9,P/OCF Ratio,15.09,15.09,14.23,20.26,28.40,51.41,92.13,-,132.32,46.76,39.92,-,28.78,22.48,24.22,20.79,23.12,-,-,-
10,EV/Sales Ratio,6.10,5.16,4.56,6.18,6.09,5.85,7.44,7.82,5.85,4.69,6.00,5.34,6.91,6.24,6.32,5.92,7.11,-,-,-
11,EV/EBITDA Ratio,20.18,17.75,16.33,21.67,21.73,22.83,27.14,27.62,19.90,14.61,19.01,16.33,21.89,21.84,22.33,20.18,24.92,-,-,-
12,EV/EBIT Ratio,26.49,21.93,20.24,27.38,27.28,28.71,32.89,31.59,22.25,16.01,20.96,17.92,24.16,24.53,25.00,22.51,28.51,-,-,-
13,EV/FCF Ratio,53.75,45.47,-719.79,-391.28,-,-,-33.76,-,-,-,-203.95,-,148.05,-,58.74,-,49.55,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,0.00,0.00,-0.05,-0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.46,0.50,0.46,-,-,-,0.35,0.46,0.40,0.42,0.44,0.50,0.36,0.50,0.47,-,-,-,-,
18,Inventory Turnover,1.19,1.21,1.24,1.09,-,-,-,0.81,1.09,0.91,1.05,1.20,1.47,1.28,2.11,2.01,-,-,-,-
