,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,167.18,151.2,147.82,144.37,115.14,93.9,108.5,121.97,124.31,114.03,128.31,121.38,101.36,121.08,117.27,98.81,111.16,122.31,43.07
1,Other Revenue,-12.84,12.84,-,23.95,-10.56,10.56,-,19.61,-8.6,8.6,-,16.55,-7.33,7.33,-,12.71,-6,6,-
2,Revenue,154.34,164.05,147.82,168.32,104.58,104.46,108.5,141.58,115.7,122.63,128.31,137.93,94.03,128.41,117.27,111.52,105.16,128.31,43.07
3,Revenue Growth (YoY),47.58%,57.04%,36.23%,18.88%,-9.61%,-14.82%,-15.44%,2.65%,23.04%,-4.50%,9.41%,23.68%,-10.58%,0.07%,172.30%,-,-,-,-
4,Cost of Revenue,95.48,101.28,91.1,106.49,63.88,65.45,66.92,87.68,69.33,73.46,76.04,80.35,55.72,77.21,70.52,68.8,64.01,79.44,27.08
5,Gross Profit,58.86,62.77,56.72,61.83,40.7,39.01,41.59,53.9,46.37,49.17,52.27,57.58,38.32,51.2,46.75,42.72,41.15,48.87,15.99
6,"Selling, General & Admin",14.12,17.92,12.48,16.65,14.87,15.56,9.42,15.31,9.69,10.73,7.38,10.83,8.73,8.84,8.28,11.49,8.92,8.02,5.21
7,Research & Development,7.23,9.09,6.13,6.33,3.54,6.57,3.42,7.45,4.61,5.62,2.81,4.65,4.31,4.41,3.87,7.93,3.38,1.35,1.06
8,Other Operating Expenses,-1.2,1.64,-1.31,0.44,-0.27,-0.29,-0.32,6.67,-4.33,1,-1.33,4.51,-1.12,-0.19,0.2,8.19,-0.03,-4.34,0.05
9,Operating Expenses,17.6,32.78,15.77,24.59,17.23,22.03,10.79,31.52,10.14,17.68,8.85,20.8,11.74,12.28,12.35,27.75,12.51,5.41,6.32
10,Operating Income,41.26,29.99,40.94,37.24,23.46,16.99,30.8,22.38,36.24,31.49,43.41,36.78,26.58,38.92,34.4,14.98,28.64,43.46,9.67
11,Interest Expense,-,-0,-0,-0,-,-0.01,-,-,-,-,-,-,-,-,-,-0.16,-,-0.12,-
12,Interest & Investment Income,0.45,1.75,1.43,1.2,0.11,4.03,0.77,2.82,1.88,1.57,5.56,0.96,4.68,2.06,1.18,-,0.41,-,0.46
13,Currency Exchange Gain (Loss),-0.59,0.59,-,2.03,-2.03,2.03,-,10.08,-4.37,4.37,-,-0.97,0.02,-0.02,-,-1.37,-0.17,0.17,-
14,Other Non Operating Income (Expenses),-0.25,0.04,0.13,-2.32,2.6,-0.61,-0.7,-9.78,10.02,-0.01,-0.23,0.83,-1.81,-0.29,0.91,1.07,-0.65,-0.67,-0.42
15,EBT Excluding Unusual Items,40.88,32.37,42.51,38.15,24.15,22.41,30.88,25.5,43.77,37.42,48.74,37.61,29.48,40.66,36.49,14.52,28.23,42.84,9.7
16,Gain (Loss) on Sale of Assets,0,64.79,-0,-,-0.03,-0,0.01,0.76,0.01,0.01,0.01,0.01,0,-,-,-,-0,8.4,-
17,Asset Writedown,-0.95,0.01,-0.01,-0.48,-0.51,-0.05,0.05,-,-,-,-,-,-,-,-,0.27,-0.27,-,-
18,Legal Settlements,-,-,-,-,-,-,-,0.3,-,-,-,-0.2,0.2,-0.2,-,-0.37,-,-,-
19,Other Unusual Items,-1.85,1.38,-0.05,0.02,-,-,-,4.36,-4.35,2.68,-,3.17,-,-,-,7.15,-,-,-
20,Pretax Income,38.09,98.55,42.44,37.69,23.61,22.36,30.94,30.92,39.43,40.12,48.75,40.58,29.68,40.46,36.49,21.57,27.96,51.23,9.7
21,Income Tax Expense,5.88,12.93,7.38,5.52,3.47,2.81,5.21,-0.5,6.09,6.13,8.18,6.56,4.64,6.1,6.45,2.67,4.54,7.87,1.74
22,Net Income,32.2,85.62,35.06,32.17,20.13,19.56,25.73,31.41,33.34,33.99,40.58,34.02,25.04,34.35,30.05,18.9,23.42,43.36,7.96
23,Net Income to Common,32.2,85.62,35.06,32.17,20.13,19.56,25.73,31.41,33.34,33.99,40.58,34.02,25.04,34.35,30.05,18.9,23.42,43.36,7.96
24,Net Income Growth,59.96%,337.81%,36.29%,2.42%,-39.61%,-42.47%,-36.60%,-7.66%,33.13%,-1.05%,35.05%,79.99%,6.94%,-20.77%,277.59%,-,-,-,-
25,Shares Outstanding (Basic),232,240,234,251,224,243,234,241,234,233,235,235,229,245,234,180,176,174,180
26,Shares Outstanding (Diluted),232,240,234,251,224,243,234,241,234,233,235,235,229,245,234,180,176,174,180
27,Shares Change (YoY),3.63%,-1.35%,-0.06%,4.32%,-4.00%,4.13%,-0.63%,2.53%,2.17%,-4.76%,0.58%,30.60%,29.99%,40.89%,29.98%,-,-,-,-
28,EPS (Basic),0.14,0.36,0.15,0.13,0.09,0.08,0.11,0.13,0.14,0.15,0.17,0.14,0.11,0.14,0.13,0.11,0.13,0.25,0.04
29,EPS (Diluted),0.14,0.36,0.15,0.13,0.09,0.08,0.11,0.13,0.14,0.15,0.17,0.14,0.11,0.14,0.13,0.11,0.13,0.25,0.04
30,EPS Growth,54.35%,343.79%,36.36%,-1.82%,-37.09%,-44.75%,-36.19%,-9.94%,30.30%,3.89%,34.27%,37.82%,-17.74%,-43.76%,190.50%,-,-,-,-
31,Free Cash Flow,29.77,29.26,18,-4.97,-45.98,24.66,-74.95,-37.76,-15.61,2.69,-30.68,15.3,-1.52,21.29,-12.76,28.54,12.7,16.76,-2.35
32,Free Cash Flow Per Share,0.13,0.12,0.08,-0.02,-0.21,0.10,-0.32,-0.16,-0.07,0.01,-0.13,0.07,-0.01,0.09,-0.05,0.16,0.07,0.10,-0.01
33,Dividend Per Share,-,-,-,0.200,-,-,-,0.248,-,-,-,0.214,-,-,-,0.183,-,-,-
34,Dividend Growth,-,-,-,-19.45%,-,-,-,16.03%,-,-,-,16.68%,-,-,-,-,-,-,-
35,Gross Margin,38.14%,38.26%,38.37%,36.73%,38.92%,37.35%,38.33%,38.07%,40.08%,40.09%,40.74%,41.75%,40.75%,39.87%,39.87%,38.31%,39.13%,38.09%,37.12%
36,Operating Margin,26.73%,18.28%,27.70%,22.13%,22.44%,16.26%,28.39%,15.81%,31.32%,25.68%,33.84%,26.67%,28.26%,30.31%,29.33%,13.43%,27.23%,33.87%,22.44%
37,Profit Margin,20.87%,52.19%,23.72%,19.12%,19.25%,18.72%,23.71%,22.19%,28.81%,27.72%,31.62%,24.67%,26.63%,26.75%,25.62%,16.95%,22.27%,33.79%,18.48%
38,Free Cash Flow Margin,19.29%,17.83%,12.18%,-2.96%,-43.97%,23.60%,-69.08%,-26.67%,-13.49%,2.19%,-23.91%,11.10%,-1.62%,16.58%,-10.88%,25.60%,12.08%,13.06%,-5.46%
39,EBITDA,49.98,38.97,49.66,45.96,28.61,25.69,35.94,27.53,39.8,35.01,46.98,40.35,30.11,42.45,37.94,18.51,32.05,47.01,13.08
