,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,239.35,167.77,168.6,138.81,137.66,-,191.9,246.18,199.61,190.34,214.01,161.76,147.8,168.52,162.32,499.82,-,-,-
1,Trading Asset Securities,60,70,80,90,100,-,130,135,220,240,265,326,330,300,330,-,-,-,-
2,Cash & Short-Term Investments,299.35,237.77,248.6,228.81,237.66,-,321.9,381.18,419.61,430.34,479.01,487.76,477.8,468.52,492.32,499.82,-,-,79.32
3,Cash Growth,25.96%,-,-22.77%,-39.97%,-43.36%,-,-32.80%,-21.85%,-12.18%,-8.15%,-2.70%,-2.41%,-,-,520.70%,-,-,-,-
4,Accounts Receivable,88.57,105.26,123.76,122.16,82.55,-,86.19,97.3,50.04,57.32,68.55,63.52,65.56,108.71,113.28,106.41,-,-,-
5,Other Receivables,1.67,32.58,2.05,2.03,2.9,-,2.55,4.09,3.5,3.4,3.39,3.42,3.38,3.47,4,2.82,-,-,-
6,Receivables,90.24,137.83,125.81,124.19,85.45,-,88.74,101.4,53.54,60.72,71.94,66.93,68.93,112.18,117.28,109.23,-,-,-
7,Inventory,310.31,323.46,332.49,338.13,353.1,-,330.96,328.03,314.76,296.88,261.72,243.3,194.66,153.68,139.59,140.51,-,-,-
8,Prepaid Expenses,-,-,-,0.39,-,-,-,11.09,-,-,-,-,-,-,-,0.08,-,-,-
9,Other Current Assets,0.75,0.84,3.25,4.32,8.27,-,8.57,2.89,3.33,7.9,7.95,3.34,2.74,4.2,0.7,0.43,-,-,-
10,Total Current Assets,700.64,699.9,710.15,695.85,684.48,-,750.17,824.59,791.24,795.85,820.62,801.34,744.14,738.58,749.9,750.06,-,-,-
11,"Property, Plant & Equipment",538.82,525.85,501.94,478.95,430.71,-,380.51,378.32,336.35,321.41,305.75,294.58,276.08,242.85,218.17,191.17,-,-,-
12,Long-Term Investments,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-
13,Other Intangible Assets,103.55,104.26,104.98,105.69,106.36,-,106.18,43.35,41.42,41.6,41.89,42.17,43.74,43.73,44.02,44.29,-,-,-
14,Long-Term Deferred Tax Assets,0.6,0.16,-,-,-,-,-,-,3.03,2.77,1.79,1.8,1.91,1.75,2.61,2.41,-,-,-
15,Other Long-Term Assets,-,0.01,0.04,0.04,0.5,-,-,14.93,3.79,2.42,0.97,0.94,-,2.45,5.04,1.81,-,-,-
16,Total Assets,1344,1330,1317,1281,1222,-,1237,1261,1176,1164,1171,1141,1066,1029,1020,989.74,-,-,-
17,Accounts Payable,98.29,108.07,105.2,105.46,91.27,-,107.97,152.19,118.99,125.28,120.68,126.08,96.61,84.11,68.01,70.51,-,-,-
18,Accrued Expenses,10.45,14.87,4.9,18.1,8.67,-,4.53,19.05,8.7,10.54,4.47,13.89,6.68,8,3.86,19.34,-,-,-
19,Current Portion of Leases,0.16,0.16,0.15,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,11.38,14.12,10.63,6.55,6.17,-,4.77,6.63,9.18,8.84,6.84,5.76,1.9,4.43,10.78,1.69,-,-,-
21,Current Unearned Revenue,48.87,53.11,61.28,50.78,47.89,-,35.15,43.31,33.33,44.72,54.93,50.53,51.39,46.34,44.88,34.87,-,-,-
22,Other Current Liabilities,7.56,8.71,9.79,9,8.56,-,7.04,7.88,6.2,8.76,8.4,9.36,8.84,10.95,8.7,8.83,-,-,-
23,Total Current Liabilities,176.7,199.03,191.94,190.05,162.57,-,159.45,229.08,176.4,198.14,195.32,205.61,165.41,153.83,136.22,135.25,-,-,-
24,Long-Term Leases,-,0.04,0.04,0.16,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,13.2,9.4,40.75,41.15,41.63,-,39.72,20.46,19.57,6.66,13.4,13.49,13.68,0.96,14.15,14.36,-,-,-
26,Long-Term Deferred Tax Liabilities,4.16,4.38,5.42,5.41,6.18,-,6.8,6.47,5.76,5.48,5.04,5.04,4.56,4.38,3.58,3.39,-,-,-
27,Other Long-Term Liabilities,1.3,1.29,1.21,1.06,1,-,1.35,1.35,1.67,14.67,1.51,1.51,1.06,14.07,1.62,1.62,-,-,-
28,Total Liabilities,195.36,214.15,239.36,237.84,211.53,-,207.31,257.35,203.4,224.96,215.27,225.66,184.72,173.24,155.57,154.61,-,-,-
29,Common Stock,236.63,236.63,236.63,236.63,236.63,-,163.19,163.19,163.19,163.19,112.55,112.55,112.55,112.55,80.39,80.39,-,-,-
30,Additional Paid-In Capital,283.19,283.19,283.19,283.19,283.19,-,356.63,356.63,356.63,356.63,407.28,407.28,407.28,407.28,439.43,439.43,-,-,-
31,Retained Earnings,628.43,596.23,557.94,522.87,490.7,-,509.74,484.03,452.62,419.28,435.94,395.36,361.34,336.3,344.35,315.31,-,-,-
32,Shareholders' Equity,1148,1116,1078,1043,1011,-,1030,1004,972.44,939.11,955.76,915.18,881.16,856.12,864.17,835.13,-,-,391.21
33,Total Liabilities & Equity,1344,1330,1317,1281,1222,-,1237,1261,1176,1164,1171,1141,1066,1029,1020,989.74,-,-,-
34,Total Debt,0.16,0.2,0.2,0.31,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Net Cash (Debt),299.19,237.57,248.41,228.5,237.5,-,321.9,381.18,419.61,430.34,479.01,487.76,477.8,468.52,492.32,499.82,-,-,79.32
36,Net Cash Growth,25.97%,-,-22.83%,-40.06%,-43.40%,-,-32.80%,-21.85%,-12.18%,-8.15%,-2.70%,-2.41%,-,-,520.70%,-,-,-,-
37,Net Cash Per Share,1.29,0.99,1.06,0.91,1.06,-,1.38,1.58,1.80,1.85,2.04,2.08,2.09,1.91,2.10,2.78,-,-,0.44
38,Filing Date Shares Outstanding,236.63,236.63,236.63,236.63,236.63,242.78,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,175.86,173.75,180.03
39,Total Common Shares Outstanding,236.63,236.63,236.63,236.63,236.63,242.78,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,236.63,175.86,173.75,180.03
40,Working Capital,523.95,500.87,518.21,505.8,521.91,-,590.72,595.51,614.84,597.71,625.3,595.73,578.73,584.74,613.67,614.81,-,-,-
41,Book Value Per Share,4.85,4.72,4.55,4.41,4.27,-,4.35,4.24,4.11,3.97,4.04,3.87,3.72,3.62,3.65,3.53,-,-,2.20
42,Tangible Book Value,1045,1012,972.78,937.01,904.16,-,923.38,960.5,931.02,897.5,913.87,873.01,837.42,812.39,820.16,790.85,-,-,346.05
43,Tangible Book Value Per Share,4.41,4.28,4.11,3.96,3.82,-,3.90,4.06,3.93,3.79,3.86,3.69,3.54,3.43,3.47,3.34,-,-,1.95
44,Buildings,-,287.24,-,294.14,-,-,-,268.47,-,245.48,-,96.37,-,101.39,-,101.39,-,-,-
45,Machinery,-,196.56,-,26.64,-,-,-,22.13,-,170.86,-,105.44,-,100.64,-,94.84,-,-,-
