,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,61,74,100,106,138,154,146,139,181,168,124
1,Market Cap Growth,-29.55%,-29.55%,-27.83%,-31.25%,-5.74%,10.34%,-19.21%,-17.14%,46.60%,-31.71%,-65.08%
2,Enterprise Value,-49,-67,52,52,119,116,142,95,153,148,106
3,Last Close Price,0.05,0.06,0.08,0.09,0.12,0.13,0.12,0.12,0.15,0.14,0.10
4,PE Ratio,-,-,10.19,10.24,6.45,10.10,-,7.01,4.88,4.51,4.58
5,PS Ratio,0.08,0.10,0.13,0.14,0.20,0.29,0.31,0.20,0.21,0.20,0.17
6,PB Ratio,0.20,0.24,0.31,0.34,0.45,0.51,0.51,0.48,0.65,0.62,0.50
7,P/TBV Ratio,0.24,0.24,0.32,0.34,0.45,0.51,0.51,0.48,0.65,0.63,0.50
8,P/FCF Ratio,2.31,-,2.81,-,8.19,-,-40.07,-,7.48,16.66,-8.42
9,P/OCF Ratio,2.38,-,2.48,-,5.42,-,254.17,-,4.30,5.83,51.39
10,EV/Sales Ratio,-,-,0.07,0.07,0.17,0.22,0.30,0.14,0.18,0.18,0.15
11,EV/EBITDA Ratio,-,-,2.87,2.99,10.64,48.95,-,-43.49,-,5.00,3.74
12,EV/EBIT Ratio,-,-,7.16,7.45,77.20,-17.02,-,-8.23,-,6.28,4.33
13,EV/FCF Ratio,-1.84,-,1.46,-,7.04,-,-38.75,-,6.30,14.70,-7.21
14,Debt / Equity Ratio,0.00,0.00,0.00,0.04,0.05,0.10,0.12,0.10,0.16,0.16,0.19
15,Debt / FCF Ratio,0.02,-,0.02,-,0.96,-,-9.50,-,1.78,4.20,-3.22
16,Return on Capital Employed (ROCE),-,-,2.28%,2.22%,0.50%,-2.25%,-,-4.01%,-,8.78%,9.81%
17,Earnings Yield,-1.17%,-0.96%,9.81%,9.77%,15.51%,9.91%,4.63%,14.26%,20.48%,22.19%,21.82%
18,FCF Yield,43.29%,35.61%,35.53%,25.29%,12.21%,11.69%,-2.50%,-16.37%,13.38%,6.00%,-11.88%
