,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,13,14,12,21,47,92,126,123,93,46,98,Upgrade
1,Market Cap Growth,-35.19%,-35.19%,-74.83%,-77.12%,-62.94%,-24.95%,35.95%,167.44%,-5.20%,-66.57%,-54.55%,Upgrade
2,Enterprise Value,-2,-1,-6,-6,10,67,88,97,71,27,74,Upgrade
3,Last Close Price,0.17,0.15,0.13,0.23,0.51,1.01,1.48,1.43,1.35,0.67,1.71,Upgrade
4,PS Ratio,0.45,0.47,0.42,0.79,1.09,1.27,1.88,1.42,1.19,0.63,1.27,Upgrade
5,PB Ratio,0.96,1.02,0.70,0.39,0.77,1.40,2.25,1.49,1.41,0.43,0.89,Upgrade
6,P/TBV Ratio,1.02,1.02,0.70,0.42,0.81,1.63,2.73,2.35,2.67,1.46,3.11,Upgrade
7,P/FCF Ratio,-,-13.98,-,-,-,-,-,-,-,-,-156.53,Upgrade
8,P/OCF Ratio,-,-13.98,-,-,-,-,-,-,-,-,-156.53,Upgrade
9,EV/Sales Ratio,-,-,-,-,0.23,0.92,1.30,1.12,0.91,0.37,0.96,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,1.34,-,11.65,-,78.37,-,-25.24,Upgrade
11,EV/EBIT Ratio,-,-,-,-,1.52,-,13.12,-,-33.98,-,-7.57,Upgrade
12,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-118.67,Upgrade
13,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,0.00,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-0.10,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-,10.37%,-,11.38%,-,-2.86%,-,-7.60%,Upgrade
16,Earnings Yield,-290.14%,-275.22%,-370.18%,-41.21%,-3.20%,-28.50%,-27.31%,-44.82%,-60.53%,-207.18%,-93.97%,Upgrade
17,FCF Yield,-7.15%,-7.15%,-47.79%,-20.64%,-10.63%,-22.68%,-15.16%,-2.75%,-4.88%,-0.59%,-0.64%,Upgrade
18,Buyback Yield / Dilution,0.01%,-,0.01%,-4.64%,-6.85%,-6.65%,-24.14%,-36.36%,-20.04%,-4.62%,0.00%,Upgrade
19,Total Shareholder Return,0.01%,-,0.01%,-4.64%,-6.85%,-6.65%,-24.14%,-36.36%,-20.04%,-4.62%,0.00%,Upgrade
