,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,307.44,261.41,322.11,362.31,309.43,280.84,318.91,333.34,263.14,305.44,366.04,372.89,327.85,337.64,118.71,173.5,-,-,-
1,Trading Asset Securities,-,40,60,-,-,-,-,-,-,16.5,10,20,-,-,10,-,2,-,-,-
2,Cash & Short-Term Investments,347.44,347.44,321.41,322.11,362.31,309.43,280.84,318.91,333.34,279.64,315.44,386.04,372.89,327.85,347.64,118.71,175.5,-,-,233.83
3,Cash Growth,-4.10%,12.28%,14.44%,1.00%,8.69%,10.65%,-10.97%,-17.39%,-10.61%,-14.70%,-9.26%,225.19%,112.47%,-,-,-49.23%,-,-,-,-
4,Accounts Receivable,-,454.29,463.23,480.8,485.56,478.2,482.18,441.63,551.01,466.79,465.87,413.01,443.42,411.22,442.33,386.22,449.07,-,-,-
5,Other Receivables,-,3.61,3.24,2.73,2.06,3.13,3.96,3.97,4.63,5.14,4.54,4.55,4.64,7.11,8.32,6.45,5.99,-,-,-
6,Receivables,-,457.91,466.48,483.52,487.62,481.33,486.14,445.6,555.63,471.93,470.41,417.56,448.05,418.33,450.65,392.67,455.06,-,-,-
7,Inventory,-,121.25,116.41,121.04,109.21,118.58,87.96,84.25,86.33,88.52,84.76,102.92,84.41,101.98,82.1,93.13,67.94,-,-,-
8,Prepaid Expenses,-,-,0.1,-,0.2,-,19.3,-,0.24,-,-,-,0.4,-,0.19,-,0.22,-,-,-
9,Other Current Assets,-,38.47,47.03,51.68,33.71,39.9,6.26,50.1,3.38,36.72,37.89,11.91,8.67,13.92,9.81,15.93,15.49,-,-,-
10,Total Current Assets,-,965.07,951.43,978.35,993.05,949.24,880.51,898.86,978.92,876.82,908.5,918.43,914.42,862.07,890.39,620.44,714.21,-,-,-
11,"Property, Plant & Equipment",-,228.94,233.31,213.28,216.22,186.63,182.27,163.52,162.36,126.88,95.51,90.9,76.78,74.29,75.08,76.27,78.04,-,-,-
12,Long-Term Investments,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,51.06,51.52,52.06,52.53,53.04,53.5,53.97,54.43,54.58,55.07,55.58,56.06,55.52,56.03,56.38,54.27,-,-,-
14,Long-Term Deferred Tax Assets,-,12.52,12.72,12.26,11.04,10.33,10.15,9.93,8.76,7.91,7.53,7.21,7,7.3,7.31,6.49,7.02,-,-,-
15,Long-Term Deferred Charges,-,1.66,1.45,2.1,2.29,0.26,0.28,0.19,0.21,-,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,-,4.11,4.63,1.11,1.42,11.29,9.61,4.87,4.73,8.55,7.85,0.8,2.31,2.74,2.76,0.89,2.05,-,-,-
17,Total Assets,-,1283,1255,1259,1277,1211,1136,1131,1209,1075,1074,1073,1057,1002,1032,760.47,855.59,-,-,-
18,Accounts Payable,-,426.59,372.86,379.41,378.84,347.76,306.14,295.98,369.2,266.31,284.74,291.01,273.41,271.78,272.44,249.59,343.96,-,-,-
19,Accrued Expenses,-,5.46,18.11,5.9,17.43,5.06,12.96,2.93,15.97,3.49,17.17,4.2,17.67,3.78,17.91,10.58,11.1,-,-,-
20,Short-Term Debt,-,11,11,11,11,11,11,30,30,30,30,-,-,10,10,10,10,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,0.96,-,-,-,-,-,30,30,-,-,-,-,-,-,-
22,Current Portion of Leases,-,2.05,2.94,2.52,2.55,-,1.03,0.96,0.37,-,-,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,4.29,5.17,9.16,7.82,8.15,1.77,2.37,13.07,15.86,3.59,3.55,3.96,0.52,2.72,0.56,3.91,-,-,-
24,Current Unearned Revenue,-,8.03,9.82,9.9,5.53,12.8,8.82,9.99,5.68,15.83,9.18,6.38,5.91,37.89,5.82,5.51,5.2,-,-,-
25,Other Current Liabilities,-,8.92,34.67,4.98,17.87,23.24,14.39,6.94,5.14,20.67,19.46,20.74,10.69,1.37,20.63,2.17,1.06,-,-,-
26,Total Current Liabilities,-,466.35,454.57,422.89,441.03,408.98,356.12,349.17,439.44,352.16,364.14,355.87,341.63,325.34,329.52,278.42,375.22,-,-,-
27,Long-Term Debt,-,30,30,30,30,30,30,30,30,30,30,-,-,-,30,30,30,-,-,-
28,Long-Term Leases,-,0.94,1.76,2.35,2.93,3.2,1.68,1.93,0.58,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,-,1.35,1.45,1.54,1.63,1.73,1.82,1.91,2.01,2.1,2.19,2.29,2.38,2.47,2.57,2.66,2.75,-,-,-
30,Long-Term Deferred Tax Liabilities,-,0.02,0.07,0.06,0.06,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,-,498.66,487.84,456.84,475.65,443.9,389.62,383.01,472.04,384.26,396.33,358.16,344.01,327.81,362.08,311.08,407.98,-,-,-
32,Common Stock,-,136.61,136.61,136.61,136.61,136.61,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,136.11,102.08,102.08,-,-,-
33,Additional Paid-In Capital,-,352.56,350.17,348.21,347.46,345.92,341.69,340.04,338.02,335.93,334.88,334.88,334.88,334.88,334.88,173.11,173.11,-,-,-
34,Retained Earnings,-,315.55,300.43,337.39,316.83,284.34,268.9,272.19,263.22,218.44,207.14,243.76,241.56,203.12,198.5,174.19,172.42,-,-,-
35,Treasury Stock,-,-20.03,-19.99,-19.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,784.69,784.69,767.22,802.33,800.9,766.88,746.7,748.33,737.36,690.48,678.13,714.76,712.55,674.11,669.49,449.39,447.61,-,-,373.58
37,Total Liabilities & Equity,-,1283,1255,1259,1277,1211,1136,1131,1209,1075,1074,1073,1057,1002,1032,760.47,855.59,-,-,-
38,Total Debt,44,44,45.69,45.87,46.47,45.16,43.72,62.89,60.96,60,60,30,30,10,40,40,40,-,-,58
